"","x"
"1","Run_SP154(order)"
"2","Peptococcaceae"
"3","Solibacteraceae_Subgroup_3_"
"4","Sphingomonadaceae"
"5","Alcaligenaceae"
"6","Flavobacteriaceae"
"7","Erysipelotrichaceae"
"8","Clostridiales_vadinBB60_group"
"9","Porphyromonadaceae"
"10","Family_XII"
"11","Micrococcaceae"
"12","SM2D12"
"13","Unknown_Family"
"14","vadinBE97"
"15","JG30_KF_CM45(order)"
"16","Family_X"
"17","Bacteriovoracaceae"
"18","PHOS_HE51"
"19","Bdellovibrionaceae"
"20","Solirubrobacteraceae"
"21","Cellvibrionaceae"
