"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Pasteurellales","Corynebacteriales","Gaiellales","Pseudomonadales","Sphingomonadales","Lactobacillales","Blastocatellales","Selenomonadales","Erysipelotrichales","WCHB1_32(class)","Chthoniobacterales","Bacillales","Sphingobacteriales","Coriobacteriales","Flavobacteriales","Opitutales","Fusobacteriales","Bifidobacteriales","Actinomycetales","Caulobacterales","Rhizobiales","Thermales","Micrococcales","Cytophagales","Gastranaerophilales","Desulfovibrionales","Subgroup_6(class)","Mollicutes_RF9","Micromonosporales","Unknown_Order","Anaerolineales","Thermoanaerobacterales","OPB35_soil_group(class)","Synergistales","Victivallales","Propionibacteriales","Neisseriales","JG30_KF_CM45","Chloroplast(class)","Frankiales","Campylobacterales","Bacteroidetes_vadinHA17(class)","Acidimicrobiales","Legionellales","Enterobacteriales","Acidobacteriales","Methylophilales","Solirubrobacterales","SubsectionIV","Anaeroplasmatales","Verrucomicrobiales","uncultured(class)","Candidatus_Nomurabacteria(class)","Methanobacteriales","Aeromonadales","SC_I_84","Gemmatimonadales","Cellvibrionales","Myxococcales","Subgroup_2(class)","Rhodocyclales","Pseudonocardiales"
"X206621",0.0,0.0,0.14705882352941177,0.6764705882352942,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206624",0.06424581005586592,0.0,0.10893854748603352,0.0935754189944134,0.0,0.0,0.051675977653631286,0.0,0.23324022346368714,0.0,0.0,0.0,0.0,0.030726256983240222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027932960893854747,0.0,0.0,0.02653631284916201,0.0,0.12290502793296089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05726256983240224,0.0,0.0,0.04748603351955307,0.0,0.0,0.0,0.01675977653631285,0.0,0.046089385474860335,0.008379888268156424,0.0,0.0,0.015363128491620111,0.0,0.0,0.0,0.0,0.0,0.02094972067039106,0.0,0.0,0.0,0.027932960893854747,0.0,0.0,0.0
"X206628",0.0,0.0,0.21103896103896103,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.05844155844155844,0.0,0.016233766233766232,0.21428571428571427,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.006493506493506494,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206630",0.0008663008951775916,0.01891423621137742,0.5846087207623448,0.2822697083453653,0.0,0.00822985850418712,0.005342188853595149,0.0,0.00014438348252959862,0.0,0.0025989026855327752,0.0,0.012994513427663876,0.05111175281547791,0.0,0.0,0.0014438348252959862,0.0,0.005919722783713543,0.0015882183078255846,0.0,0.004764654923476754,0.006064106266243142,0.0,0.0,0.0,0.0010106843777071904,0.0027432861680623736,0.0,0.0010106843777071904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007507941091539128,0.0,0.0,0.0,0.0,0.0008663008951775916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206636",0.0,0.05291970802919708,0.6697080291970803,0.1259124087591241,0.0,0.0,0.0,0.0,0.0,0.0,0.023722627737226276,0.0,0.02737226277372263,0.010948905109489052,0.0,0.0,0.023722627737226276,0.0,0.0,0.0,0.0,0.0,0.03467153284671533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01824817518248175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005474452554744526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206644",0.0,0.0,0.45637013097465556,0.4922605885354652,0.0,0.014628338152747066,0.0,0.0,0.00017009695526450075,0.0,0.0008504847763225039,0.0,0.0023813573737030106,0.014118047286953563,0.0,0.0,0.0010205817315870045,0.0,0.00017009695526450075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003401939105290015,0.0,0.0,0.0,0.017179792481714577,0.0,0.0,0.0,0.0,0.0,0.0005102908657935023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206670",0.0,0.030364372469635626,0.4791572949467686,0.36343529764582394,0.0,0.0002249212775528565,0.0,0.0,0.000149947518368571,0.0,0.0012370670265407107,0.0,0.0390238416554206,0.014507422402159244,0.0,0.0,0.0,0.0,0.00011246063877642825,0.0,0.0,0.00041235567551357026,0.0005248163142899985,0.0,0.0,0.0,0.0,3.748687959214275e-05,0.0,0.0014619883040935672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011246063877642825,0.0,0.0,0.0,0.0,0.0,0.06923826660668767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206676",0.0,0.024019353723863834,0.7064109210298946,0.19042681873163989,0.0,0.0,0.002592016588906169,0.0,0.01658890616899948,0.0,0.0044928287541040265,0.0,0.024537757041645066,0.00017280110592707794,0.0,0.0,0.00017280110592707794,0.0,0.0,0.0,0.0,0.007257646448937273,0.0,0.0,0.0,0.0,0.0,0.0012096077414895455,0.0,0.0,0.013824088474166234,0.0,0.0003456022118541559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007776049766718507,0.0,0.0,0.0,0.0,0.0,0.00017280110592707794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206678",0.0,0.0014160962945480293,0.5522775548737314,0.31991975454330895,0.0,0.032216190700967665,0.0,0.0,0.002478168515459051,0.0018881283927307056,0.016521123436393673,0.0,0.0029502006136417278,0.017583195657304696,0.0,0.0,0.00035402407363700734,0.0,0.00660844937455747,0.0,0.0,0.0,0.0,0.0005900401227283455,0.0,0.0,0.0,0.001062072220911022,0.0016521123436393675,0.0,0.0002360160490913382,0.0,0.0,0.0,0.0005900401227283455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04083077649280151,0.0,0.0,0.0,0.0,0.0,0.00035402407363700734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004720320981826764,0.0
"X206684",0.0,0.04875148632580262,0.5063196371163078,0.42119170299907516,8.80785660809442e-05,0.0018496498876998282,0.0,0.0,0.0001321178491214163,0.0,0.002246003435064077,0.0,0.014797199101598626,0.0017175320385784119,0.0,0.0,0.000880785660809442,0.0,0.0003082749812833047,0.0,0.0,0.0,0.001321178491214163,0.0,0.0,0.0,0.0,0.0002642356982428326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001321178491214163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
