"","Tepidimonas","Christensenellaceae_R_7_group","Prevotella","Family_XIII_AD3011_group","Paracoccus","Ruminiclostridium","Corynebacterium","uncultured","JG30_KF_CM66(class)","Bryobacter","uncultured(family)","Pseudomonas","Ornithinimicrobium","Lactobacillus","Oscillibacter","Faecalibacterium","Hungatella","Sutterella","Veillonella","Chryseobacterium","_Ruminococcus_gauvreauii_group","Ruminococcaceae_UCG_010","Faecalitalea","Clostridiales_vadinBB60_group(family)","Lactonifactor","Lachnospiraceae_UCG_001","Ruminococcaceae_UCG_003","Blautia","Burkholderia_Paraburkholderia","Gemella","Leptotrichia","Senegalimassilia","Collinsella","Bacteroides","Porphyromonas","Prevotellaceae_UCG_003","Hydrogenoanaerobacterium","Butyricicoccus","Streptococcus","Flavobacterium","Intestinibacter","Paraprevotella","_Eubacterium_hallii_group","Ruminococcaceae_NK4A214_group","Leuconostoc","Alistipes","Opitutus","Howardella","Fusobacterium","Bifidobacterium","Subdoligranulum","Coprococcus","Odoribacter","Abiotrophia","Oscillochloris","Actinomyces","Brevundimonas","Defluviitaleaceae_UCG_011","Acinetobacter","Hyphomicrobium","Anaerococcus","Ruminococcaceae_UCG_014","Roseburia","Treponema","Candidatus_Soleaferrea","Iamia","Ruminococcus","_Clostridium_innocuum_group","Massilia","Anaerotruncus","_Eubacterium_brachy_group","Romboutsia","Cellulomonas","_Eubacterium_xylanophilum_group","Lachnospiraceae_NK4A136_group","Peptococcus","Butyricimonas","Rothia","Solobacterium","Gastranaerophilales(order)","Desulfovibrio","Ruminococcaceae_UCG_013","Subgroup_6(class)","Atopobium","Oscillospira","Coprobacter","Faecalibaculum","Lachnoanaerobaculum","Phascolarctobacterium","Ramlibacter","Bacteroidales_S24_7_group(family)","Gemmata","Planctomyces","Tyzzerella","_Eubacterium_nodatum_group","Enhydrobacter","Erysipelatoclostridium","Pir4_lineage","_Ruminococcus_torques_group","Parasutterella","Terrimicrobium","Gelria","OPB35_soil_group(class)","Cloacibacillus","Tectomicrobia(phylum)","Alloprevotella","vadinBE97(family)","Selenomonas","Megasphaera","Dorea","Nordella","_Eubacterium_coprostanoligenes_group","Nocardioides","Chloronema","Eikenella","Rhizobium","Victivallis","Paludibacter","Caulobacter","env_OPS_17(family)","Knoellia","Ruminococcaceae_UCG_002","Barnesiella","Phenylobacterium","Lachnospiraceae(family)","Variibacter","Parvimonas","Lactococcus","Oribacterium","Peptostreptococcus","Lachnospiraceae_UCG_008","Chloroplast(class)","Acidovorax","Gitt_GS_136(class)","Dialister","Rikenellaceae_RC9_gut_group","Pirellula","Staphylococcus","Anaerostipes","Acidaminococcus","Campylobacter","Reyranella","Lachnospira","Lachnoclostridium","Sellimonas","Cloacibacterium","Haemophilus","NB1_j(order)","Aerococcus","Morganella","Aggregatibacter","Brevibacterium","Eubacterium","Catonella","Stenotrophomonas","Skermanella","Geodermatophilus","Cytophaga","Ruminococcaceae_UCG_004","Proteus","Citrobacter","Brevibacillus","Z20","Parabacteroides","Ezakiella","Proteiniphilum","Chryseolinea","Fusicatenibacter","Dielma","KD4_96(class)","Catenibacterium","Pseudoclavibacter","Akkermansia","Flavonifractor","Eggerthella","Granulicatella","Candidatus_Stoquefichus","Lachnospiraceae_ND3007_group","Rikenella","Bilophila","Ruminococcaceae_UCG_005","Modestobacter","Clostridium_sensu_stricto","Propionibacterium","Peptoniphilus","_Eubacterium_rectale_group","Slackia","Bosea","Luteolibacter","Devosia","Lachnospiraceae_UCG_010","Hafnia_Obesumbacterium","_Eubacterium_ventriosum_group","Holdemania","Bauldia","Holdemanella","Escherichia_Shigella","Bradyrhizobium","_Ruminococcus_gnavus_group","Cellvibrio","Pseudoxanthomonas","UA11(class)","Microvirga","Epulopiscium","Murdochiella","Polymorphobacter","_Eubacterium_eligens_group","Gardnerella","Lawsonella","Erysipelotrichaceae_UCG_003","Lacibacter","Lineage_IIc(order)","Candidatus_Alysiosphaera"
"X206614",0.0021201413427561835,0.0,0.0,0.0,0.0,0.004240282685512367,0.0,0.007067137809187279,0.0,0.0,0.0014134275618374558,0.0,0.0,0.0,0.0,0.014134275618374558,0.0,0.0,0.0035335689045936395,0.0,0.0,0.0,0.0028268551236749115,0.0,0.0,0.0,0.0,0.15406360424028268,0.0021201413427561835,0.0,0.0,0.0,0.0,0.27491166077738516,0.0,0.0,0.0,0.0021201413427561835,0.0,0.0,0.0,0.0,0.024734982332155476,0.0,0.0,0.0077738515901060075,0.0,0.0,0.0,0.0,0.0077738515901060075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035335689045936395,0.0049469964664310955,0.0,0.0021201413427561835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022614840989399292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004240282685512367,0.0,0.011307420494699646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049469964664310955,0.0,0.0,0.0,0.046643109540636045,0.0,0.0,0.0028268551236749115,0.0,0.0,0.0,0.0,0.0,0.028268551236749116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021201413427561835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176678445229682,0.0,0.0,0.0,0.0,0.0,0.0028268551236749115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28480565371024735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02402826855123675,0.0,0.026148409893992933,0.0,0.0,0.0,0.0,0.0,0.0,0.0021201413427561835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206616",0.0,0.0,0.0,0.0,0.0,0.018691588785046728,0.0,0.0,0.0,0.0,0.0,0.205607476635514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018691588785046728,0.0,0.0,0.0,0.0,0.009345794392523364,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056074766355140186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29906542056074764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.2616822429906542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206645",0.0,0.024906600249066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009962640099626401,0.0,0.0,0.0,0.11706102117061021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049813200498132,0.0,0.019925280199252802,0.0,0.0,0.0,0.3549190535491905,0.0,0.0,0.0,0.007471980074719801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028642590286425903,0.039850560398505604,0.0,0.0,0.0,0.0,0.033623910336239106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12079701120797011,0.0,0.0,0.0,0.08094645080946451,0.0,0.0,0.0,0.028642590286425903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062266500622665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037359900373599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186799501867995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021170610211706103,0.0,0.0,0.0,0.0,0.0,0.0
"X206647",0.0,0.0,0.0,4.34914974122559e-05,0.0,0.003914234767103031,0.0,0.001348236419779933,0.0,0.0,0.0,0.00021745748706127952,0.0,0.0,0.0,0.09524637933284043,0.0,0.02292001913625886,0.0005653894663593267,0.0,0.0,0.0,0.003174879311094681,0.0,0.0,0.0,0.0,0.005175488192058452,0.0,0.0006523724611838385,0.0,0.0,4.34914974122559e-05,0.14787109120167008,0.0,0.0,0.0,0.002565998347323098,0.013482364197799331,0.0,0.0,0.0,0.006219284129952594,0.00043491497412255904,0.0,0.010394467881529161,0.0,0.0,0.0001739659896490236,0.0,0.029400252250684992,0.0,0.0003044404818857913,0.0,0.0,0.00021745748706127952,0.0,0.0,0.0,0.0,0.0,0.0,0.0467533597181751,0.0,0.0,0.0,0.0010437959378941416,0.00043491497412255904,0.0,0.0,8.69829948245118e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.34914974122559e-05,0.00021745748706127952,0.0,0.0,0.0001304744922367677,0.0,0.0001304744922367677,0.0,0.00039142347671030313,0.0,0.0,0.0033488453007437047,0.0,0.0,0.0,0.0,0.01900578436915583,0.0,0.0,0.0006523724611838385,0.0,8.69829948245118e-05,0.004610098725699126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001783151393902492,0.01369982168486061,0.0,0.0,0.0,0.0,0.0,8.69829948245118e-05,0.0,0.0,0.0,0.0,0.0,8.69829948245118e-05,0.0,0.0,0.0,0.0,0.0001739659896490236,0.0,0.0001304744922367677,8.69829948245118e-05,0.0067411820988996654,0.0001304744922367677,0.0,0.0,4.34914974122559e-05,0.0,0.0,0.0,0.005697386161005524,0.0003479319792980472,0.0,0.0,0.0001739659896490236,0.022006697690601488,0.0,0.0,0.0003479319792980472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34914974122559e-05,0.0,0.0,0.0,0.0007828469534206063,0.0,0.0,0.0,0.0,4.34914974122559e-05,0.0,0.0,0.0,0.0020441003783760276,0.0,0.0,0.0,0.0,0.0,0.002609489844735354,0.0,0.0011742704301309095,0.0,0.0,0.0,0.04340451441743139,0.0,0.0,0.0,0.0,0.0001739659896490236,0.31887965902666027,0.0,0.0,0.0,4.34914974122559e-05,0.0,0.0,0.0,0.0009568129430696299,0.0,0.1149045361631801,0.0001304744922367677,0.0,0.03988170312703866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001739659896490236,0.0,0.0,0.0019136258861392598,0.0,0.0,0.0
"X206655",0.0,0.02735042735042735,0.0008547008547008547,0.010683760683760684,0.0,0.04658119658119658,0.0,0.07179487179487179,0.0,0.0,0.0,0.006837606837606838,0.0,0.0,0.0,0.21025641025641026,0.0,0.011111111111111112,0.005982905982905983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024786324786324785,0.0,0.0,0.0,0.0,0.0,0.13675213675213677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004700854700854701,0.007264957264957265,0.0,0.03162393162393162,0.0,0.0,0.0,0.0,0.002136752136752137,0.04188034188034188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.03504273504273504,0.0,0.0,0.0,0.0,0.0,0.0,0.002564102564102564,0.0,0.0,0.0,0.01752136752136752,0.06111111111111111,0.013675213675213675,0.0,0.0,0.0,0.005555555555555556,0.002136752136752137,0.0,0.0,0.0,0.0,0.004273504273504274,0.0,0.0,0.002136752136752137,0.0,0.0017094017094017094,0.0,0.0,0.00042735042735042735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021367521367521368,0.002564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0,0.00042735042735042735,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019658119658119658,0.0,0.0,0.0,0.007264957264957265,0.0,0.0,0.0,0.0,0.00042735042735042735,0.0,0.0,0.0,0.0,0.0,0.010256410256410256,0.0,0.04145299145299145,0.0,0.0,0.0,0.0,0.03418803418803419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.011538461538461539,0.0,0.011965811965811967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029914529914529917,0.0,0.0,0.004273504273504274,0.0,0.0,0.0
"X206659",0.0,0.0,0.050964946829460414,0.0,0.0,0.003938558487593541,0.0014966522252855454,0.017881055533674674,0.0,0.0,0.0,0.00015754233950374162,0.0,0.0,0.0,0.00015754233950374162,0.0,0.0,0.0,0.0,0.0,0.0,0.005907837731390311,0.0,0.0,0.002520677432059866,0.0,0.0019692792437967705,0.0,0.0,0.0,0.00031508467900748325,0.00023631350925561244,0.1676250492319811,0.0,0.0,0.0,0.00031508467900748325,0.008428515163450178,0.0,7.877116975187081e-05,0.0,0.002993304450571091,0.0,0.0,0.032926348956282,0.0,0.0,0.008349743993698306,0.0007089405277668373,0.005592753052382828,0.0,0.01157936195352501,0.0,0.0,0.0005513981882630957,0.00031508467900748325,0.0,0.0,0.0,0.0,0.0,0.038519102008664825,0.0,0.00023631350925561244,0.0,0.0,0.0005513981882630957,0.0,0.002048050413548641,0.0,0.0,0.0,0.0,0.0,0.0,0.00385978731784167,0.0,0.00031508467900748325,0.004017329657345412,0.01929893658920835,0.0029145332808192203,0.0,0.0,0.0,0.0,0.0,0.0,0.04631744781410004,0.0,0.0,0.0,0.0,0.00015754233950374162,0.00023631350925561244,0.0,0.0,0.0,0.0,0.028830248129184718,0.0,0.0,0.0,0.009452540370224497,0.0,0.0,0.0,0.0,0.08916896415911776,0.0,0.0,0.005435210712879086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023631350925561244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009925167388735723,0.0,0.0,0.0,0.004096100827097282,0.0,0.0,0.0,0.0013391098857818038,0.13186293816463174,0.0,0.0,0.0007089405277668373,0.10035447026388342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023631350925561244,0.0,0.0,0.0,0.0,0.0031508467900748325,0.0,0.0,0.0,0.005356439543127215,0.0,0.0,0.0,0.0,0.0009452540370224497,0.016463174478141,0.0,0.0004726270185112249,0.0,0.0011027963765261914,0.0,0.008901142181961402,0.0,0.0,0.0,0.0,7.877116975187081e-05,0.10964946829460417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007089405277668373,0.0,0.0,0.014021268215833006,0.0,0.014021268215833006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206667",0.0,0.0,9.524716639679969e-05,0.0,0.0,0.0,0.0,0.012096390132393562,0.0,0.0,0.0,0.003428897990284789,0.0,0.007334031812553577,0.0,0.02790741975426231,0.0,0.0,0.01247737879798076,0.0,0.0,0.0,0.0014287074959519954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5151919230402896,0.0,0.0,0.0,0.0002857414991903991,0.003333650823887989,0.0,0.00933422230688637,0.0,0.0029526621583007904,0.0,0.0,0.0005714829983807982,0.0,0.0,0.0036193923230783886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00619106581579198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.524716639679969e-05,0.0,0.0,0.0005714829983807982,0.0,0.0,0.0,0.0,0.0,0.0,0.00019049433279359938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07524526145347175,0.0,0.0,0.0020001904943327937,0.0,0.0,0.015144299457091151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007810267644537575,0.0,0.0,0.0,0.0,0.0,9.524716639679969e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008572244975711972,0.0,0.0,0.0,0.004286122487855986,0.0,0.0,0.00619106581579198,0.0,0.0005714829983807982,0.0,0.0,0.0,0.0,0.0011429659967615963,0.00314315649109439,0.0,0.0,0.0,0.0051433469854271835,0.23068863701304887,0.0,0.0,0.002476426326316792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005810077150204781,0.0,0.0,0.0,0.0,0.0,0.007810267644537575,0.0,0.0,9.524716639679969e-05,0.0002857414991903991,0.0013334603295551957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005333841318220783,0.0,0.016953995618630344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004762358319839985,0.0
"X206671",0.0,0.0,0.00012641425952847481,0.0,0.0,0.0013905568548132229,0.0,0.0,0.0,0.0,0.0,0.0013273497250489855,0.0,0.00018962138929271222,0.0,0.0,0.0,0.0,0.014980089754124265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012641425952847481,0.00025282851905694963,0.0,0.0,0.0,0.5998988685923772,0.0,0.0,0.0,0.0,0.00657354149548069,0.0,0.00853296251817205,0.0,0.0036660135263257695,0.00012641425952847481,0.0,0.0,0.0,0.0,0.01902534605903546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013905568548132229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031603564882118704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092914480753429,0.0,0.0,0.0,0.026863030149800897,0.0,0.0,0.0,6.320712976423741e-05,0.0,0.0,0.0,0.0,0.07142405663358826,0.0,0.0,0.006763162884773403,0.0,0.0,0.00031603564882118704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021490424119840717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005056570381138993,0.0,0.0,0.0,0.0,0.0,0.0,0.011882940395676632,0.0,0.0,0.0030339422286833955,0.0,0.0,0.0,0.0,0.0,0.00012641425952847481,0.0,0.0,0.0,0.0,0.11800771126983124,0.0,0.09133430250932305,0.00031603564882118704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206681",0.0,0.0,0.0,0.0,0.0,0.06609547123623011,0.0,0.0055079559363525096,0.0,0.0,0.0,0.028151774785801713,0.0,0.0,0.0,0.13157894736842105,0.0,0.0,0.004283965728274173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029987760097919217,0.0,0.0,0.0,0.0,0.014075887392900856,0.14687882496940025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018971848225214197,0.017747858017135864,0.0,0.0,0.0,0.0,0.0,0.006731946144430845,0.07833537331701346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006119951040391676,0.0,0.0,0.0,0.0006119951040391676,0.0,0.0,0.0,0.0006119951040391676,0.004283965728274173,0.0,0.006119951040391677,0.0,0.0,0.0,0.0,0.0006119951040391676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006119951040391676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036719706242350062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024479804161566705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022643818849449205,0.0,0.0,0.0,0.10403916768665851,0.0,0.0,0.0,0.009791921664626682,0.004283965728274173,0.0,0.0,0.0,0.0024479804161566705,0.0,0.0,0.0018359853121175031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1744186046511628,0.0,0.0,0.0,0.0,0.0,0.0,0.0006119951040391676,0.004283965728274173,0.0,0.0,0.020195838433292534,0.0,0.07588739290085679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008567931456548347,0.0,0.0,0.0030599755201958386,0.0,0.0,0.0
"X206534",5.1778594728939054e-05,5.1778594728939054e-05,0.0005695645420183296,0.0002588929736446953,0.0,0.006420545746388443,0.0007249003262051468,0.0015533578418681717,0.0,0.0,0.0,0.00015533578418681717,0.0,0.0,0.0,0.0196240874022679,0.0,0.12986071558017914,0.008077460777714493,0.00015533578418681717,0.0,0.0,0.001812250815512867,0.0,0.00046600735256045154,0.0,0.0007766789209340859,0.007093667477864651,0.0,0.0007249003262051468,0.0005177859472893906,0.0,0.0024853725469890747,0.42971055765546523,0.00041422875783151243,0.0,0.0,0.00010355718945787811,0.009579040024853725,0.0,0.012944648682234765,0.0,0.00548853104126754,0.0007249003262051468,0.0,0.004142287578315125,0.0,0.0,0.023766374980583028,0.006627660125304199,0.013876663387355668,0.0032102728731942215,0.0,0.0,0.0,0.00020711437891575622,0.0,0.0,0.0,0.0,0.00020711437891575622,5.1778594728939054e-05,0.0,0.0005695645420183296,0.0,0.0,0.004867187904520271,0.00015533578418681717,0.0,5.1778594728939054e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010355718945787812,0.0006731217314762078,0.0,0.0,0.00010355718945787811,0.0,5.1778594728939054e-05,0.0,0.0,0.0,0.0,0.00010355718945787811,0.0,0.0,0.0,0.0,0.0,0.00010355718945787811,0.0002588929736446953,0.00020711437891575622,0.0,0.0,0.0021229223838865013,0.0,0.0,0.0,0.0,0.0,0.0002588929736446953,0.0,0.00015533578418681717,0.0,0.003624501631025734,0.0,0.0,0.0,0.0,0.002951379899549526,0.0,0.0,0.0002588929736446953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005695645420183296,0.0,5.1778594728939054e-05,0.00046600735256045154,0.008129239372443432,0.0,0.0,0.0,0.004815409309791332,0.00010355718945787811,0.0,0.0,0.00657588153057526,0.0,0.00020711437891575622,0.0,0.0,0.0016051364365971107,0.00031067156837363434,0.00010355718945787811,0.022782581680733185,0.0,0.0,0.05431574587065707,0.003003158494278465,0.0,0.0,5.1778594728939054e-05,0.0,0.0,0.0,0.0,5.1778594728939054e-05,0.0014498006524102935,5.1778594728939054e-05,0.0,0.0,0.03888572464143323,0.0,0.0,0.0,0.003520944441567856,0.00041422875783151243,0.0,0.0,0.00046600735256045154,0.00015533578418681717,0.011391290840366592,0.00020711437891575622,0.0014498006524102935,0.0,0.00041422875783151243,0.0,0.004815409309791332,0.0,0.0,0.0,0.0,0.0,0.07036711023662817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003624501631025734,0.0,0.0,0.04846476466628696,0.0,0.000880236110391964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003572723036296795,0.0,0.0,0.0
