OTU,LDA_score,CLass
Victivallaceae,5.143075042990641,nonIBD
Clostridiales_vadinBB60_group,5.571278954896243,nonIBD
Mollicutes_RF9__order__,6.513287479026709,nonIBD
Rikenellaceae,7.069993323295855,nonIBD
Christensenellaceae,7.207778107541878,nonIBD
Desulfovibrionaceae,7.50410471520191,nonIBD
Prevotellaceae,7.93205201035303,nonIBD
