"","Betaproteobacteria","Clostridia","Bacteroidia","Alphaproteobacteria","Actinobacteria","Gammaproteobacteria","Bacilli","Negativicutes","Erysipelotrichia","Fusobacteriia","Deinococci","Coriobacteriia","Melainabacteria","Deltaproteobacteria","Epsilonproteobacteria","MB_A2_108","Mollicutes","Sphingobacteriia","Synergistia","Lentisphaeria","Thermomicrobia","Chloroplast","Flavobacteriia","Acidobacteria","Cytophagia","Verrucomicrobiae","Methanobacteria","Latescibacteria(phylum)"
"X206658",0.008080313418217433,0.5227717923604309,0.2808521057786484,0.0020200783545543583,0.0053868756121449556,0.050257100881488735,0.002877081292850147,0.00581537708129285,0.0008570029382957884,0.0,0.0,0.00018364348677766894,0.0012242899118511264,0.003672869735553379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012242899118511264,0.0,0.0004285014691478942,0.0,0.11545053868756121,0.0,0.0
"X206704",0.020413673921261543,0.5386401684938165,0.2893017227412648,0.0,0.0023221904196144083,0.0624291191877734,0.020413673921261543,0.057514716206728954,0.0010800885672625155,0.0010800885672625155,0.0,0.0012421018523518929,0.0,0.003348274558513798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022141815628881566,0.0,0.0
"X206753",0.009115488605639243,0.5033989957512554,0.3954036307454616,3.862495171881035e-05,0.0018539976825028969,0.00220162224797219,0.011896485129393588,0.04936268829663963,0.001197373503283121,0.0002317497103128621,0.0,0.0001544998068752414,0.0,0.009154113557358054,0.0,0.0,0.0013518733101583623,0.0,0.0,0.0,0.0,3.862495171881035e-05,0.0,0.0,0.0,0.014600231749710313,0.0,0.0
"X206711",0.00012992074834351045,0.5793599237798276,0.341388419730631,0.0,0.0029015633796717335,0.0009527521545190767,0.0013858213156641116,0.04694469706812178,0.02174007188948075,0.0002598414966870209,0.0,0.002771642631328223,0.0,0.002122038889610671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.330691611450349e-05,0.0,0.0
"X206719",0.0045281729249433975,0.4729377589815883,0.4947669699688154,0.0,0.0011106839249861165,0.0008116536374898544,8.543722499893203e-05,0.004400017087445,0.012772865137340338,0.0,0.0,0.00042718612499466016,0.0,0.008031099149899612,4.2718612499466016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.543722499893203e-05,0.0,0.0,0.0,0.0,0.0
"X206726",0.0001254495274734465,0.5385130049343481,0.42414485238772265,0.0,0.0005854311282094171,0.005185247135569122,0.00037634858242033953,0.013255833403027516,0.007359705611775529,0.008990549468930334,0.0,0.00020908254578907754,0.0,0.0006690641465250481,0.0005854311282094171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206730",0.00013462574044157243,0.22051696284329564,0.2660204631125471,0.0,0.001884760366182014,0.4886914378029079,0.0057889068389876145,0.0006731287022078621,0.011443187937533657,0.001884760366182014,0.0,0.00026925148088314486,0.0,0.0,0.000942380183091007,0.0,0.0,0.000942380183091007,0.0,0.0,0.0005385029617662897,0.0,0.0,0.0,0.0,0.0,0.0,0.00026925148088314486
"X206739",0.013710530291584831,0.6778214231757063,0.2640126907387823,3.777005589968273e-05,0.0046079468197612935,0.0020395830185828676,0.0010953316210907992,0.013899380571083246,0.018507327390844538,0.00030216044719746184,0.0,0.000566550838495241,0.0,0.003210454751473032,7.554011179936546e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.777005589968273e-05,7.554011179936546e-05,0.0,0.0
"X206741",0.01718153418951753,0.5277681360638667,0.42867060048594235,0.00013016313779937522,0.001345019090593544,0.0009111419645956265,0.0009545296771954183,0.011150642138146477,0.0007375911141964596,0.00013016313779937522,8.677542519958348e-05,8.677542519958348e-05,0.0,0.010846928149947935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206742",0.011120721611268997,0.3556983401293299,0.5307055480044482,4.118785781951481e-05,0.0015651385971415627,0.0018122657440586515,0.017175336710737673,0.0386753984925244,0.0011532600189464147,0.0,0.0,0.00028831500473660367,0.0,0.0018534536018781664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03805758062523168,0.0018534536018781664,0.0
