"","Bacteria","Archaea"
"X206758",0.9999999999999998,0.0
"X206702",0.9999999999999999,0.0
"X206708",0.9999999999999999,0.0
"X206746",1.000000000000001,0.0
"X206703",0.9999999999999998,0.0
"X206752",0.9999999999999989,0.0
"X206710",1.000000000000001,0.0
"X206712",1.0000000000000002,0.0
"X206718",1.000000000000001,0.0
"X206721",0.9999999999999998,0.0
"X206724",1.0000000000000004,0.0
"X206725",1.0000000000000009,0.0
"X206728",1.0000000000000002,0.0
"X206729",1.0000000000000002,0.0
"X206731",0.9998784834737527,0.00012151652624757
"X206733",1.0000000000000002,0.0
"X206738",1.0000000000000009,0.0
"X206740",1.0000000000000007,0.0
"X206743",0.9990261252487608,0.0009738747512385151
"X206750",1.0000000000000013,0.0
"X206756",0.9999999999999999,0.0
"X206761",0.999999999999999,0.0
"X206766",0.9999999999999993,0.0
"X206768",0.9937416182387123,0.00625838176128743
"X224327",1.0000000000000004,0.0
"X224325",0.9999999999999993,0.0
"X224323",0.9999999999999997,0.0
"X219634",0.9999999999999987,0.0
"X219638",1.0000000000000004,0.0
"X219644",1.0,0.0
"X219645",1.0000000000000002,0.0
"X219652",0.999999999999999,0.0
"X219653",0.9909937888198748,0.00900621118012422
"X219655",0.9999999999999991,0.0
"X219657",1.0,0.0
"X219670",1.0000000000000002,0.0
"X219676",1.0000000000000002,0.0
"X219692",1.0000000000000007,0.0
