"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Gammaproteobacteria","Actinobacteria","JG30_KF_CM66","Solibacteres","Thermoleophilia","Flavobacteriia","Sphingobacteriia","Bacilli","Blastocatellia","Negativicutes","Erysipelotrichia","WCHB1_32","Spartobacteria","Fusobacteriia","Deinococci","Coriobacteriia","Fibrobacteria","Opitutae","Mollicutes","Chloroflexia","Spirochaetes","Acidimicrobiia","Cytophagia","Cyanobacteria","Melainabacteria","Deltaproteobacteria","Subgroup_6","Epsilonproteobacteria","Synergistia","MB_A2_108","Nitrospira","Caldilineae","Planctomycetacia","Verrucomicrobia_Incertae_Sedis","Anaerolineae","WCHA1_57","Chlorobia","OPB35_soil_group","Tectomicrobia(phylum)","Lentisphaeria","Methanobacteria","Thermomicrobia","Proteobacteria_Incertae_Sedis","Thermoplasmata","Candidatus_Falkowbacteria","Chloroplast","Gitt_GS_136","Bacteroidetes_vadinHA17","Cyanobacteria(phylum)","Holophagae","ML635J_21","Acidobacteria","Oligosphaeria","KD4_96","Verrucomicrobiae","uncultured","TK10","Candidatus_Nomurabacteria","Gemmatimonadetes","Latescibacteria(phylum)","UA11","Subgroup_2","Elusimicrobia"
"X206724",0.0,0.008480403392161353,0.28107571243028534,0.16494766597906613,0.5323172129268855,0.000267400106960043,0.0,0.0,0.0,3.82000152800061e-05,0.0,0.005118802047520814,0.0,0.001031400412560164,0.000496600198640079,0.0,0.0,0.00538620215448086,0.0,0.0001910000764000301,0.0,0.0,0.0,0.0,0.000191000076400031,0.0,0.0,0.0,0.0,0.000267400106960043,0.0,0.000191000076400031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206725",0.0,0.000112807400165451,0.6570279010303077,0.3004813115740397,0.009400616680454237,0.000188012333609085,0.0,0.0,0.0,0.0,0.0,0.000300819733774536,0.0,0.0072948785440324895,0.003459426938407164,0.0,0.0,0.0205685492968339,0.0,7.5204933443634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000188012333609085,0.0,0.000902459201323607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206728",0.000183358392313616,0.03307785397337637,0.648355275220947,0.2498808170449957,0.016942315449778145,0.000440060141552678,0.0,0.0,0.0,3.66716784627232e-05,3.66716784627232e-05,0.0013201804246580357,0.0,0.005757453518647547,0.006564230444827465,0.0,0.0,0.0285305658439987,3.66716784627232e-05,0.00047673182001540246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00825112765411273,0.0,0.00011001503538817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206729",0.0,0.0021049861860281496,0.42921983949480313,0.06584659913169319,0.31035390080252645,0.005065123010130248,0.0,0.0,0.0,0.000986712274700697,0.0,0.11103802131298507,0.0,0.05512432574661232,0.0030916984607288487,0.0,0.0,0.011248519931587951,0.000394684909880279,0.00473621891856335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000197342454940139,0.0,0.000592027364820418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206731",0.0,0.010693454309786141,0.4293178872326638,0.5051847051198961,0.0016607258587167896,0.01599967595593005,0.0,0.0,0.0,0.0,0.0,0.012880751782242397,0.0,0.01186811406351266,0.0061568373298768585,0.0,0.0,0.0,0.0,0.0004050550874918988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046176279974076495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00109364873622813,0.00012151652624757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206733",0.0,0.012425877806649312,0.22503164767806,0.7124392031447795,0.04080884802451864,3.33133453261377e-05,0.0,0.0,0.0,0.0,0.0,0.0003664467985875146,0.0,0.0025651275901125955,0.0004997001798920647,0.0,0.0,0.00489706176294223,0.0,0.0008994603238057163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33133453261377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206738",0.0006789250353606785,0.0205940594059406,0.6386421499292791,0.26489391796322526,0.007581329561527581,0.00277227722772277,0.0,0.0,0.000113154172560113,0.000226308345120226,0.0,0.01912305516265912,0.0,0.029306930693069347,0.005714285714285712,0.0,0.0,0.00135785007072136,0.00016973125884017,0.0009618104667609616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00639321074964639,0.0,0.0,0.000565770862800566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000792079207920792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000113154172560113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206740",0.0,0.01816851603462987,0.4849408608706257,0.46561394951835194,0.003414217778319713,0.00146323619070845,0.0,0.0,0.0,0.0,0.0,0.001524204365321303,0.0,0.014144616510181656,0.002011949762224119,0.0,0.0,0.000548713571515669,0.0,0.0007316180953542252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073771491281551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09681746128521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206743",8.46847609772621e-05,0.009357666087987462,0.2245416437312107,0.6732015073887456,0.0020747766439429263,0.001736037600033874,0.0,0.0,0.0,0.000338739043909049,0.000381081424397679,0.014354066985645885,0.00038108142439768,0.021721641190667693,0.0008891899902612513,0.0,0.0,0.001863064741499768,8.46847609772621e-05,0.0013549561756361981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003387390439090483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009738747512385151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043273912859381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206750",0.0001790959237767749,0.00035819184755355,0.3962318217637372,0.527115122859804,0.01941399813740243,0.00136112902070349,0.0,0.0,0.0,0.0,3.5819184755355e-05,0.006805645103517445,0.0,0.028297155956730474,0.003331184182248014,0.0,7.16383695107099e-05,3.5819184755355e-05,0.0,0.00035819184755355,0.0,0.0,3.5819184755355e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0162260906941758,0.0,0.0,3.5819184755355e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000107457554266065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
