"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Acidobacteria","Verrucomicrobia","Fusobacteria","Deinococcus_Thermus","Fibrobacteres","Tenericutes","Spirochaetae","Cyanobacteria","Synergistetes","Nitrospirae","Planctomycetes","WSA2","Chlorobi","Tectomicrobia","Lentisphaerae","Euryarchaeota","Parcubacteria","Armatimonadetes","Gemmatimonadetes","Latescibacteria","Elusimicrobia"
"X206761",0.09098266388380116,0.36337692209396416,0.5366102994420067,0.0085189760190825,0.0,0.0,0.0,0.00051113856114495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206766",0.033638759884523646,0.4006945316095559,0.5490565248315967,0.000962302832517468,0.0,0.0,0.0,0.0155642023346304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3678507175432e-05
"X206768",0.6562360303978544,0.25748770675011134,0.03933839964237821,0.02548055431381316,0.0,0.0,0.0,0.0116227089852481,0.0,0.0,0.0,0.0,0.00178810907465355,0.0,0.00178810907465355,0.0,0.00447027268663388,0.0,0.0,0.0,0.00178810907465355,0.0,0.0,0.0,0.0,0.0
"X224327",0.1615150195907711,0.3707879843273841,0.45707444492816673,0.010491946016543291,0.0,0.0,0.000130605137135394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224325",0.11518949567293345,0.3416890480453598,0.5408460161145925,0.0014920919128618318,0.0,0.0,0.0,0.000783348254252462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224323",0.10208312266154315,0.40610779654161194,0.49008999898877526,0.0012640307412276261,0.0,0.0,5.05612296491051e-05,0.000404489837192841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219634",0.01953611457036115,0.8931351183063501,0.0832814445828144,0.00311332503113325,0.0,0.0,0.0,0.000933997509339975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219638",0.024068558925423904,0.8641585121254486,0.09268826353856438,0.012642071354768122,0.0,0.0,0.0,0.0064425940557953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219644",0.000650336006936917,0.9250379362670715,0.07331454584868843,0.000823758942120095,0.0,0.0,0.0,0.000173422935183178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219645",0.02327093083723353,0.5354047495233142,0.43863754550182,0.0024700988039521622,0.0,0.0,4.33350667360028e-05,0.000130005200208008,0.0,0.0,0.0,0.0,4.33350667360028e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219652",0.014489218460337598,0.7031905551761141,0.2051419650697624,0.06498194945848375,0.0,0.000146355742023612,0.00131720167821251,4.8785247341204e-05,0.0,0.0,0.0,0.0,0.010683969167723704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219653",0.09415113871635614,0.5238612836438916,0.2948757763975156,0.0016563146997929598,0.0,0.0,0.055175983436853,0.0212732919254658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00900621118012422,0.0,0.0,0.0,0.0,0.0
"X219655",0.019859869533703795,0.840251268422324,0.13679632761536561,0.0006764919062575505,0.0,0.0,0.00125634211162116,0.00115970041072723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219657",0.11427142936503566,0.8676740181101046,0.01699905560802181,0.001055496916837953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219670",0.013187360039810898,0.8395745210251307,0.14139089325702908,0.005162975864642944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000684249813386414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219676",0.03695709629107573,0.4432208615980974,0.17377323583825202,0.00603471059818518,0.0,0.0,0.0,0.34001409567439006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219692",0.0833333333333333,0.0,0.216666666666667,0.3000000000000003,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
