"","Prevotellaceae","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","Peptococcaceae","Solibacteraceae_Subgroup_3_","Pseudomonadaceae","Kineosporiaceae","Christensenellaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Burkholderiaceae","Family_XI","Coriobacteriaceae","Bacteroidaceae","Clostridiales_vadinBB60_group","Streptococcaceae","Peptostreptococcaceae","Thermaceae","Caulobacteraceae","Bifidobacteriaceae","Porphyromonadaceae","NB1_n(order)","Actinomycetaceae","Family_XII","Defluviitaleaceae","Oxalobacteraceae","Family_XIII","Alicyclobacillaceae","Rikenellaceae","Micrococcaceae","Gastranaerophilales(order)","Campylobacteraceae","MB_A2_108(class)","Leptotrichiaceae","Mollicutes_RF9(order)","Acidaminococcaceae","SM2D12","Moraxellaceae","Rhodospirillaceae","Thermoanaerobacteraceae","Synergistaceae","vadinBE97","Fusobacteriaceae","Microbacteriaceae","Neisseriaceae","Chitinophagaceae","Planctomycetaceae","Victivallaceae","env_OPS_17","Obscuribacterales(order)","Lactobacillaceae","Comamonadaceae","Bacteroidales_S24_7_group","Family_X","Staphylococcaceae","Desulfovibrionaceae","Bacteriovoracaceae","Flavobacteriaceae","Pasteurellaceae","Aerococcaceae","Enterobacteriaceae","Sphingomonadaceae","Xanthomonadaceae","Rhodospirillales_Incertae_Sedis","Thermoplasmatales_Incertae_Sedis","Chloroplast(class)","Leuconostocaceae","Verrucomicrobiaceae","Carnobacteriaceae","Methanobacteriaceae","Cytophagaceae","uncultured","Bradyrhizobiaceae","Cellvibrionaceae","Acidobacteriaceae_Subgroup_1_","Unknown_Family","Methylobacteriaceae"
"X215056",6.34799720688e-05,0.0,0.0763029264267,0.0,0.0,0.0,6.34799720688e-05,0.0,0.00349139846378,0.526439408367,0.00342791849172,0.0020313591062,0.00736367675998,0.0,6.34799720688e-05,0.000634799720688,0.168285405954,0.000190439916206,0.00856979622929,6.34799720688e-05,0.0,0.0,0.00260267885482,0.00463403796102,0.0,0.000126959944138,0.0,0.0,0.0,0.00050783977655,0.0,0.00761759664826,0.0,0.00139655938551,0.0,0.0,0.0,0.0,0.0218371103917,0.0,6.34799720688e-05,0.00120611946931,0.0,0.0,0.0,0.0146638735479,0.0,0.000888719608963,6.34799720688e-05,0.0,0.0,0.0,0.0,0.0,0.000126959944138,0.0,0.0,0.000190439916206,0.00660191709516,0.0,0.0,0.00146003935758,0.0,0.0611312131023,0.0,0.0,0.0,0.0,0.0,0.0,0.076556846315,0.000444359804482,0.000888719608963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215055",0.0,0.0,0.071300502032,0.0,0.0,0.0,0.000119531436768,0.0,0.000478125747071,0.434018646904,0.00364570882142,0.00197226870667,0.0133277551996,0.0,0.000119531436768,0.000776954338991,0.329189576859,0.000179297155152,0.00466172603395,0.0,0.0,0.0,0.00454219459718,0.0063351661487,0.0,5.97657183839e-05,0.0,0.0,0.0,0.000239062873536,0.000179297155152,0.00478125747071,0.000119531436768,0.00167344011475,0.000418360028688,0.0,0.0,0.0,0.00974181209658,0.0,0.000119531436768,0.000776954338991,0.000119531436768,0.0,0.0,0.0103992349988,0.0,0.000657422902223,0.0,0.0,0.000478125747071,0.000179297155152,0.0,0.0,0.0,0.0,0.0,0.000119531436768,0.0151804924695,0.0,0.0,0.000896485775759,0.0,0.061797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.0201410470954,0.000358594310304,0.000358594310304,0.0,0.0,0.0,0.0,0.0,0.000537891465455,0.0
"X215058",0.0814223314223,0.0,0.267130767131,0.0,0.0,0.0,0.00143325143325,0.0,0.0149467649468,0.303985803986,0.0405405405405,0.00047775047775,0.00757575757576,0.0,0.0,0.0004095004095,0.137796887797,0.0,0.000273000273,0.0,0.0,0.0001365001365,6.82500682501e-05,0.027573027573,0.0,0.00034125034125,0.0,0.0,0.0,0.000750750750751,0.0,0.0120802620803,0.0,0.0,0.0,0.0,0.0,0.0042315042315,0.00764400764401,0.0,6.82500682501e-05,0.0282555282555,0.0,0.00020475020475,0.000955500955501,0.0,0.0,0.0004095004095,0.0,0.0,6.82500682501e-05,0.0,0.00034125034125,0.0,0.0,0.0,0.0,0.0,0.0410865410865,0.0,0.0,0.000682500682501,0.0,0.000682500682501,0.0,0.0,0.0,0.0,0.0,0.0,0.0178132678133,0.0001365001365,0.00047775047775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215057",0.0884402696765,0.0,0.242027119158,0.0,0.000416635103401,0.0,7.5751836982e-05,0.0,0.0166275282176,0.223808802363,0.0410196197258,0.000340883266419,0.0102643739111,0.0,0.0,0.000530262858874,0.246004090599,0.00037875918491,0.00075751836982,0.0,0.0,0.0,0.000227255510946,0.0388228164533,0.0,0.0,0.0,0.000265131429437,0.0,0.00102264979926,0.0,0.0117036588137,0.0,0.0,0.0,0.0,0.0,0.00321945307174,0.00659040981744,0.0,0.0,0.0221195363988,3.7875918491e-05,7.5751836982e-05,0.000189379592455,7.5751836982e-05,0.0,3.7875918491e-05,0.0,0.0,0.000151503673964,0.0,0.0,0.0,3.7875918491e-05,0.0,0.0,0.000151503673964,0.0329520490872,0.0,0.0,0.000189379592455,0.0,0.000492386940383,0.0,0.0,0.0,7.5751836982e-05,0.0,0.0,0.00988561472616,0.000568138777365,0.000416635103401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215074",0.0,0.0,0.116786343314,0.0,0.0,0.0,0.0,0.0,0.000677414984419,0.44262295082,0.0273675653705,0.0215417965045,0.0246579054329,0.0,0.0,0.00270965993768,0.30781736892,0.0,0.0100257417694,0.0,0.0,0.0,0.00311610892833,0.0,0.0,0.00108386397507,0.0,0.00352255791898,0.0,0.000677414984419,0.0,0.00487738788782,0.000135482996884,0.0,0.0,0.000406448990652,0.0,0.00596125186289,0.0,0.0,0.000135482996884,0.0,0.0,0.0,0.0,0.000677414984419,0.000270965993768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000812897981303,0.0,0.0,0.0,0.00216772795014,0.0,0.0,0.0050128708847,0.0,0.00352255791898,0.0,0.0,0.0,0.0,0.0,0.0,0.0117870207289,0.00162579596261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215077",0.00027502750275,0.0,0.159149248258,0.0,0.0,0.0,0.0001833516685,0.0,0.001466813348,0.369178584525,0.0195727906124,0.0164558122479,0.0166391639164,0.0,0.0,0.0012834616795,0.371470480381,0.0,0.00375870920425,0.0,0.0,0.0,0.00284195086175,0.0,0.0,0.0001833516685,0.0,0.0,0.0,0.000366703337,0.0,0.00779244591126,0.0,0.000137513751375,0.000137513751375,0.0,0.000137513751375,0.00160432709938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027502750275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.16758342501e-05,0.0,9.16758342501e-05,0.00430876420975,0.0,0.0,0.00600476714338,0.0,0.000504217088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0156765676568,0.000412541254125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X222170",0.0,0.0,0.105317730707,0.000592504814102,0.0,0.0,0.0,0.0,0.00222189305288,0.0967264109021,0.0374759294919,0.000888757221152,0.000592504814102,0.0,0.0,0.000592504814102,0.603614279366,0.0,0.00207376684936,0.0,0.0,0.0,0.000296252407051,0.069915568064,0.0,0.000296252407051,0.0,0.0,0.0,0.000592504814102,0.0,0.06428677233,0.0,0.0,0.0,0.0,0.0,0.0,0.00666567915864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000444378610576,0.0,0.0,0.0,0.00607317434454,0.0,0.0,0.0,0.0,0.00133313583173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X222171",0.0,0.0,0.151512597961,0.0,0.0,0.0,0.00227521698829,0.0,0.00176961321311,0.106261060083,0.0405325693099,0.000168534591725,0.000926940254487,0.0,0.000421336479312,0.000926940254487,0.543945394792,0.0,0.00547737423106,0.0,0.0,0.0,0.0006741383669,0.0695205190865,0.0,0.000168534591725,0.0,0.0,0.0,0.000168534591725,0.0,0.0541838712396,8.42672958625e-05,0.0,0.0,0.0,0.0,0.0,0.00994354091177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000589871071037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00699418555659,0.0,0.0,0.0006741383669,0.0,0.00168534591725,0.0006741383669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000421336479312,0.0,0.0,0.0,0.0,0.0,0.0
"X224844",0.0,0.0,0.456580855693,0.000634517766497,0.0,0.0,0.000271936185642,0.0,0.00462291515591,0.159626540972,0.0311820159536,9.06453952139e-05,0.0,0.0,0.0,0.000543872371284,0.267766497462,0.0,0.000271936185642,0.0,0.0,0.0,0.00416968817984,0.00489485134155,0.0,0.0,0.0,0.0,0.0,0.000725163161711,0.0,0.0137781000725,0.0,0.0,0.0,0.0,0.0,0.0,0.0113306744017,0.0,0.0,0.0,0.0,0.0,0.0,0.00190355329949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000543872371284,0.000997099347353,0.0,0.000543872371284,9.06453952139e-05,0.00725163161711,0.0,0.0,0.00335387962292,0.0,0.0286439448876,0.0,0.000181290790428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224845",4.66548474386e-05,0.0,0.475506205095,0.0,0.0,0.0,0.0,0.0,0.00363907810021,0.19016515816,0.0281328730055,9.33096948773e-05,0.000886442101334,0.0,4.66548474386e-05,9.33096948773e-05,0.255108705795,0.0,0.00130633572828,0.000606513016702,0.0,0.0,0.00116637118597,0.00377904264253,0.0,0.000139964542316,0.0,0.0,0.0,0.00111971633853,0.0,0.0104973406737,0.0,0.0,0.0,0.0,0.0,0.0,0.0136698702995,0.0,0.0,0.0,0.0,0.0,0.0,0.00125968088084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66548474386e-05,0.0,0.0,9.33096948773e-05,0.00303256508351,0.0,0.0,0.00181953905011,0.0,0.00774470467482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
