"","Acetobacteraceae","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Pasteurellaceae","Corynebacteriaceae","Peptococcaceae","uncultured","Pseudomonadaceae","Sphingomonadaceae","Lactobacillaceae","Rhodospirillaceae","Blastocatellaceae_Subgroup_4_","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","WCHB1_32(class)","DA101_soil_group","Family_XI","Sphingobacteriaceae","Coriobacteriaceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Flavobacteriaceae","Peptostreptococcaceae","Leuconostocaceae","Rikenellaceae","Opitutaceae","Fusobacteriaceae","Bifidobacteriaceae","Aerococcaceae","Actinomycetaceae","Caulobacteraceae","Defluviitaleaceae","Moraxellaceae","Hyphomicrobiaceae","Oxalobacteraceae","Thermaceae","Cellulomonadaceae","Eubacteriaceae","Cytophagaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Subgroup_6(class)","Methylobacteriaceae","Mollicutes_RF9(order)","Micromonosporaceae","Acidaminococcaceae","Bacteroidales_S24_7_group","Unknown_Family","Anaerolineaceae","Thermoanaerobacteraceae","OPB35_soil_group(class)","Synergistaceae","vadinBE97","NS11_12_marine_group","Paenibacillaceae","Nocardioidaceae","Microbacteriaceae","Neisseriaceae","Chitinophagaceae","JG30_KF_CM45(order)","Rhizobiaceae","Victivallaceae","Intrasporangiaceae","Chloroplast(class)","Geodermatophilaceae","Staphylococcaceae","Campylobacteraceae","Bacteroidetes_vadinHA17(class)","Coxiellaceae","Enterobacteriaceae","Carnobacteriaceae","Leptotrichiaceae","Brevibacteriaceae","Methylophilaceae","Solirubrobacteraceae","Bacillaceae","Roseiarcaceae","Anaeroplasmataceae","Verrucomicrobiaceae","uncultured(class)","Helicobacteraceae","Clostridiaceae_1","Candidatus_Nomurabacteria(class)","Methanobacteriaceae","SC_I_84(order)","Gemmatimonadaceae","Sanguibacteraceae","Cellvibrionaceae","Subgroup_2(class)","Elev_16S_1332","Rhodocyclaceae","Dermabacteraceae","Pseudonocardiaceae"
"X206762",0.0,0.0002993295019157088,0.0,0.0009578544061302681,0.0,0.0,0.06100335249042146,0.06633141762452108,0.0026939655172413795,0.0,0.0,0.002334770114942529,0.0,0.0,0.0,0.0,0.39972461685823757,0.00035919540229885057,0.02490421455938697,0.01532567049808429,0.0,0.0,0.0,0.0022150383141762453,0.0,0.0028735632183908046,0.3442887931034483,0.009578544061302681,0.0013170498084291188,0.0028735632183908046,0.0009578544061302681,0.0,0.0013170498084291188,0.0,0.0006585249042145594,0.003232758620689655,0.0,0.00023946360153256704,0.0,0.0,0.0,0.0,0.0006585249042145594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010775862068965517,5.986590038314176e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054477969348659006,0.00023946360153256704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206770",0.0,0.0,0.0,0.03778946964169131,0.0001920196628134721,0.0006528668535658052,0.18053688697722647,0.0018817926955720266,0.00011521179768808326,0.0,0.0,0.0,0.0001536157302507777,0.0,0.0,3.840393256269442e-05,0.35454510541879486,0.0172049617880871,0.008640884826606245,0.008717692691731633,0.0,7.680786512538885e-05,0.0,3.840393256269442e-05,0.0001920196628134721,0.000998502246630055,0.3489765351972042,0.017781020776527517,0.0011137140443181382,0.0001536157302507777,0.0004992511233150275,0.0,0.0003840393256269442,0.0,7.680786512538885e-05,0.0028802949422020814,0.0,7.680786512538885e-05,0.0,0.0,7.680786512538885e-05,0.0001920196628134721,0.00011521179768808326,0.0,0.00011521179768808326,0.0,0.0004224432581896386,0.0,0.0,0.006912707861284995,0.0,0.0,0.0,0.0,0.0034563539306424976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001536157302507777,0.0,7.680786512538885e-05,0.0,0.0,7.680786512538885e-05,0.0,0.0,0.0,0.004109220784208303,7.680786512538885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026882752793886094,0.0,7.680786512538885e-05,0.0001536157302507777,0.0,0.0,0.0,0.0,0.0
"X224330",0.0,0.0,0.00047824007651841227,0.07996174079387852,0.00033476805356288854,0.0,0.17230989956958392,9.564801530368245e-05,0.006025824964131995,0.0,0.0,0.00028694404591104734,0.0,0.0,0.0,0.0,0.18077474892395984,0.05561932089909134,0.019320899091343855,0.005691056910569106,0.0,0.0,0.0,0.00028694404591104734,0.0,0.0024868483978957435,0.40344332855093257,0.012242945958871354,0.0015303682448589192,0.004973696795791487,0.002821616451458632,0.0,0.0040650406504065045,0.0,0.0,0.00234337637494022,0.0,9.564801530368245e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038737446197991392,0.0,0.0,0.00014347202295552367,0.0,0.0,0.0,0.0,0.0,0.0012434241989478718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005738880918220947,0.0,0.0024868483978957435,0.0001912960306073649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001912960306073649,0.00028694404591104734,0.0,0.03543758967001435,0.0,0.0,0.0,0.0003825920612147298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224326",0.0,3.348737525952716e-05,0.001908780389793048,0.062286517982720516,0.0008036970062286518,0.0,0.24010448061080972,0.00020092425155716296,0.0,0.0,0.0,6.697475051905432e-05,0.0,0.0,0.0,0.0,0.11502913401647578,0.031444645368696005,0.022537003549661778,0.002545040519724064,6.697475051905432e-05,0.0,0.0,0.0009376465072667605,0.0,0.0003348737525952716,0.24372111713883865,0.14148416047150225,0.00043533587837385306,0.0,0.00023441162681669012,0.0,0.03700354966177751,0.0,0.00043533587837385306,6.697475051905432e-05,0.0,0.0,0.0,0.0,3.348737525952716e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048154845623200056,0.0,0.0,0.0,0.0,0.00023441162681669012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013394950103810864,0.0,0.0,0.0,0.049695264885138306,3.348737525952716e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.348737525952716e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206572",0.0,7.052186177715091e-05,0.0,0.0,0.0,0.0,0.04978843441466855,0.03596614950634697,0.0004231311706629055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14802538787023978,0.0,0.003455571227080395,0.004724964739069111,0.0,0.0,0.0,0.0004231311706629055,0.0,0.00014104372355430183,0.32447108603667135,0.0009873060648801129,0.002256699576868829,0.0,0.0,0.0,0.0,0.0,0.004301833568406206,0.0,0.0,0.0006346967559943583,0.0,0.0,7.052186177715091e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028208744710860365,0.0,0.0,0.0,0.0,0.0,0.0,0.00021156558533145275,0.0,0.0,0.0,0.0,0.00028208744710860365,0.0,0.0,0.0,0.42235543018335686,0.0,0.0,0.0004231311706629055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007052186177715092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215062",0.0,0.0,0.01996113760819643,0.10121886592474828,0.005652711535064477,0.0,0.26541247129482426,0.0,0.0,0.002208090443384561,0.0,0.01086380498145204,0.0,0.0,0.0,0.0,0.21639286345168698,0.005122769828652182,0.04442677972089737,0.0028263557675322383,0.0001766472354707649,0.0,0.0,0.0,0.0,0.0013248542660307366,0.04760642995937114,0.010598834128245893,0.0011482070305599717,0.0,0.0009715597950892068,0.0,0.0069775658010952125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026497085320614734,0.0005299417064122947,0.011305423070128953,0.0,0.0,0.0022964140611199434,0.0,0.04592828122239887,0.0,0.0,0.0,0.0,0.0,0.0012365306482953543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.832361773538245e-05,0.0,0.0,0.0,0.1795619148560325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00759583112524289,0.0,0.0,0.0016781487369722664,0.0003532944709415298,0.006270976859212153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215080",0.0,9.699791454483729e-05,0.00024249478636209323,0.005383384257238469,0.0,0.0,0.129055725301906,0.006062369659052331,0.0,0.00029099374363451185,0.0,0.0030554343081623746,0.0,0.0085843154372181,0.0,0.0,0.2011251758087201,0.004801396769969445,0.022988505747126436,0.011736747659925311,9.699791454483729e-05,0.0,0.00014549687181725592,0.0,0.0,0.000678985401813861,0.23793588437848587,0.00965129249721131,0.01285222367719094,0.0,0.016974635045346523,4.8498957272418644e-05,0.028323391047092486,0.00029099374363451185,0.0014549687181725592,0.03394927009069305,4.8498957272418644e-05,0.00048498957272418645,0.0,0.0,9.699791454483729e-05,0.0,0.0,0.0,0.0,0.00048498957272418645,4.8498957272418644e-05,0.0028129395218002813,0.0,0.00014549687181725592,0.0,0.0,0.0003394927009069305,0.0,0.001648964547262234,0.0018429603763519084,0.0,0.0,0.0,0.00024249478636209323,0.0,0.0,0.0,0.0,0.0,0.0,9.699791454483729e-05,4.8498957272418644e-05,0.0,0.0,0.0,0.0,0.0009214801881759542,0.0,0.002182453077258839,0.000533488529996605,0.0,9.699791454483729e-05,0.192540860371502,0.0143071923953635,0.00043649061545176777,0.0,9.699791454483729e-05,0.0,0.0,0.0,0.0,0.02405548280711965,0.0,0.0003394927009069305,0.020175566225326156,0.0,0.0,0.0,0.0,0.0,0.0,9.699791454483729e-05,0.0,0.0,4.8498957272418644e-05,0.0
"X219643",0.0,5.2999788000847996e-05,0.03662285350858597,5.2999788000847996e-05,0.002172991308034768,0.0,0.3269026923892304,0.00015899936400254398,0.00010599957600169599,0.0,0.00021199915200339198,0.00015899936400254398,0.0007949968200127199,0.0022259910960356157,0.0,0.0,0.32292770828916684,0.004398982404070384,0.03354886580453678,0.0049819800720797116,0.001642993428026288,0.0,0.0,0.000370998516005936,0.0,0.000582997668009328,0.1339304642781429,0.00291498834004664,0.001642993428026288,0.00015899936400254398,0.0012719949120203519,0.0,0.08628365486538053,0.0,0.000370998516005936,0.014150943396226415,0.00010599957600169599,0.00010599957600169599,0.00010599957600169599,0.0,5.2999788000847996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013355946576213695,0.0038159847360610556,0.0,0.00015899936400254398,0.0,0.0,0.0,0.0,0.0,0.0,0.00021199915200339198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010599957600169599,0.0,0.00031799872800508796,0.00010599957600169599,0.0,0.0,0.0,0.00052999788000848,0.0008479966080135679,0.0,0.0,0.0,0.0,0.0,0.00015899936400254398,0.0,0.000688997244011024,0.0,0.0,0.000688997244011024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219646",0.0,0.0,0.0,4.7296977723123494e-05,0.0,0.0,0.4096864210376957,0.00014189093316937048,0.0,0.0,0.0,4.7296977723123494e-05,0.0,0.0,0.0,0.0,0.25114695170978574,0.015608002648630753,0.00033107884406186446,0.003168897507449274,0.0,0.0,0.0,0.00033107884406186446,0.0,0.00014189093316937048,0.3118289741285532,0.00014189093316937048,0.00042567279950811145,0.0,0.0007567516435699759,0.0,0.0,0.0,4.7296977723123494e-05,0.0045405098614198555,0.0,9.459395544624699e-05,0.0,0.0,4.7296977723123494e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7296977723123494e-05,0.0,0.0,0.0,0.00014189093316937048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012770183985243344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219669",0.0,4.1732743510558384e-05,0.0056756531174359404,0.007887488523495535,0.0025456973541440613,0.0,0.5303397045321759,0.00016693097404223354,0.0003338619480844671,0.0007929221267006093,0.0,0.0002503964610633503,0.0,0.0,0.0025456973541440613,0.0,0.28837325765795846,0.000542525665637259,0.04699106919288874,0.001836240714464569,0.00012519823053167516,0.0,0.0,0.00041732743510558383,0.0,0.0006677238961689341,0.04866037893331108,0.015357649611885486,0.0030882230197813204,0.0,0.005341791169351473,0.0,0.016860028378265588,0.0,0.0,0.0007094566396794926,4.1732743510558384e-05,0.00016693097404223354,0.0,0.00012519823053167516,4.1732743510558384e-05,0.0,0.0,0.0,0.0,4.1732743510558384e-05,0.0,0.000542525665637259,0.0003338619480844671,0.009640263750938986,0.0,0.0,0.0,0.0,0.00851347967615391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1732743510558384e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00012519823053167516,0.0,0.0,0.0,0.00016693097404223354,0.0006677238961689341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
