"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Actinobacteria","Gammaproteobacteria","JG30_KF_CM66","Thermoleophilia","Flavobacteriia","Sphingobacteriia","Bacilli","Negativicutes","Erysipelotrichia","Fusobacteriia","Deinococci","Coriobacteriia","Fibrobacteria","Chloroflexia","Spirochaetes","Acidimicrobiia","Melainabacteria","Deltaproteobacteria","Blastocatellia","Synergistia","Nitrospira","Caldilineae","Planctomycetacia","WCHA1_57","Spartobacteria","OPB35_soil_group","Tectomicrobia(phylum)","Lentisphaeria","Subgroup_6","Proteobacteria_Incertae_Sedis","Candidatus_Falkowbacteria","Cytophagia","Gitt_GS_136","Epsilonproteobacteria","Cyanobacteria(phylum)","Holophagae","Opitutae","Oligosphaeria","Methanobacteria","Chloroplast","Solibacteres","KD4_96","Verrucomicrobiae","Cyanobacteria","Mollicutes","UA11","Elusimicrobia"
"X206656",0.0,0.00115207373272,0.524193548387,0.274193548387,0.00172811059908,0.0259216589862,0.0,0.0,0.0,0.0,0.0,0.0253456221198,0.0714285714286,0.0293778801843,0.00345622119816,0.00172811059908,0.0,0.0,0.0,0.0,0.0,0.0230414746544,0.0,0.0,0.0109447004608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00345622119816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00403225806452,0.0,0.0,0.0,0.0
"X206655",0.0141025641026,0.0115384615385,0.712393162393,0.207692307692,0.0,0.0183760683761,0.0,0.0,0.0,0.0,0.0,0.00811965811966,0.0196581196581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00555555555556,0.00213675213675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042735042735,0.0,0.0,0.0,0.0
"X206659",0.00181173690429,0.0288302481292,0.339346199291,0.270342654588,0.00275699094132,0.0141788105553,0.0,0.0,0.0,0.0,0.00890114218196,0.274832611264,0.00748326112643,0.0083497439937,0.0,0.000551398188263,0.0,0.0,0.0,0.0,0.00401732965735,0.0282000787712,0.0,0.00945254037022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000945254037022,0.0,0.0,0.0,0.0
"X206660",0.00140512871983,0.0358809655242,0.155818738395,0.427861695187,0.000501831685653,0.0115923119386,0.0,0.0,0.0,5.01831685653e-05,0.000250915842826,0.318663120389,0.000501831685653,0.0196718020776,0.0,0.0,0.0,0.0,0.0,0.0,0.001154212877,0.0156571485924,0.0,0.002308425754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000200732674261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00848095548753,0.0,0.0,0.0,0.0
"X206667",0.000952471663968,0.0157157824555,0.411467758834,0.515858653205,0.000857224497571,0.0112391656348,0.0,0.0,0.0,0.0,0.0160967711211,0.012477378798,0.00342889799028,0.00361939232308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781026764454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000476235831984
"X206668",0.0164203612479,0.0295566502463,0.364532019704,0.390804597701,0.101806239737,0.0706075533662,0.0,0.0,0.0,0.0,0.0246305418719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00164203612479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206671",0.0,0.000126414259528,0.202136400986,0.600025282852,0.0,0.129005751849,0.0,0.0,0.0,0.000316035648821,0.00752164844194,0.0418431199039,0.0,0.019025346059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206672",0.00370076658736,0.000264340470526,0.190060798308,0.493259318002,0.00273151819544,0.263283108644,0.0,0.000881134901753,0.0,0.0,0.00563926337122,0.0252004581901,8.81134901753e-05,0.0147149528593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000176226980351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206673",0.0,0.0264553957839,0.375610777607,0.474103029457,0.000558425240821,0.000767834706129,0.0,0.0,0.0,0.0,0.0100516543348,0.0277118525757,0.00663129973475,0.0,0.0,0.000907441016334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0772022895435,0.0,0.0,0.0,0.0
"X206681",0.0,0.0,0.649326805386,0.146878824969,0.00673194614443,0.0507955936353,0.0,0.0,0.0,0.0,0.0,0.112607099143,0.0195838433293,0.0,0.0,0.0140758873929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206682",0.0,0.00733496332518,0.633251833741,0.0733496332518,0.0146699266504,0.0220048899756,0.0,0.0,0.0,0.0,0.041564792176,0.141809290954,0.00977995110024,0.0,0.0,0.0146699266504,0.0,0.0,0.0,0.0,0.0,0.0171149144254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244498777506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206695",0.0186335403727,0.00621118012422,0.26397515528,0.138716356108,0.0217391304348,0.419254658385,0.0,0.0,0.0,0.0,0.0300207039337,0.01966873706,0.0,0.00931677018634,0.00103519668737,0.00414078674948,0.0,0.0,0.0,0.0,0.0,0.0144927536232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0517598343685,0.0,0.0,0.00103519668737,0.0,0.0,0.0,0.0
"X206700",0.0,0.00281914364366,0.199960200325,0.202779343969,0.0,0.301714702663,0.0,0.0,0.0,0.0,0.00334980597658,0.0742927266094,0.0201651686511,0.192000265331,0.0,6.63327916155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00285231003947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.0,0.286170604857,0.496171014374,0.0198615831934,0.0214177484745,0.0,0.0,0.0,0.0,0.0101969777632,0.145050984889,0.0209263278595,4.09517179246e-05,0.0,8.19034358491e-05,0.0,0.0,0.0,0.0,0.0,4.09517179246e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179246e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206758",0.0,0.0,0.33864912218,0.438051989845,0.01362319877,0.0217399077484,0.0,0.0,0.0,0.0,0.0147316480137,0.157149497622,0.015267994422,0.000250294990525,0.0,0.000500589981049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272178e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.000535790827261,0.00133947706815,0.00300042863266,5.35790827261e-05,0.991909558508,0.0,0.0,0.00096442348907,0.0,0.00096442348907,0.0,0.000321474496357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000910844406344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.0,0.00169072701262,0.00481206918975,0.00442190141761,0.00182078293666,0.975159318507,0.0,0.0,0.00130055924047,0.0,0.00416178956951,0.00104044739238,0.0,0.00507218103785,0.000520223696189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.00391167841886,0.623552421638,0.327345720315,0.00102938905759,0.00236759483247,0.0,0.0,0.0,0.000257347264399,0.00319110607854,0.00524988419373,0.029543465953,0.00113232796335,0.0,0.000514694528797,0.0,0.0,0.0,0.0,0.0,0.00190436975655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.0,0.0207904957734,0.39643591501,0.546767192141,0.000182773589216,0.00379255197624,0.0,0.0,0.0,0.0,0.000959561343386,0.00936714644734,0.00635138222527,0.000502627370345,0.0,0.000731094356865,0.0,0.0,0.0,0.0,0.0,0.014119259767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",4.10172272354e-05,0.000574241181296,0.505455291222,0.412674323216,0.000820344544709,0.0350697292863,0.0,0.0,0.0,0.0,0.00742411812961,0.0146021328958,0.013412633306,0.00143560295324,0.0,0.000287120590648,0.0,0.0,0.0,0.0,0.0,0.00791632485644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000123051681706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000164068908942,0.0,0.0,0.0,0.0
"X206747",0.0,0.000420410951705,0.495296652478,0.450733091597,0.000840821903411,0.0264858899574,0.0,0.0,0.0,0.0,0.00310053076883,0.00835566766514,0.00714698617899,0.0019969520206,0.0,0.000210205475853,0.0,0.0,0.0,0.0,0.0,0.00530768826528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000105102737926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206720",0.0,0.0393145529614,0.322481639811,0.578720450144,0.000840366838394,0.00968248748584,0.0,0.0,0.0,0.0,0.00124228141328,0.0346742665059,0.00237494976068,0.00189995980854,0.0,0.000292301509007,0.0,0.0,0.0,0.0,0.0,0.00847674376119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206721",0.000129612027996,0.0505486909185,0.285967337769,0.609090123563,0.000475244102653,0.00151214032662,0.0,0.0,4.32040093321e-05,0.0,0.000518448111985,0.0395748725482,0.00168495636395,0.00233301650393,0.0,0.000172816037328,0.0,0.0,0.0,0.0,0.0,0.0079495377171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206723",0.0,0.0,0.135802469136,0.037037037037,0.0,0.814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0123456790123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206724",0.0,0.00848040339216,0.28107571243,0.164947665979,0.00026740010696,0.532317212927,0.0,0.0,3.820001528e-05,0.0,0.00511880204752,0.00103140041256,0.00049660019864,0.00538620215448,0.0,0.0001910000764,0.0,0.0,0.0001910000764,0.0,0.0,0.00026740010696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001910000764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206728",0.000183358392314,0.0330778539734,0.648355275221,0.249880817045,0.000440060141553,0.0169423154498,0.0,0.0,3.66716784627e-05,3.66716784627e-05,0.00132018042466,0.00575745351865,0.00656423044483,0.028530565844,3.66716784627e-05,0.000476731820015,0.0,0.0,0.0,0.0,0.0,0.00825112765411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000110015035388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206727",3.80995923344e-05,0.0669028841391,0.550462910047,0.290280793996,0.000800091439022,0.0472434944946,0.0,0.0,0.0,0.0,0.000647693069684,0.0035432620871,0.00670552825085,0.024040842763,0.0,0.000266697146341,0.0,0.0,0.0,0.0,0.0,0.00906770297558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206734",0.0,0.0252981341053,0.204178597275,0.681004373682,3.1465340927e-05,0.0767754318618,0.0,0.0,0.0,0.0,0.000157326704635,0.00264308863787,0.000629306818539,0.00843271136843,0.0,0.000849564205028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206733",0.0,0.0124258778066,0.225031647678,0.712439203145,3.33133453261e-05,0.0408088480245,0.0,0.0,0.0,0.0,0.000366446798588,0.00256512759011,0.000499700179892,0.00489706176294,0.0,0.000899460323806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33133453261e-05,0.0,0.0,0.0,0.0
"X206750",0.000179095923777,0.000358191847554,0.396231821764,0.52711512286,0.0013611290207,0.0194139981374,0.0,0.0,0.0,3.58191847554e-05,0.00680564510352,0.0282971559567,0.00333118418225,3.58191847554e-05,0.0,0.000358191847554,0.0,0.0,0.0,0.0,0.0,0.0162260906942,0.0,3.58191847554e-05,0.0,0.0,0.0,0.0,7.16383695107e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000107457554266,0.0,3.58191847554e-05,0.0,0.0
"X206751",3.93329137823e-05,3.93329137823e-05,0.464718376337,0.475849590938,3.93329137823e-05,0.0130978602895,0.0,0.0,0.0,0.0,0.000393329137823,0.0217904342354,0.00652926368785,0.0,0.0,0.000157331655129,0.0,0.0,0.0,0.0,0.0,0.0169918187539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93329137823e-05,0.0,0.0,0.0,0.0,0.000157331655129,0.0,0.0,0.0,0.000117998741347,0.0,3.93329137823e-05,0.0,0.0
"X206756",0.000170256235635,0.0881076019409,0.342598110156,0.505746147953,0.000212820294543,0.00753383842683,0.0,0.0,0.0,0.0,0.0019579467098,0.0160040861497,0.00570358389376,0.000212820294543,0.0,0.000255384353452,0.0,0.0,0.0,0.0,0.0,0.0208138248063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106835787861,0.0,0.0,0.0,0.0
"X206755",0.000161629222563,0.0541053822531,0.479392274123,0.408356230807,0.000202036528204,0.00488928398254,0.0,0.0,0.0,0.0,0.00234362372717,0.0215775012122,0.00509132051075,0.000161629222563,0.0,0.000323258445127,0.0,0.0,0.0,0.0,0.0,0.0141021496687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092936802974,0.0,0.0,0.0,0.0
"X206767",0.00111847199518,0.00920588488342,0.298718059021,0.518196678999,0.00137658091715,0.109782328142,0.0,0.0,0.0,0.0,0.00438785167341,0.0189279876108,0.00438785167341,0.0295964897187,0.0,8.60363073217e-05,0.0,0.0,0.0,0.0,0.0,0.00421577905876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206766",8.36785071754e-05,0.00456047864106,0.375005229907,0.549056524832,0.000878624325342,0.0260658549851,0.0,0.0,0.0,0.0,0.00129701686122,0.0222584829087,0.00213380193297,0.0155642023346,0.0,8.36785071754e-05,0.0,0.0,0.0,0.0,0.0,0.00292874775114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.36785071754e-05
"X206769",0.00553505535055,0.0,0.0184501845018,0.0147601476015,0.0479704797048,0.752767527675,0.0,0.0,0.0,0.0,0.130996309963,0.020295202952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00922509225092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206768",0.000447027268663,0.0129637907912,0.0326329906124,0.0107286544479,0.0254805543138,0.634778721502,0.0,0.0,0.0160929816719,0.0125167635226,0.220384443451,0.00312919088064,0.00134108180599,0.0116227089852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00312919088064,0.0,0.0,0.00178810907465,0.0,0.0,0.00447027268663,0.0,0.0,0.0,0.0,0.0,0.0049172999553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00178810907465,0.00178810907465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224327",0.0,0.035655202438,0.35502829778,0.457074444928,0.0104048759251,0.12446669569,0.0,0.0,0.0,0.0,0.000304745319983,0.00152372659991,0.0139312146278,0.0,0.0,8.70700914236e-05,0.0,0.0,0.0,0.0,0.0,0.00139312146278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000130605137135,0.0,0.0,0.0,0.0
"X224328",0.0,0.0337117303062,0.341665711119,0.483239689638,0.00871459694989,0.11703550816,0.0,0.0,0.0,0.0,0.000535106830256,0.00259909031839,0.00886748461568,0.000152887665788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00347819439667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206536",0.000422093584178,0.13651712494,0.177882296189,0.483598649301,0.0045827303425,0.127170767004,0.0,0.0,0.0,0.0,0.00446213217559,0.0130849011095,0.00506512301013,0.0423299565847,0.0,0.00132657983599,0.0,0.0,0.0,0.0,0.0,0.00337674867342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000180897250362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206538",0.0,0.128801634135,0.180435769405,0.441783931003,0.00283704039946,0.146504766228,0.0,0.0,0.0,0.0,0.0139582387653,0.0285973672265,0.00601452564685,0.0400590104403,0.0,0.00136177939174,0.0,0.0,0.0,0.0,0.0,0.00794371311847,0.0,0.0,0.000226963231956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00147526100772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
