"","x"
"1","Prevotellaceae"
"2","Peptococcaceae"
"3","Sphingomonadaceae"
"4","Rhodospirillaceae"
"5","Leptotrichiaceae"
"6","Peptostreptococcaceae"
"7","Rikenellaceae"
"8","Desulfovibrionaceae"
"9","Aerococcaceae"
"10","ML635J_21(class)"
