"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Fusobacteria","Fibrobacteres","Deinococcus_Thermus","Spirochaetae","Cyanobacteria","Synergistetes","Planctomycetes","Verrucomicrobia","Tectomicrobia","Lentisphaerae","Acidobacteria","Nitrospirae","Parcubacteria","Elusimicrobia"
"X206656",0.0501152073733,0.620967741935,0.274193548387,0.00345622119816,0.0,0.0293778801843,0.0,0.00345622119816,0.0,0.0,0.0,0.0,0.00403225806452,0.0,0.0,0.0,0.0109447004608,0.00345622119816,0.0
"X206655",0.0461538461538,0.740170940171,0.207692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.00555555555556,0.0,0.0,0.00042735042735,0.0,0.0,0.0,0.0,0.0,0.0
"X206659",0.07302087436,0.630563213864,0.270342654588,0.00330838912958,0.0,0.0083497439937,0.0,0.0,0.0,0.00401732965735,0.00945254037022,0.0,0.000945254037022,0.0,0.0,0.0,0.0,0.0,0.0
"X206660",0.0645355547749,0.475234606313,0.427911878356,0.000501831685653,0.0,0.0196718020776,0.0,0.0,0.0,0.001154212877,0.002308425754,0.0,0.00848095548753,0.0,0.000200732674261,0.0,0.0,0.0,0.0
"X206667",0.0357176873988,0.443470806743,0.515858653205,0.000857224497571,0.0,0.00361939232308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000476235831984
"X206668",0.118226600985,0.389162561576,0.390804597701,0.101806239737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206671",0.129132166108,0.251501169332,0.600341318501,0.0,0.0,0.019025346059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206672",0.267248215702,0.22098863336,0.493259318002,0.00361265309719,0.0,0.0147149528593,0.0,0.0,0.0,0.000176226980351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206673",0.02722323049,0.420005584252,0.474103029457,0.00146586625715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0772022895435,0.0,0.0,0.0,0.0,0.0,0.0
"X206681",0.0507955936353,0.781517747858,0.146878824969,0.0208078335373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206682",0.0464547677262,0.826405867971,0.0733496332518,0.0293398533007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244498777506,0.0,0.0,0.0,0.0,0.0,0.0
"X206536",0.267667631452,0.200494452484,0.483598649301,0.00590931017849,0.0,0.0423299565847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206538",0.283250113482,0.229005901044,0.441783931003,0.00419881979119,0.0,0.0400590104403,0.0,0.0,0.0,0.00147526100772,0.0,0.0,0.0,0.0,0.0,0.0,0.000226963231956,0.0,0.0
"X206534",0.270491378864,0.218091440998,0.474602599285,0.0118055195982,0.0,0.0242841609279,0.0,0.0,0.000569564542018,0.0,0.0,0.0,0.000155335784187,0.0,0.0,0.0,0.0,0.0,0.0
"X215050",0.088035350102,0.478416043508,0.3775492862,0.0559993201903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215023",0.246537766776,0.342744363417,0.408911487255,0.0015387703218,0.0,0.000267612229879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206548",0.461699164345,0.512070566388,0.0129990714949,0.00116063138347,0.0,0.0111420612813,0.0,0.0,0.0,0.000696378830084,0.000232126276695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206547",0.426168061367,0.555264993026,0.00950139470014,0.00409693165969,0.0,0.00496861924686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206562",0.058260005677,0.609494748794,0.2870422935,0.000496735736588,0.0,0.0,0.0,0.0,0.0,0.0444933295487,0.0,0.0,7.0962248084e-05,0.0,0.000141924496168,0.0,0.0,0.0,0.0
"X206561",0.0631471157128,0.567982705655,0.353737626579,0.00022755717374,0.0,0.0,0.0,0.0,0.0,0.01490499488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206564",0.154652137469,0.572506286672,0.268231349539,0.00125733445096,0.0,0.00335289186924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206563",0.201454886777,0.54839845125,0.224451484219,0.0116156282999,0.00281590989088,0.000469318315147,0.0,0.0,0.0,0.000586647893934,0.0,0.00457585357269,0.00293323946967,0.000410653525754,0.0,0.00228792678634,0.0,0.0,0.0
"X206570",0.242415779368,0.36830162332,0.262070169314,0.000279280851807,0.0,0.000279280851807,0.0,0.0,0.0,0.0126025484378,0.0,0.0,0.113702216792,0.0,0.000349101064758,0.0,0.0,0.0,0.0
"X206569",0.211801242236,0.294575569358,0.313084886128,0.000662525879917,0.0,0.0,0.0,0.0,0.0,0.0221118012422,0.0,0.0,0.15768115942,0.0,8.28157349896e-05,0.0,0.0,0.0,0.0
"X215067",0.0798160036395,0.476115857049,0.24318859627,0.00060658140828,0.0,0.0,0.00010109690138,0.0,0.0,0.0239599656271,0.0,0.0,0.176211899105,0.0,0.0,0.0,0.0,0.0,0.0
"X206604",0.275325207416,0.444740346205,0.263648468708,0.0106524633822,0.0,0.0,0.0,0.0,0.0,0.00122913039025,0.0,0.0,0.00368739117075,0.0,0.000716992727645,0.0,0.0,0.0,0.0
"X206605",0.298716840636,0.412539059903,0.282494514992,0.000997274117412,0.0,0.00505285552822,0.0,0.0,0.0,0.0,0.0,0.0,0.000199454823482,0.0,0.0,0.0,0.0,0.0,0.0
"X206608",0.0669535769719,0.403838013264,0.525680824044,0.000564413715253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00296317200508,0.0,0.0,0.0,0.0,0.0,0.0
"X206609",0.0993794937457,0.369742933123,0.526740864769,0.000196986112479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00393972224958,0.0,0.0,0.0,0.0,0.0,0.0
"X215085",0.0642458100559,0.322858472998,0.586359404097,0.0260707635009,0.0,0.0,0.0,0.0,0.0,0.000465549348231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215084",0.097969130788,0.354670999188,0.528513403737,0.000487408610885,0.0,0.0183590576767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X214995",0.0372523564938,0.454365863295,0.493255065756,0.011006378055,0.0,0.0040074504713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000112885928769,0.0,0.0,0.0
"X214994",0.0376569037657,0.432835820896,0.522887653781,0.00293511521888,0.0,0.00324736151877,0.0,0.0,0.0,0.000374695559858,0.0,0.0,6.24492599763e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X215075",0.0533657992188,0.487191193629,0.456703698067,0.0023842134632,0.0,0.000355095622178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215076",0.0599486585796,0.511350480697,0.425429103539,0.00266774047415,0.0,0.000604016711129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
