"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Acidobacteria","Fusobacteria","Deinococcus_Thermus","Verrucomicrobia","Spirochaetae","Cyanobacteria","Nitrospirae","Tenericutes","Planctomycetes","WSA2","Synergistetes","Tectomicrobia","Lentisphaerae","Euryarchaeota","Elusimicrobia"
"X206534",0.2704913788639776,0.2180914409982913,0.4746025992854554,0.011805519598198104,0.0,0.0,0.024284160927872417,0.0,0.00015533578418681717,0.0005695645420183296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206547",0.42616806136680613,0.5552649930264993,0.00950139470013947,0.004096931659693166,0.0,0.0,0.004968619246861925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206563",0.20145488677695647,0.54839845124956,0.22445148421917166,0.011615628299894404,0.0028159098908834917,0.0022879267863428372,0.0004693183151472486,0.0,0.0029332394696703038,0.0,0.0005866478939340608,0.0,0.0,0.0045758535726856744,0.0,0.0,0.00041065352575384256,0.0,0.0,0.0
"X206569",0.21180124223602484,0.2945755693581781,0.3130848861283644,0.0006625258799171842,0.0,0.0,0.0,0.0,0.15768115942028985,0.0,0.022111801242236023,0.0,0.0,0.0,0.0,0.0,0.0,8.281573498964803e-05,0.0,0.0
"X206604",0.27532520741575334,0.4447403462050599,0.2636484687083888,0.010652463382157125,0.0,0.0,0.0,0.0,0.0036873911707466967,0.0,0.0012291303902488989,0.0,0.0,0.0,0.0,0.0,0.0,0.000716992727645191,0.0,0.0
"X206608",0.06695357697192042,0.4038380132637223,0.5256808240440243,0.0005644137152532807,0.0,0.0,0.0,0.0,0.0029631720050797236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215084",0.09796913078797725,0.3546709991876523,0.5285134037367993,0.00048740861088545896,0.0,0.0,0.018359057676685622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X214994",0.03765690376569038,0.43283582089552236,0.5228876537813026,0.0029351152188846564,0.0,0.0,0.0032473615187660026,0.0,6.244925997626928e-05,0.0,0.0003746955598576157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215076",0.05994865857955403,0.5113504806966326,0.42542910353853125,0.0026677404741531183,0.0,0.0,0.0006040167111290079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219634",0.019536114570361144,0.8931351183063512,0.08328144458281445,0.00311332503113325,0.0,0.0,0.0009339975093399751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219638",0.024068558925423936,0.8641585121254483,0.0926882635385644,0.012642071354768128,0.0,0.0,0.006442594055795296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219653",0.09415113871635611,0.5238612836438924,0.29487577639751555,0.0016563146997929607,0.0,0.0,0.02127329192546584,0.0,0.055175983436853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009006211180124223,0.0
"X219676",0.03695709629107568,0.4432208615980971,0.17377323583825213,0.0060347105981851815,0.0,0.0,0.34001409567438995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219692",0.08333333333333333,0.0,0.21666666666666667,0.3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
