"","x"
"1","Solibacteres"
"2","Flavobacteriia"
"3","Spartobacteria"
"4","Sphingobacteriia"
"5","Coriobacteriia"
"6","Melainabacteria"
"7","Chlorobia"
"8","Synergistia"
"9","Thermomicrobia"
"10","Bacteroidetes_vadinHA17"
"11","Acidimicrobiia"
"12","ML635J_21"
