Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.504554192030265,0,-0.01869978047638088,0.08123108567622764
2,0.822284017429357,0.118363184604529,-0.004155668342892782,0.06776586919291777
3,0.849330135064757,0.131835434284218,-0.010722975829784799,0.06553281067858135
4,0.617740671530626,0.348415166832736,-0.003688155734246595,0.090359025970135
5,1.0,0.0,-0.01181287032066211,0.03533683560669769
6,0.247188254131583,0.304982102559146,-0.031675759659463426,0.061949309613996494
7,0.789221852086543,0,-0.020599909915986876,0.05057430888626107
8,0.962151418360641,0.0299310527851036,-0.03083145967384966,0.037598929234654764
9,0.996218569275625,0.00470799196021617,-0.028601248081343376,0.034071314035220006
10,0.936724488600687,0.0926258642856685,-0.010934611478547558,0.05347888016334274
11,0.863532364827436,0.133641418868476,3.472255669098558e-05,0.061396148113377465
12,0.776242704055945,0.0824297988756166,-0.008826202359665665,0.08032098250481826
13,0.598882320208035,0.166649359414444,0.0065230741566105754,0.08474782895031184
14,0.592727800636917,0.35270807090359,-0.03248074593313739,0.06342455192293299
15,0.748141718938105,0.279805856585417,-0.023050237360332758,0.05670345478568201
16,0.734228208961646,0.186896473036544,-0.028082720207369585,0.05862355576726442
17,0.881544233479238,0.108840030951924,-0.009540527690949752,0.04890164958046688
18,0.997645292392777,0.00257945294560956,-0.001144374597780125,0.03312929240312968
19,0.973144247263773,0.0227737196292841,-0.00472824963273106,0.048835293234211534
20,1.0,0,-0.017843281968427573,0.044533876946689026
21,0.830756230258012,0.181226906198489,-0.0014459669822738522,0.0725525126410231
22,1.0,0,-0.03023747048074564,0.022612247446214363
23,0.66931416444591,0.1881338320174,-0.009571431829228195,0.07808479894465939
Averages,0.7996336036512122,0.11898024855384397,-0.014439819645326002,0.057902807056470225
