"","x"
"1","Peptococcaceae"
"2","Pseudomonadaceae"
"3","Sphingomonadaceae"
"4","Rhodospirillaceae"
"5","Veillonellaceae"
"6","Erysipelotrichaceae"
"7","Porphyromonadaceae"
"8","Caulobacteraceae"
"9","Subgroup_6(class)"
"10","0319_6A21"
"11","Mollicutes_RF9(order)"
"12","Acidaminococcaceae"
"13","Neisseriaceae"
"14","Victivallaceae"
"15","Enterobacteriaceae"
"16","Microbacteriaceae"
"17","Aeromonadaceae"
"18","Dermabacteraceae"
"19","Lineage_IIc(order)"
