Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.695259821864133,0.0979175598197697,-0.0077470432790897326,0.09055664256478273
2,0.72394575706375,0,-0.001822950339570576,0.08073935907199423
3,0.859084996878973,0.11803150822239,-0.017285741115481795,0.07635696536464336
4,0.732751801964167,0.207966328201155,-0.02267863899931451,0.07646913423264903
5,0.517750632491945,0,-0.01652858389233852,0.08657423049299144
6,0.45502706944367,0,-0.02091287266308465,0.11327569101507518
7,0.454774501842253,0.09673048858212,-0.0011011352049590435,0.11856404975410843
8,0.842387209174564,0,-0.0005848667493424186,0.0891438452761943
9,0.966441684774364,0.0572886775915934,0.020105471414969482,0.09628091661546798
10,0.920818757490179,0.0895054268668215,-0.027745247388123718,0.07823037757466608
11,0.690032525652617,0.470298152508567,-0.013888167268135122,0.07449735012118638
12,0.991059940961384,0,-0.015340805270889997,0.049865346416326166
13,0.446879476950369,0.4321864978214,-0.019276971470957333,0.06820803927875535
14,0.819016477453807,0.121081298185913,-0.026685705873520395,0.07719644150554368
15,0.395091763910768,0.312706450579835,-0.036840605691241,0.07731370031793694
16,0.594224176742562,0.2371213561294,-0.016985586239498928,0.09224294218672714
17,0.642609744826147,0.309509040045559,-0.035278756292258656,0.0846507419899511
18,1.0,0,-0.03270236089903647,0.029115669096094796
19,0.824148369132426,0,-0.027782097119262453,0.06482779387630118
Averages,0.7142791951904253,0.13422856760813281,-0.016899087596901886,0.08021627561849451
