"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Acidobacteria","Verrucomicrobia","Fusobacteria","Deinococcus_Thermus","Fibrobacteres","Tenericutes","Spirochaetae","Cyanobacteria","Synergistetes","Nitrospirae","Planctomycetes","WSA2","Chlorobi","Tectomicrobia","Lentisphaerae","Euryarchaeota","Parcubacteria","Armatimonadetes","Gemmatimonadetes","Latescibacteria","Elusimicrobia"
"X206742",0.014827628815025338,0.412702335351538,0.5307055480044486,0.0018534536018781687,0.0,0.0,0.0380575806252317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00185345360187817,0.0,0.0,0.0,0.0,0.0
"X206751",0.030207677784770338,0.4934314033983641,0.4758495909376972,0.00019666456891126498,0.0,0.0,0.000117998741346759,0.0,0.0,0.0,3.9332913782253e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000157331655129012,0.0,0.0,0.0,0.0,0.0
"X206755",0.07325844512687897,0.508404719573299,0.40835623080652994,0.0005252949733311779,0.0,0.0,0.00929368029739777,0.000161629222563439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206762",0.1255387931034483,0.5056872605363989,0.35907567049808403,0.00903975095785441,0.0,0.0,0.0,0.000658524904214559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206767",0.1243224640798417,0.3264217499784909,0.5181966789985369,0.0014626172244687255,0.0,0.0,0.0,0.0295964897186613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206769",0.7675276752767526,0.16974169741697415,0.014760147601476,0.0479704797047971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206770",0.031875264027036346,0.5578939283382622,0.4057759514574291,0.004339644379584469,0.0,3.84039325626944e-05,0.0,7.68078651253888e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224330",0.05848876135820178,0.42429459588713525,0.505260640841703,0.010951697752271634,0.000143472022955524,0.0,0.000191296030607365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000286944045911047,0.00038259206121473,0.0,0.0
"X224328",0.15422543286320384,0.35366739288307925,0.4832396896380384,0.00871459694989107,0.0,0.0,0.0,0.000152887665787563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224326",0.12962962962962965,0.3850043533587836,0.4844953452548391,0.00040184850311432625,0.0,0.0,3.34873752595272e-05,0.000435335878373853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224324",0.13231749311294763,0.24440426997245135,0.6219869146005508,0.0010761019283746565,0.0,0.0,0.0,0.0002152203856749312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219633",0.014048059149722738,0.8445471349353052,0.14041897720271107,0.0008009858287122626,0.0,0.0,0.0,0.000184842883548983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219637",0.32499999999999996,0.15,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219643",0.010387958448166219,0.73627305490778,0.22334110663557355,0.015581937672249298,0.0,0.0,0.000688997244011024,0.000370998516005936,0.0,0.0,0.0,0.0,0.0133559465762137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219646",0.01598637847041579,0.6671711677623798,0.31201816203944543,0.004776994750035477,0.0,0.0,0.0,4.72969777231235e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219651",0.012014044587334486,0.7213926139007572,0.22733618173357512,0.027623841956089478,0.0,0.0,0.000423029738990651,4.23029738990651e-05,0.0,0.0,0.0,0.0,0.0111679851093532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219654",0.049273953460113054,0.6425663770581447,0.17692447900844543,0.015189258156631606,0.0,0.0,0.0974542803329485,0.00528586183850781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133057901452093,0.0,0.0,0.0,0.0,0.0
"X219693",0.032347282347282375,0.9155844155844161,0.048460798460798434,0.0034872534872534837,0.0,0.0,0.0,0.0,0.00012025012025012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219656",0.04247064828994387,0.6507401735579379,0.30056151097498757,0.002246043899948953,0.0,0.0,0.00296069423175089,0.00102092904543134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219658",0.2955288985823335,0.6913849509269357,0.0,0.0109051254089422,0.0,0.0,0.00218102508178844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219668",0.48960000000000004,0.49119999999999997,0.0144,0.0,0.0,0.0,0.0016,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219669",0.013396210666889242,0.8950421500709461,0.08880727819046826,0.002420499123612387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333861948084467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219675",0.034211631954864694,0.34331672768741356,0.2043094652181741,0.00186063261508913,0.0,0.000240081627753436,0.000120040813876718,0.415941420082828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219691",0.045377847414728195,0.8283717006146804,0.11871760877425534,0.003374713751958541,0.0,0.0,0.0,0.00313366276967579,0.0,0.0,0.0,0.0,0.0010244666747017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
