"","Betaproteobacteria","Clostridia","Bacteroidia","Alphaproteobacteria","Actinobacteria","Solibacteres","Gammaproteobacteria","Bacilli","Negativicutes","Erysipelotrichia","Fusobacteriia","Deinococci","Coriobacteriia","Mollicutes","Melainabacteria","Deltaproteobacteria","Epsilonproteobacteria","MB_A2_108","Verrucomicrobia_Incertae_Sedis","Synergistia","Lentisphaeria","Sphingobacteriia","Planctomycetacia","Chloroplast","Flavobacteriia","Acidobacteria","Cytophagia","Thermoplasmata","Verrucomicrobiae","Methanobacteria"
"X206657",0.00868075830121842,0.4018840748958698,0.41013663435711784,0.0034645178870333607,3.892716727003776e-05,0.0,0.000973179181750944,0.0018295768616917747,0.0049826774105648335,0.0008953248472108685,0.0,7.785433454007552e-05,0.0003503445054303398,0.00015570866908015105,0.01163922301374129,0.003970571061543852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509206275059364,0.0
"X206658",0.008080313418217433,0.5227717923604309,0.2808521057786484,0.0020200783545543583,0.0053868756121449556,0.0,0.050257100881488735,0.002877081292850147,0.00581537708129285,0.0008570029382957884,0.0,0.0,0.00018364348677766894,0.0,0.0012242899118511264,0.003672869735553379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012242899118511264,0.0,0.0004285014691478942,0.0,0.0,0.11545053868756121,0.0
"X215004",0.007936507936507936,0.31547619047619047,0.3888888888888889,0.0,0.011904761904761904,0.0,0.1349206349206349,0.047619047619047616,0.031746031746031744,0.003968253968253968,0.03373015873015873,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215003",0.034311287916459474,0.4400795624067628,0.28319244157135753,0.00174042764793635,0.0014917951268025858,0.0,0.09373446046742914,0.03281949278965689,0.07856787667826952,0.006215813028344107,0.001989060169070114,0.0,0.00174042764793635,0.0,0.0002486325211337643,0.023868722028841372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215008",0.02982130424692504,0.2401949408215363,0.6797400789046183,0.0003481086098862845,0.0018565792527268509,0.0,0.035391042005105594,0.0011603620329542817,0.006962172197725691,0.0015084706428405662,0.00023207240659085636,0.0,0.0009282896263634254,0.0,0.0,0.00023207240659085636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016245068461359943,0.0
"X215007",0.025935423709057,0.327660566499592,0.595232544585616,0.0,0.0003496911061895326,0.0,0.024245250029140925,0.0023312740412635507,0.01322998018417065,0.0018650192330108403,0.0015736099778528966,0.0,0.0006993822123790652,0.0,0.0,5.828185103158876e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068189765706958855,0.0
"X215010",0.011534480209000837,0.5399516932025435,0.3688569034356977,0.0,0.00019717060186326217,0.0,0.005323606250308079,0.0012816089121112043,0.010499334549218711,0.004682801794252477,0.0,0.0,0.00024646325232907776,0.009168432986641691,0.013259722975304382,0.008872677083846798,0.000985853009316311,0.0,0.0,0.0007393897569872332,0.00019717060186326217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024202691378715432,0.0
"X215009",0.01649555393272907,0.42519008548477166,0.43940890931741056,0.00025774303019889173,0.003952059796383006,0.0,0.012672365651445508,0.03840371149963486,0.013144894540143478,0.005713303836075433,0.00017182868679926113,0.0,0.001073929292495382,0.007302719188968599,0.013402637570342369,0.009235791915460286,0.0023626444434898405,0.0,0.0,0.00017182868679926113,0.00047252888869796813,0.0,0.0,4.2957171699815284e-05,0.0,0.0,0.0,0.0,0.010524507066454745,0.0
"X215049",0.0034965034965034965,0.10139860139860139,0.26223776223776224,0.0,0.36363636363636365,0.0,0.11538461538461539,0.0,0.0944055944055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05944055944055944,0.0,0.0,0.0,0.0,0.0
"X215048",0.05589019452947566,0.4626246667324973,0.37217339784733877,0.031401204700306114,0.0007899674138441789,0.0004937296336526119,0.02587143280339686,0.015503110496692011,0.005134788189987163,0.0069122148711365655,0.009775846746321714,0.0,0.0008887133405747013,0.005727263750370297,0.0,0.004246074849412462,0.0013824429742273132,0.0,0.0,0.0,0.0,0.0007899674138441789,0.0002962377801915671,0.0,0.0,0.0,0.0,0.0,9.874592673052236e-05,0.0
"X215056",0.00444359804481686,0.607058972894052,0.18060052053577097,0.0012061194693074335,0.0027296387989589285,0.0,0.06271821240398655,0.009204595949977782,0.02386846949787342,0.007363676759982226,0.01466387354789564,0.0,0.0006347997206881229,0.0,0.0013965593855138703,0.006601917095156478,0.0,0.0,0.0,0.0,0.0,6.347997206881229e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.07655684631498762,0.0008887196089633721
"X215055",0.004303131723643318,0.506454697585465,0.34030600047812576,0.0007769543389911546,0.004721491752330863,0.0,0.06293330145828353,0.005319148936170213,0.011714080803251255,0.0133277551996175,0.010399234998804685,0.0,0.0007769543389911546,0.0,0.0016734401147501792,0.015180492469519484,0.0004183600286875448,0.0,0.0005378914654554147,0.0,0.0004781257470714798,0.00017929715515180492,0.0,0.0,0.0,0.0,0.0,0.0,0.020141047095386087,0.00035859431030360985
"X215058",0.04095004095004095,0.5868140868140869,0.2588725088725089,0.028392028392028392,0.0004095004095004095,0.0,0.0028665028665028664,0.0004095004095004095,0.008121758121758122,0.007575757575757576,0.0,0.0,0.0004095004095004095,0.004231504231504231,0.00034125034125034127,0.041086541086541084,0.0,0.0,0.0,0.00020475020475020476,0.0010237510237510238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017813267813267815,0.0004777504777504777
"X215057",0.0410953715627604,0.48458450117415347,0.3849708355427619,0.02211953639875767,0.00022725551094614045,0.0,0.0007575183698204682,0.001477160821149913,0.006931293083857284,0.010264373911067343,7.575183698204681e-05,0.0,0.0005302628588743277,0.0032194530717369898,0.0,0.03295204908719036,0.0,0.0,0.0,7.575183698204681e-05,0.0003408832664192107,0.0,0.0,0.0,0.0,0.0,0.0,7.575183698204681e-05,0.00988561472615711,0.0004166351034012575
"X215074",0.028180463351849344,0.5642866820214063,0.3126947568080206,0.0,0.004606421894052296,0.0,0.00867091180056903,0.011651537732014633,0.02154179650453868,0.024657905432868176,0.0006774149844194553,0.0,0.0027096599376778214,0.005961251862891207,0.0,0.0021677279501422573,0.0,0.0004064489906516732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011787020728898524,0.0
"X215077",0.019572790612394572,0.5301613494682802,0.37962962962962965,0.0,0.003025302530253025,0.0,0.006692335900256693,0.004262926292629263,0.016455812247891454,0.016639163916391638,0.00041254125412541255,0.0,0.0012834616795012834,0.0016043270993766044,0.0001375137513751375,0.004308764209754309,0.0001375137513751375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015676567656765675,0.0
"X222170",0.03792030810250333,0.20485853947563323,0.7378166197600355,0.0,0.0011850096282032291,0.0,0.0013331358317286328,0.002073766849355651,0.007554436379795586,0.0005925048141016146,0.0,0.0,0.0005925048141016146,0.0,0.0,0.0060731743445415496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
