"","Betaproteobacteria","Clostridia","Bacteroidia","Actinobacteria","Gammaproteobacteria","Alphaproteobacteria","Bacilli","Negativicutes","Erysipelotrichia","Fusobacteriia","Sphingobacteriia","Coriobacteriia","Flavobacteriia","Melainabacteria","Deltaproteobacteria","Blastocatellia","Mollicutes","Anaerolineae","Chlorobia","Lentisphaeria","Methanobacteria","Chloroplast","Epsilonproteobacteria","ML635J_21","Verrucomicrobiae","TK10"
"X206620",0.0,0.3387096774193548,0.24193548387096775,0.0,0.41935483870967744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206623",0.0,0.004807692307692308,0.09134615384615384,0.2932692307692308,0.19230769230769232,0.0,0.11538461538461539,0.004807692307692308,0.0,0.0,0.0,0.0,0.2980769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206627",0.35714285714285715,0.0,0.0,0.0,0.5476190476190477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0
"X206629",0.022741764080765142,0.7145589798087141,0.08076514346439957,0.01381509032943677,0.05568544102019129,0.015090329436769395,0.022741764080765142,0.014665249734325186,0.05058448459086079,0.005951115834218916,0.0,0.0004250797024442083,0.0,0.0,0.002975557917109458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206635",0.014987577141941173,0.7365953354171676,0.1911517191632604,0.022000480884828085,0.003366193796585718,0.0,0.014987577141941173,0.012382784323154605,0.0028452352328284043,0.00020036867836819747,0.0,4.0073735673639494e-05,0.0,0.0,0.0009216959204937084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005209585637573135,0.0
"X206643",0.000365737692926633,0.5314168678223978,0.3893643478896935,0.0016092458488771854,0.05083753931680199,0.000731475385853266,0.008777704630239193,0.0019018360032184917,0.01441006510130934,0.0,0.0,0.00021944261575597982,0.0,0.0,0.0,0.0,0.0,0.0,0.0001462950771706532,0.0,0.0,0.0,0.0,0.0,0.0,0.00021944261575597982
"X206669",0.0,0.06382978723404255,0.010638297872340425,0.1276595744680851,0.6170212765957447,0.0,0.05319148936170213,0.02127659574468085,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.07446808510638298,0.0
"X206675",0.016962025316455697,0.6070886075949367,0.30835443037974686,0.0020253164556962027,0.015443037974683544,0.0007594936708860759,0.014683544303797468,0.0210126582278481,0.006329113924050633,0.0,0.0,0.0012658227848101266,0.0,0.0,0.0017721518987341772,0.0,0.0027848101265822785,0.0010126582278481013,0.0,0.0,0.0005063291139240507,0.0,0.0,0.0,0.0,0.0
"X206677",0.01046782114241406,0.5116309123804601,0.1371155337296459,0.0037477384337037995,0.24282760403204962,0.01059705350219695,0.03579736365986043,0.013827862496769192,0.012147841819591625,0.005427759110881365,0.0060739209097958125,0.00012923235978288964,0.0012923235978288964,0.0,0.0,0.0027138795554406824,0.0,0.0,0.0,0.0,0.0,0.0,0.002455414835874903,0.00361850607392091,0.00012923235978288964,0.0
"X206683",0.018849854163945846,0.5880893300248139,0.36223934526141655,0.0011318619128466328,0.003395585738539898,0.0,0.005006312306821645,0.007879500239432327,0.011536284880936833,0.0,0.0,0.0018719254712463542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206712",0.0007361398665746492,0.37037037037037035,0.589602024384633,0.0030825856912813435,0.0011042097998619738,0.0,0.0013342535081665517,0.0051529790660225444,0.008189556015642972,0.00676328502415459,0.0,0.0023464458247066944,0.0,0.0,0.011180124223602485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013802622498274673,0.0,0.0,0.0
