"","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","Peptococcaceae","Pseudomonadaceae","Kineosporiaceae","Sphingomonadaceae","Lactobacillaceae","Rhodospirillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","Burkholderiaceae","Coriobacteriaceae","Bacteroidaceae","Streptococcaceae","Peptostreptococcaceae","Rikenellaceae","Fusobacteriaceae","Caulobacteraceae","Bifidobacteriaceae","Porphyromonadaceae","Actinomycetaceae","Family_XII","Defluviitaleaceae","Moraxellaceae","Family_XI","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Campylobacteraceae","MB_A2_108(class)","Methylobacteriaceae","Mollicutes_RF9(order)","Acidaminococcaceae","Bacteroidales_S24_7_group","Thermoanaerobacteraceae","Synergistaceae","vadinBE97","Microbacteriaceae","Neisseriaceae","Chitinophagaceae","Victivallaceae","Obscuribacterales(order)","Chloroplast(class)","Family_X","Staphylococcaceae","Bacteriovoracaceae","Flavobacteriaceae","Pasteurellaceae","Aerococcaceae","Enterobacteriaceae","Acidobacteriaceae_Subgroup_1_","Leuconostocaceae","Verrucomicrobiaceae","Carnobacteriaceae","Methanobacteriaceae","Bradyrhizobiaceae","Xanthomonadaceae"
"X206658",6.121449559255632e-05,0.0053868756121449556,0.00018364348677766894,0.0017140058765915769,0.0010406464250734574,0.34420910871694416,0.0009182174338883448,0.002142507345739471,0.0013467189030362389,0.00018364348677766894,0.0003672869735553379,0.0,0.0004285014691478942,0.16852350636630753,0.007957884427032321,0.00018364348677766894,0.0008570029382957884,0.0002448579823702253,6.121449559255632e-05,0.00018364348677766894,0.10632957884427033,0.00116307541625857,0.00018364348677766894,0.06953966699314397,0.0,6.121449559255632e-05,0.0,0.006366307541625857,0.0,0.0008570029382957884,0.0003060724779627816,0.047502448579823706,0.0,0.004285014691478942,0.0012242899118511264,0.003672869735553379,0.0,0.0,0.0,0.0,0.005631733594515181,0.09843290891283056,6.121449559255632e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012242899118511264,0.0,0.0005509304603330069,0.0,0.0,0.0004285014691478942,0.0003060724779627816,0.0009794319294809011,0.0004285014691478942,0.0,0.11545053868756121,0.0,0.0,0.00012242899118511264,0.0
"X215004",0.0,0.0,0.0,0.0,0.0,0.12896825396825398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1865079365079365,0.003968253968253968,0.031746031746031744,0.003968253968253968,0.0,0.0,0.0,0.3869047619047619,0.03968253968253968,0.0,0.001984126984126984,0.03373015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.001984126984126984,0.0,0.0,0.09523809523809523,0.0,0.03968253968253968,0.0,0.0,0.0,0.005952380952380952,0.0,0.0,0.0
"X215008",0.0,0.00023207240659085636,0.0,0.0,0.0,0.12880018565792528,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.1111626827570202,0.02982130424692504,0.006962172197725691,0.0015084706428405662,0.0,0.0,0.0009282896263634254,0.6738222325365514,0.0011603620329542817,0.0,0.001972615456022279,0.00023207240659085636,0.0,0.0003481086098862845,0.003945230912044558,0.00011603620329542818,0.0,0.0,0.0,0.0,0.001392434439545138,0.0,0.0,0.0,0.0,0.0003481086098862845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023207240659085636,0.0,0.004177303318635414,0.0,0.024019494082153633,0.0,0.0,0.0016245068461359943,0.0,0.0,0.0,0.0
"X215010",0.0,0.018780499827475722,0.061320057179474544,0.0013801942130428353,0.0,0.3250850298220535,0.0,0.004781387095184108,0.003499778183072904,0.0,0.0,0.0,0.0,0.18888943658500518,0.011534480209000837,0.005570069502637157,0.004682801794252477,0.00044363385419233993,0.0,0.00024646325232907776,0.25163898062798834,0.0007886824074530487,0.0003450485532607088,0.02006210873958693,0.0,0.0,0.00019717060186326217,0.0358357568886479,0.0,0.0,0.0,4.9292650465815544e-05,0.00024646325232907776,0.0,0.013259722975304382,0.008872677083846798,0.000985853009316311,0.0,0.0,0.009168432986641691,0.004929265046581555,0.0,0.0,0.0007393897569872332,0.0,0.0,0.0,0.0,0.00019717060186326217,0.0,0.0,0.0,0.00019717060186326217,0.0,0.0,0.0004929265046581555,0.0,0.0012816089121112043,0.0,0.00014787795139744664,0.024202691378715432,0.00014787795139744664,0.0,0.0,0.0
"X215049",0.0,0.0,0.08741258741258741,0.0,0.0,0.05244755244755245,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.04895104895104895,0.0034965034965034965,0.0944055944055944,0.0,0.0,0.0,0.0,0.0979020979020979,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055944055944055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05944055944055944,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215056",0.00012695994413762458,0.0034913984637846758,6.347997206881229e-05,0.0005078397765504983,0.0,0.07630292642671237,0.0,0.0,6.347997206881229e-05,0.0,0.0,0.0,0.0012061194693074335,0.5264394083666604,0.0034279184917158636,0.0020313591062019933,0.007363676759982226,0.00019043991620643687,0.0,0.0006347997206881229,0.16828540595442137,0.00856979622928966,6.347997206881229e-05,0.0076175966482574745,0.01466387354789564,0.0,0.0026026788548213038,0.004634037961023297,0.00012695994413762458,0.0,0.0,6.347997206881229e-05,6.347997206881229e-05,0.0,0.0013965593855138703,0.006601917095156478,0.0,0.0,0.0,0.0,0.021837110391671428,0.0,0.0,0.0,0.0,0.0,0.0008887196089633721,6.347997206881229e-05,0.0,0.0,0.0,0.0,0.00019043991620643687,0.0,0.0,0.0014600393575826826,0.0,0.061131213102266234,0.0,0.0,0.07655684631498762,0.00044435980448168604,0.0008887196089633721,0.0,0.0
"X215058",0.0,0.014946764946764947,0.08142233142233142,0.0007507507507507507,0.0,0.2671307671307671,0.0,0.0,0.0014332514332514332,0.0,0.0,0.0,0.028255528255528257,0.303985803985804,0.04054054054054054,0.0004777504777504777,0.007575757575757576,0.0,0.0,0.0004095004095004095,0.13779688779688778,0.000273000273000273,0.0,0.01208026208026208,0.0,0.0001365001365001365,6.825006825006825e-05,0.027573027573027573,0.00034125034125034127,0.0,0.0,6.825006825006825e-05,0.0,0.0,0.0,0.041086541086541084,0.0,0.0,0.0,0.004231504231504231,0.007644007644007644,0.0,0.0,0.00020475020475020476,0.0009555009555009555,0.0,0.0004095004095004095,0.0,6.825006825006825e-05,0.00034125034125034127,0.0,0.0,0.0,0.0,0.0,0.0006825006825006825,0.0,0.0006825006825006825,0.0,0.0,0.017813267813267815,0.0001365001365001365,0.0004777504777504777,0.0,0.0
"X215074",0.0008128979813033464,0.0006774149844194553,0.0,0.0006774149844194553,0.0,0.1167863433139141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4426229508196721,0.027367565370545997,0.02154179650453868,0.024657905432868176,0.0,0.0,0.0027096599376778214,0.3078173689202005,0.01002574176940794,0.0,0.004877387887820078,0.0006774149844194553,0.0,0.0031161089283294947,0.0,0.0010838639750711287,0.0,0.003522557918981168,0.00013548299688389108,0.0,0.00013548299688389108,0.0,0.0021677279501422573,0.0,0.0004064489906516732,0.0,0.005961251862891207,0.0,0.0,0.0,0.0,0.0,0.00027096599376778217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00501287088470397,0.0,0.003522557918981168,0.0,0.0,0.011787020728898524,0.001625795962606693,0.0,0.0,0.0
"X222170",0.00044437861057621095,0.0022218930528810545,0.0,0.0005925048141016146,0.0,0.10531773070656199,0.0005925048141016146,0.0,0.0,0.0,0.0,0.0,0.0,0.09672641090208858,0.03747592949192712,0.0008887572211524219,0.0005925048141016146,0.0,0.0,0.0005925048141016146,0.6036142793660199,0.002073766849355651,0.0,0.06428677233002518,0.0,0.0,0.0002962524070508073,0.06991556806399052,0.0002962524070508073,0.0,0.0,0.0,0.0,0.0,0.0,0.0060731743445415496,0.0,0.0,0.0,0.0,0.006665679158643164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013331358317286328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224844",0.0009970993473531545,0.00462291515591008,0.0,0.0007251631617113851,0.0,0.4565808556925308,0.0006345177664974619,0.0,0.0002719361856417694,0.0,0.0,0.0005438723712835388,0.0,0.15962654097171863,0.03118201595358956,9.064539521392314e-05,0.0,0.0,0.0,0.0005438723712835388,0.26776649746192893,0.0002719361856417694,0.0,0.013778100072516316,0.0019035532994923859,0.0,0.004169688179840464,0.004894851341551849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007251631617113851,0.0,0.0,0.0,0.0,0.011330674401740392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005438723712835388,9.064539521392314e-05,0.0,0.0,0.003353879622915156,0.0,0.02864394488759971,0.0,0.0,0.0,0.0,0.0,0.0,0.00018129079042784627
