"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Pasteurellales","Corynebacteriales","Pseudomonadales","Lactobacillales","Blastocatellales","Selenomonadales","Erysipelotrichales","WCHB1_32(class)","Sphingomonadales","Chthoniobacterales","Bacillales","Sphingobacteriales","Coriobacteriales","Solibacterales","Opitutales","Fusobacteriales","Caulobacterales","Bifidobacteriales","Actinomycetales","Rhizobiales","Thermales","Flavobacteriales","Micrococcales","Cytophagales","Gastranaerophilales","Subgroup_6(class)","Gaiellales","Mollicutes_RF9","Micromonosporales","Unknown_Order","Anaerolineales","Chromatiales","Chlorobiales","Thermoanaerobacterales","Synergistales","Victivallales","Propionibacteriales","Methanobacteriales","Neisseriales","Planctomycetales","Thermoplasmatales","Streptomycetales","Chloroplast(class)","Desulfovibrionales","Campylobacterales","Bacteroidetes_vadinHA17(class)","Acidimicrobiales","Legionellales","Enterobacteriales","Acidobacteriales","Tectomicrobia(phylum)","Frankiales","Xanthomonadales","Methylophilales","OPB35_soil_group(class)","Solirubrobacterales","ML635J_21(class)","SubsectionIV","Anaeroplasmatales","Verrucomicrobiales","uncultured(class)","TK10(class)","Candidatus_Nomurabacteria(class)","Aeromonadales","SC_I_84","Gemmatimonadales","Cellvibrionales","Myxococcales","SubsectionI","Subgroup_2(class)","Rhodocyclales","JG30_KF_CM45","Pseudonocardiales"
"X206629",0.000425079702444,0.0227417640808,0.714558979809,0.0807651434644,0.0,0.0167906482465,0.00595111583422,0.0106269925611,0.00658873538789,0.0,0.0146652497343,0.0505844845909,0.0,0.00403825717322,0.0,0.0161530286929,0.0,0.000425079702444,0.0,0.0,0.00595111583422,0.00297555791711,0.00531349628055,0.0,0.007651434644,0.0,0.0,0.00255047821467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0282678002125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00297555791711,0.0,0.0,0.0,0.0,0.0
"X206636",0.0,0.0529197080292,0.669708029197,0.125912408759,0.0,0.0,0.0,0.0,0.0237226277372,0.0,0.0273722627737,0.0109489051095,0.0,0.0,0.0,0.0237226277372,0.0,0.0,0.0,0.0,0.0,0.0,0.0346715328467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0182481751825,0.0,0.0,0.0,0.0,0.00729927007299,0.0,0.0,0.0,0.0,0.00547445255474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206635",0.0,0.0149875771419,0.736595335417,0.191151719163,0.0,0.00088162218482,4.00737356736e-05,4.00737356736e-05,0.0148673559349,0.0,0.0123827843232,0.00284523523283,0.0,0.0,0.0,0.000120221207021,0.0,4.00737356736e-05,0.0,0.0,0.000200368678368,0.0,0.0218802596778,8.01474713473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01474713473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000921695920494,0.0,0.0,0.0,0.0,0.00236435040474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000520958563757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206644",0.0,0.0,0.456370130975,0.492260588535,0.0,0.0146283381527,0.0,0.000170096955265,0.000850484776323,0.0,0.0023813573737,0.014118047287,0.0,0.0,0.0,0.00102058173159,0.0,0.000170096955265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000340193910529,0.0,0.0,0.0,0.0171797924817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000510290865794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206643",0.000146295077171,0.000365737692927,0.531416867822,0.38936434789,0.0,0.0324775071319,0.000512032770097,0.00146295077171,0.00782678662863,0.0,0.00190183600322,0.0144100651013,0.0,0.0,0.0,0.000950918001609,0.0,0.000219442615756,0.0,0.0,0.0,0.0,0.000585180308683,7.31475385853e-05,0.000585180308683,0.0,0.0,0.000438885231512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146295077171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168970814132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000219442615756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206670",0.0,0.0303643724696,0.479157294947,0.363435297646,0.0,0.000224921277553,0.0,0.000149947518369,0.00123706702654,0.0,0.0390238416554,0.0145074224022,0.0,0.0,0.0,0.0,0.0,0.000112460638776,0.0,0.0,0.000412355675514,0.0,0.00052481631429,0.0,0.0,0.0,0.0,3.74868795921e-05,0.0,0.00146198830409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000112460638776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0692382666067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206669",0.0,0.0,0.063829787234,0.0106382978723,0.0,0.0106382978723,0.127659574468,0.510638297872,0.0,0.0,0.0212765957447,0.0106382978723,0.0,0.0,0.0,0.0531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0957446808511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212765957447,0.0,0.0,0.0744680851064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206676",0.0,0.0240193537239,0.70641092103,0.190426818732,0.0,0.0,0.00259201658891,0.016588906169,0.0044928287541,0.0,0.0245377570416,0.000172801105927,0.0,0.0,0.0,0.000172801105927,0.0,0.0,0.0,0.0,0.00725764644894,0.0,0.0,0.0,0.0,0.0,0.0,0.00120960774149,0.0,0.0,0.0,0.0,0.000345602211854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138240884742,0.0,0.0,0.0,0.0,0.00777604976672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000172801105927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206675",0.0,0.0154430379747,0.607088607595,0.30835443038,0.0,0.0,0.0,0.00379746835443,0.00810126582278,0.0,0.0210126582278,0.00632911392405,0.0,0.0,0.0,0.00658227848101,0.0,0.00126582278481,0.0,0.0,0.0,0.000759493670886,0.0,0.0,0.0,0.0,0.0,0.0020253164557,0.0,0.0,0.0,0.0,0.00278481012658,0.0,0.0,0.00101265822785,0.0,0.0,0.0,0.0,0.0,0.0,0.000506329113924,0.00151898734177,0.0,0.0,0.0,0.0,0.00177215189873,0.0,0.0,0.0,0.0,0.0111392405063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000506329113924,0.0,0.0,0.0,0.0,0.0,0.0
"X206677",0.0,0.00180925303696,0.51163091238,0.13711553373,0.000258464719566,0.166192814681,0.0,0.00426466787284,0.0306280692685,0.00271387955544,0.0138278624968,0.0121478418196,0.0,0.00336004135436,0.0,0.00516929439132,0.0060739209098,0.000129232359783,0.0,0.0,0.00542775911088,0.0,0.0,0.000129232359783,0.00697854742828,0.0,0.00129232359783,0.00284311191522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00865856810545,0.0,0.0,0.000258464719566,0.0,0.0,0.00245541483587,0.0,0.0,0.0,0.0722408891186,0.0,0.0,0.000516929439132,0.0,0.0,0.0,0.0,0.00361850607392,0.0,0.0,0.000129232359783,0.0,0.0,0.0,0.000129232359783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
