"","x"
"1","Prevotella"
"2","Sutterella"
"3","Bacteroides"
"4","Butyricicoccus"
"5","Candidatus_Soleaferrea"
"6","Massilia"
"7","Peptococcus"
"8","Tyzzerella"
"9","_Eubacterium_coprostanoligenes_group"
"10","Paludibacter"
"11","Rhodococcus"
"12","Lachnoclostridium"
"13","ML635J_21(class)"
"14","Fusicatenibacter"
"15","Ruminococcaceae_UCG_005"
"16","_Eubacterium_rectale_group"
