"","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Pseudomonadales","JG30_KF_CM66(class)","Gaiellales","Micrococcales","Lactobacillales","Rhodospirillales","Selenomonadales","Flavobacteriales","Erysipelotrichales","Bacillales","Fusobacteriales","Coriobacteriales","Fibrobacterales","Thermales","Bifidobacteriales","Chloroflexales","Actinomycetales","Rhizobiales","Spirochaetales","Acidimicrobiales","Gastranaerophilales","Desulfovibrionales","Synergistales","Caldilineales","Planctomycetales","Chthoniobacterales","Thermoanaerobacterales","OPB35_soil_group(class)","Sphingobacteriales","Tectomicrobia(phylum)","Victivallales","Propionibacteriales","Streptosporangiales","Neisseriales","Xanthomonadales","Caulobacterales","Subgroup_6(class)","Desulfuromonadales","Nitrospirales","Alteromonadales","Candidatus_Falkowbacteria(class)","Cytophagales","Gitt_GS_136(class)","Sphingomonadales","Campylobacterales","Bdellovibrionales","Pasteurellales","Cyanobacteria(phylum)","NB1_j","Enterobacteriales","Subgroup_10","Opitutales","Frankiales","Oligosphaerales","Chloroplast(class)","Solibacterales","KD4_96(class)","Verrucomicrobiales","SubsectionII","Solirubrobacterales","Cellvibrionales","UA11(class)","Lineage_IIc"
"X206656",0.00115207373272,0.524193548387,0.274193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253456221198,0.0,0.0714285714286,0.0,0.0293778801843,0.00172811059908,0.0,0.00345622119816,0.0,0.0,0.00172811059908,0.0,0.0,0.0,0.0,0.0230414746544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109447004608,0.0,0.00345622119816,0.0,0.0,0.0,0.0,0.0,0.00864055299539,0.0,0.0,0.0172811059908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00403225806452,0.0,0.0,0.0,0.0,0.0
"X206655",0.0115384615385,0.712393162393,0.207692307692,0.0,0.0,0.00683760683761,0.0,0.0,0.0,0.0,0.0141025641026,0.00811965811966,0.0,0.0196581196581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00555555555556,0.00213675213675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042735042735,0.0,0.0,0.0,0.0,0.0
"X206659",0.0288302481292,0.339346199291,0.270342654588,0.0,0.00149665222529,0.000157542339504,0.0,0.0,0.0,0.00890114218196,0.00149665222529,0.274832611264,0.0,0.00748326112643,0.0,0.0083497439937,0.000551398188263,0.0,0.0,0.000708940527767,0.0,0.000551398188263,0.0,0.0,0.0,0.00401732965735,0.0282000787712,0.00945254037022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000315084679007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0140212682158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000945254037022,0.0,0.0,0.0,0.0,0.0
"X206660",0.0358809655242,0.155818738395,0.427861695187,0.0,5.01831685653e-05,0.0,0.0,0.0,0.0,0.000150549505696,0.00140512871983,0.318663120389,0.0,0.000501831685653,0.000100366337131,0.0196718020776,0.0,0.0,0.0,0.000451648517087,0.0,0.0,0.0,0.0,0.0,0.001154212877,0.0156571485924,0.002308425754,0.0,0.0,0.0,0.0,0.0,5.01831685653e-05,0.0,0.000200732674261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115923119386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00848095548753,0.0,0.0,0.0,0.0,0.0
"X206667",0.0157157824555,0.411467758834,0.515858653205,0.0,0.0,0.00342889799028,0.0,0.0,0.000571482998381,0.0149538051243,0.0,0.012477378798,0.0,0.00342889799028,0.00114296599676,0.00361939232308,0.0,0.0,0.0,0.0,0.0,0.0,9.52471663968e-05,0.0,0.0,0.0,0.00781026764454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028574149919,0.0,0.0,0.0,0.000857224497571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00247642632632,0.0,0.0,0.00533384131822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000476235831984
"X206668",0.0295566502463,0.364532019704,0.390804597701,0.0147783251232,0.0426929392447,0.0262725779967,0.0,0.0,0.0541871921182,0.0,0.0,0.0,0.0,0.0,0.0246305418719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00164203612479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00492610837438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00164203612479,0.0,0.0,0.0,0.0,0.0,0.0443349753695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206671",0.000126414259528,0.202136400986,0.600025282852,0.0,0.0,0.00132734972505,0.0,0.0,0.0,0.00726881992289,0.0,0.0418431199039,0.0,0.0,0.000252828519057,0.019025346059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000316035648821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00676316288477,0.0,0.0,0.12059920359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000316035648821,0.0,0.0
"X206672",0.000264340470526,0.190060798308,0.493259318002,0.0,0.0,0.0,0.0,0.0,0.000793021411578,0.00555114988105,0.00114547537228,0.0252004581901,0.0,8.81134901753e-05,8.81134901753e-05,0.0147149528593,0.0,0.0,0.0,0.000264340470526,0.0,0.0,0.00167415631333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000616794431227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000881134901753,0.0,0.0,0.00810644109613,0.0,0.0,0.255176667548,0.0,0.0,0.0010573618821,0.0,0.000176226980351,0.0,0.0,0.0,0.0,0.000881134901753,0.0,0.0,0.0
"X206673",0.0264553957839,0.375610777607,0.474103029457,0.0,0.000209409465308,0.000139606310205,0.0,0.0,0.0,0.00963283540416,0.0,0.0277118525757,0.0,0.00663129973475,0.000418818930616,0.0,0.000907441016334,0.0,0.0,0.000349015775513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98031551026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000558425240821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0772022895435,0.0,0.0,0.0,0.0,0.0
"X206681",0.0,0.649326805386,0.146878824969,0.0,0.0,0.0287637698898,0.0,0.0,0.0,0.0,0.0,0.112607099143,0.0,0.0195838433293,0.0,0.0,0.0140758873929,0.0,0.0,0.00673194614443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00183598531212,0.0,0.0,0.0201958384333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
