"","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Pseudomonadales","JG30_KF_CM66(class)","Gaiellales","Micrococcales","Lactobacillales","Rhodospirillales","Selenomonadales","Flavobacteriales","Erysipelotrichales","Bacillales","Fusobacteriales","Coriobacteriales","Fibrobacterales","Thermales","Bifidobacteriales","Chloroflexales","Actinomycetales","Rhizobiales","Spirochaetales","Acidimicrobiales","Gastranaerophilales","Desulfovibrionales","Synergistales","Caldilineales","Planctomycetales","Chthoniobacterales","Thermoanaerobacterales","OPB35_soil_group(class)","Sphingobacteriales","Tectomicrobia(phylum)","Victivallales","Propionibacteriales","Streptosporangiales","Neisseriales","Xanthomonadales","Caulobacterales","Subgroup_6(class)","Desulfuromonadales","Nitrospirales","Alteromonadales","Candidatus_Falkowbacteria(class)","Cytophagales","Gitt_GS_136(class)","Sphingomonadales","Campylobacterales","Bdellovibrionales","Pasteurellales","Cyanobacteria(phylum)","NB1_j","Enterobacteriales","Subgroup_10","Opitutales","Frankiales","Oligosphaerales","Chloroplast(class)","Solibacterales","KD4_96(class)","Verrucomicrobiales","SubsectionII","Solirubrobacterales","Cellvibrionales","UA11(class)","Lineage_IIc"
"X206564",0.0373009220453,0.561190276614,0.268231349539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00419111483655,0.0,0.00712489522213,0.0,0.00335289186924,0.00125733445096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712489522213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00377200335289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00628667225482,0.0,0.0,0.0,0.0,0.0,0.0360435875943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206563",0.0500410653526,0.511498298721,0.208611991083,0.00017599436818,5.86647893934e-05,0.00252258594392,0.00035198873636,0.000410653525754,0.0053384958348,0.0223512847589,0.0622433415464,0.0080370761469,0.000586647893934,0.00463451836208,0.00187727326059,0.000469318315147,0.00035198873636,0.0,0.0,0.000117329578787,0.0018186084712,0.00017599436818,0.00498650709844,0.0,0.00117329578787,0.000586647893934,0.0456998709375,0.0,0.000293323946967,0.00457585357269,0.000879971840901,0.0,0.000586647893934,0.0,0.000410653525754,0.0,0.00369588173178,0.0,0.0,0.00299190425906,0.0208846650241,0.00164261410302,0.0,0.0,0.0,0.0,0.0152528452423,0.000117329578787,0.0,0.0,0.0,0.0097970198287,0.0,0.000117329578787,0.000703977472721,0.0,0.0,0.000293323946967,0.0,0.0,0.000645312683327,0.000234659157574,0.000997301419688,0.0,0.0,0.00129062536665,0.000469318315147,0.0
"X206570",0.0111014138593,0.354547041368,0.262070169314,0.0,0.0,6.98202129516e-05,0.0,0.0,3.49101064758e-05,0.00171059521732,0.214382963868,0.0109268633269,0.0,0.000802932448944,0.000279280851807,0.000279280851807,0.0,0.0,0.0,0.000209460638855,0.0,3.49101064758e-05,0.0,0.0,0.0,0.0126025484378,0.0149415255717,0.0,0.0,0.0,0.0,3.49101064758e-05,0.0,0.0,0.0,0.000349101064758,0.0,0.0,6.98202129516e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000139640425903,0.0,0.00171059521732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113702216792,0.0,0.0,0.0,0.0,0.0
"X206569",0.00592132505176,0.28182194617,0.313084886128,0.0,4.14078674948e-05,4.14078674948e-05,0.0,0.0,0.000289855072464,0.00149068322981,0.194451345756,0.0105590062112,0.0,0.000372670807453,0.000248447204969,0.0,8.28157349896e-05,0.0,0.0,0.000207039337474,0.0,0.0,0.0,0.0,0.0,0.0221118012422,0.00898550724638,0.0,0.0,0.0,0.0,8.28157349896e-05,0.0,0.0,0.0,8.28157349896e-05,0.0,0.0,0.000165631469979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000124223602484,0.0,0.00207039337474,0.0,0.0,4.14078674948e-05,0.0,0.0,4.14078674948e-05,0.0,0.0,0.0,0.0,0.15768115942,0.0,0.0,0.0,0.0,0.0
"X215067",0.0292170044988,0.361017034828,0.24318859627,0.0,0.0,0.0,0.0,0.0,0.00010109690138,0.00065712985897,0.0426628923823,0.112268108982,0.0,0.00176919577415,0.00040438760552,0.0,0.00040438760552,0.00010109690138,0.0,0.0,0.0,5.054845069e-05,0.0,0.0,0.0,0.0239599656271,0.00626800788556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.054845069e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015164535207,0.0,0.0,0.00015164535207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176211899105,0.0,0.0,0.0,0.0,0.0
"X206604",0.192256478541,0.413499948786,0.262419338318,0.0,0.00850148519922,0.00204855065041,0.0,0.0,0.0,0.0029703984431,0.0,0.00911605039435,0.00102427532521,0.0112670285773,0.00727235480897,0.0,0.000512137662604,0.0,0.0,0.000921847792687,0.0,0.0,0.0,0.0,0.0,0.0,0.0127010140326,0.0,0.0,0.0,0.0,0.000614565195124,0.0,0.000102427532521,0.0,0.000512137662604,0.000716992727645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000102427532521,0.0,0.0,0.0,0.0,0.00174126805285,0.0,0.0,0.0665778961385,0.0,0.0,0.0,0.000204855065041,0.00122913039025,0.0,0.0,0.00368739117075,0.0,0.0,0.0,0.0,0.0
"X206605",0.228442257829,0.392460607672,0.282428030051,0.0,0.000199454823482,0.00245994282295,0.0,0.0,0.0,0.000731334352769,0.0,0.0114354098797,6.64849411608e-05,0.00731334352769,0.0,0.00505285552822,0.00079781929393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177514792899,0.0,0.0,0.0,0.0,0.000598364470447,0.0,0.0,0.0,0.0,0.0,0.0,0.000265939764643,6.64849411608e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00106375905857,0.0,0.011568379762,0.0,0.0,0.0370985971677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000199454823482,0.0,0.0,0.0,0.0,0.0
"X206608",0.0246931000423,0.391985325243,0.525680824044,0.0,0.0,0.0,0.0,0.0,7.05517144067e-05,0.000987724001693,0.0,0.00338648229152,0.0,0.00747848172711,0.0,0.0,0.000282206857627,0.0,0.0,0.0,0.0,0.00021165514322,0.0,0.0,0.0,0.0,0.0305488923381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05517144067e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00507972343728,0.0,0.0,0.00656130943982,0.0,0.00063496542966,0.0,0.0,0.0,0.0,0.0,0.00232820657542,0.0,0.0,0.0,0.0,0.0
"X206609",0.0219639515414,0.351718703831,0.526740864769,0.0,0.000196986112479,0.00256081946223,0.0,0.0,0.0,0.000590958337437,0.0,0.00265931251847,0.0,0.014379986211,0.000393972224958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0585048754063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000295479168719,0.0,0.00620506254309,0.0,0.0,0.00984930562395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00393972224958,0.0,0.0,0.0,0.0,0.0
"X215085",0.0195530726257,0.26303538175,0.586359404097,0.00558659217877,0.00791433891993,0.0,0.0,0.0,0.00744878957169,0.0225791433892,0.0,0.0155959031657,0.0,0.0130353817505,0.00861266294227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00139664804469,0.0,0.0232774674115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00162942271881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030260707635,0.0,0.0,0.0,0.00162942271881,0.0,0.0,0.0,0.0,0.0,0.0111731843575,0.0,0.0,0.00768156424581,0.0,0.000465549348231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215084",0.0430544272949,0.320064987815,0.528513403737,0.0,0.0,0.0100731112916,0.0,0.0,0.000324939073924,0.00227457351747,0.0,0.0227457351747,0.0,0.00926076360682,0.000324939073924,0.0183590576767,0.000162469536962,0.0,0.0,0.0,0.0,0.0,0.000487408610885,0.0,0.0,0.0,0.0295694557271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00227457351747,0.0,0.0,0.0125101543461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X214995",0.0346559801321,0.387763165321,0.49240842129,0.0,0.0,0.000451543715076,0.0,0.0,0.0106112773043,0.0230851724333,5.64429643845e-05,0.0252300050799,0.000112885928769,0.0173844330304,0.000903087430152,0.0040074504713,0.0,0.0,0.0,0.000169328893153,0.0,0.000225771857538,0.000169328893153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00050798667946,0.0,0.0,0.0,0.0,5.64429643845e-05,0.000338657786307,0.0,0.0,0.0,0.0,0.0,0.0,0.000225771857538,0.0,0.000112885928769,0.000395100750691,0.0,0.000733758536998,0.0,0.0,0.000282214821922,0.000112885928769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X214994",0.0318491225879,0.386061325173,0.520139886342,0.0,0.0013114344595,0.00349715855867,0.0,0.0,0.000686941859739,0.0103665771561,0.0,0.0249172547305,0.00274776743896,0.00849309935677,0.00299756447886,0.00324736151877,0.0,0.0,0.0,0.000686941859739,0.0,0.000249797039905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000187347779929,0.0,0.000874289639668,0.0,0.0,0.00124898519953,0.0,0.0,0.0,0.0,0.000374695559858,0.0,0.0,6.24492599763e-05,0.0,0.0,0.0,0.0,0.0
"X215075",0.00644244914523,0.472480089281,0.456703698067,0.0,5.07279460255e-05,0.0,0.0,0.0,0.00055800740628,0.00730482422767,0.0,0.00466697103434,0.0,0.00121747070461,0.00152183838076,0.000355095622178,0.000355095622178,0.0,0.0,0.00111601481256,0.0,0.000304367676153,5.07279460255e-05,0.0,0.0,0.0,0.000913103028458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000101455892051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000152183838076,0.0,0.0448435042865,0.0,0.0,0.000862375082433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215076",0.000805355614839,0.492172950118,0.425328434087,0.0,0.0,0.00140937232597,0.0,0.0,0.00100669451855,0.0153017566819,0.0,0.00231539739266,0.0,0.000805355614839,0.000755020888911,0.000604016711129,0.000604016711129,0.0,0.0,0.000956359792621,0.0,0.000100669451855,0.0,0.0,0.0,0.0,0.00020133890371,0.0,0.0,0.0,0.0,0.0,0.0,0.000100669451855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03347259274e-05,0.0,0.0569789097498,0.0,0.0,0.000503347259274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
