OTU,LDA_score,CLass
Prevotellaceae,8.835091851479818,UC
Christensenellaceae,7.4644410685952804,UC
Bifidobacteriaceae,7.378047743169229,UC
Victivallaceae,6.458615245908689,UC
Clostridiales_vadinBB60_group,6.188192317511004,UC
vadinBE97,5.2736155975871215,UC
Thermoanaerobacteraceae,4.542676580669106,UC
Eubacteriaceae,4.780976542501052,nonIBD
Clostridiaceae_1,5.703865422062098,nonIBD
Peptostreptococcaceae,6.060810132573937,nonIBD
Verrucomicrobiaceae,6.213458584719831,nonIBD
