"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Gammaproteobacteria","Actinobacteria","Solibacteres","Bacilli","Negativicutes","Flavobacteriia","Erysipelotrichia","Spartobacteria","Fusobacteriia","Sphingobacteriia","Coriobacteriia","Opitutae","Deinococci","Cytophagia","Melainabacteria","Deltaproteobacteria","Blastocatellia","Mollicutes","Verrucomicrobia_Incertae_Sedis","Anaerolineae","Chlorobia","OPB35_soil_group","Synergistia","Tectomicrobia(phylum)","Methanobacteria","Planctomycetacia","Thermoplasmata","Chloroplast","Epsilonproteobacteria","Acidimicrobiia","ML635J_21","Acidobacteria","Cyanobacteria","Verrucomicrobiae","TK10","Candidatus_Nomurabacteria","Subgroup_2"
"X206644",0.0,0.0,0.45637013097465556,0.4922605885354652,0.03197822758972614,0.0,0.0,0.0018710665079095085,0.0023813573737030106,0.0,0.014118047286953563,0.0,0.0,0.0,0.00017009695526450075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003401939105290015,0.0,0.0,0.0,0.0,0.0005102908657935023,0.0,0.0,0.0
"X206643",0.000731475385853266,0.000365737692926633,0.5314168678223978,0.3893643478896935,0.05083753931680199,0.0016092458488771854,0.0,0.008777704630239193,0.0019018360032184917,0.0,0.01441006510130934,0.0,0.0,0.0,0.00021944261575597982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001462950771706532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021944261575597982,0.0,0.0
"X206670",0.0,0.030364372469635626,0.4791572949467686,0.36343529764582394,0.0004873294346978557,0.0005623031938821412,0.0,0.0012370670265407107,0.0390238416554206,0.0,0.014507422402159244,0.0,0.00041235567551357026,0.0,0.00011246063877642825,0.0,0.0,0.0,0.0014619883040935672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06923826660668767,0.0,0.0,0.0
"X206669",0.0,0.0,0.06382978723404255,0.010638297872340425,0.6170212765957447,0.1276595744680851,0.0,0.05319148936170213,0.02127659574468085,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.07446808510638298,0.0,0.0,0.0
"X206676",0.0,0.024019353723863834,0.7064109210298946,0.19042681873163989,0.02436495593571799,0.0038016243303957147,0.0,0.004665629860031105,0.024537757041645066,0.0,0.00017280110592707794,0.0,0.007257646448937273,0.0,0.0,0.0,0.0,0.0,0.0,0.013824088474166234,0.0,0.0003456022118541559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017280110592707794,0.0,0.0,0.0
"X206675",0.0007594936708860759,0.016962025316455697,0.6070886075949367,0.30835443037974686,0.015443037974683544,0.0020253164556962027,0.0,0.014683544303797468,0.0210126582278481,0.0,0.006329113924050633,0.0,0.0,0.0,0.0012658227848101266,0.0,0.0,0.0,0.0,0.0017721518987341772,0.0,0.0027848101265822785,0.0,0.0010126582278481013,0.0,0.0,0.0,0.0,0.0005063291139240507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206677",0.01059705350219695,0.01046782114241406,0.5116309123804601,0.1371155337296459,0.24282760403204962,0.0037477384337037995,0.0,0.03579736365986043,0.013827862496769192,0.0012923235978288964,0.012147841819591625,0.0,0.005427759110881365,0.0060739209097958125,0.00012923235978288964,0.0,0.0,0.0,0.0,0.0,0.0027138795554406824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002455414835874903,0.0,0.00361850607392091,0.0,0.0,0.00012923235978288964,0.0,0.0,0.0
"X206678",0.0018881283927307056,0.0018881283927307056,0.5522775548737314,0.31991975454330895,0.07552513570922822,0.0016521123436393675,0.0,0.01687514751003068,0.0029502006136417278,0.0,0.017583195657304696,0.0,0.0,0.0,0.00660844937455747,0.0,0.0,0.0016521123436393675,0.0,0.0002360160490913382,0.0,0.0,0.0005900401227283455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035402407363700734,0.0,0.0,0.0
"X206684",8.80785660809442e-05,0.04875148632580262,0.5063196371163078,0.42119170299907516,0.002113885585942661,0.0015854141894569957,0.0,0.0031267890958735192,0.014797199101598626,0.0,0.0017175320385784119,0.0,0.0,0.0,0.0003082749812833047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206683",0.0,0.018849854163945846,0.5880893300248139,0.36223934526141655,0.003395585738539898,0.0011318619128466328,0.0,0.005006312306821645,0.007879500239432327,0.0,0.011536284880936833,0.0,0.0,0.0,0.0018719254712463542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206571",0.0,0.0,0.20522815867920202,0.4912481846671253,0.28372697393564167,0.0003057402736375449,0.0,0.002980967667966063,0.00687915615684476,0.0,0.0018344416418252694,0.0,0.007567071772529237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022930520522815867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206603",4.219053244451945e-05,0.0,0.2631001603240233,0.43764239304700026,0.2757151295249346,8.43810648890389e-05,0.0,0.0027845751413382836,0.007172390515568307,0.0,0.003501814192895114,0.0,0.009788203527128512,0.0,4.219053244451945e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012657159733355834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206572",0.00021156558533145275,7.052186177715091e-05,0.198589562764457,0.3254583921015515,0.45839210155148097,0.0014809590973201693,0.0,0.0028913963328631876,0.003455571227080395,0.0,0.004724964739069111,0.0,0.004301833568406206,0.00028208744710860365,0.00014104372355430183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215061",0.0,0.005988461257576864,0.42284378879719564,0.24099905060980062,0.206163733294384,0.0,0.0,0.0070108814722851095,0.08814722851091798,0.0,0.0021909004600890966,0.0,0.0,0.0005842401226904257,0.00029212006134521286,0.0,0.0,0.0,0.0005112101073541226,0.013364492806543489,0.0,0.002629080552106916,0.0,0.0,0.0,0.0,0.0008033301686993354,0.00021909004600890967,0.0012415102607171548,0.0,0.00043818009201781934,0.0,0.0,0.0,0.0,0.0,0.0,0.00657270138026729,0.0,0.0,0.0
"X215062",0.0,0.005122769828652182,0.5124536301006889,0.1664016958134605,0.19042571983748455,0.00026497085320614734,0.0,0.0012365306482953543,0.09035506094329623,0.0,0.0028263557675322383,0.0,0.0,0.0,0.0013248542660307366,0.0,0.0,0.0,0.0005299417064122947,0.011305423070128953,0.0,0.0022964140611199434,0.0,0.0,0.0,0.0,0.0012365306482953543,0.0,0.006270976859212153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00759583112524289,0.0,0.0003532944709415298,0.0
"X215080",0.0,0.0050923905136039576,0.36844657839856443,0.28313691255638,0.2018526601678064,0.03729569814248994,0.0,0.038023182501576214,0.02463747029438867,0.0,0.011736747659925311,0.00014549687181725592,0.001891459333624327,4.8498957272418644e-05,0.000678985401813861,0.00029099374363451185,0.0,4.8498957272418644e-05,0.0,0.00014549687181725592,0.0,0.0003394927009069305,0.0,0.0,0.0,0.00024249478636209323,0.0,0.0,0.0,0.0,0.0,0.0009214801881759542,0.0008729812309035355,0.0,0.0,0.0,0.0,0.02405548280711965,0.0,0.0,9.699791454483729e-05
