"","x"
"1","Prevotellaceae"
"2","Sphingomonadaceae"
"3","Lachnospiraceae"
"4","Coriobacteriaceae"
"5","Bifidobacteriaceae"
"6","Aerococcaceae"
"7","Actinomycetaceae"
"8","Defluviitaleaceae"
"9","Oxalobacteraceae"
"10","Mollicutes_RF9(order)"
"11","OPB56"
"12","Nocardiaceae"
"13","Neisseriaceae"
"14","Chloroplast(class)"
