Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.973774326501702,0.0589161930063442,-0.049530783975702646,0.11742364133783449
2,0.947409936064039,0.049444640223759,0.09959735138590631,0.12230001605018596
3,0.998042276104388,0.00474637562308078,-0.24236341182577198,0.047273724515889855
4,0.875225440995264,0.0596973125702511,0.20506999037776988,0.12781069630819666
5,0.928690617784057,0.0692085737567835,0.14929396726400895,0.1296069629813163
6,0.925292337709334,0.0602324400005094,0.16878043750592317,0.13069739147718368
7,0.956957181888538,0.0661959389867957,0.11818121756065839,0.14001050324861056
8,0.948851256839049,0.0608181204933584,0.03488607737946118,0.15347334156541623
9,0.918027063563112,0.0651665229882544,0.029267503936752058,0.12228089646568101
10,0.874740095266033,0.0918865271366358,0.16007912058403936,0.15886072376259144
11,0.977473955545005,0.0235547288413349,-0.2610393753171145,0.06319162659298679
12,0.968620620926212,0.0396556954153353,-0.215420279398399,0.08422962480988394
Averages,0.9410920924322276,0.05412692242020354,0.016400151289794267,0.1164299290929814
