"","x"
"1","Rhodobacterales"
"2","Sphingomonadales"
"3","Coriobacteriales"
"4","NB1_n"
"5","Actinomycetales"
"6","Rickettsiales"
"7","Synergistales"
"8","Planctomycetales"
"9","Obscuribacterales"
"10","Flavobacteriales"
"11","Pasteurellales"
