"","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Solibacterales","Pseudomonadales","Kineosporiales","Sphingomonadales","Lactobacillales","Rhodospirillales","Selenomonadales","Erysipelotrichales","Bacillales","Fusobacteriales","Thermales","Coriobacteriales","Caulobacterales","Bifidobacteriales","NB1_n","Actinomycetales","Micrococcales","Gastranaerophilales","Desulfovibrionales","Campylobacterales","MB_A2_108(class)","Rhizobiales","Mollicutes_RF9","Rickettsiales","Unknown_Order","Thermoanaerobacterales","Synergistales","Victivallales","Neisseriales","Sphingobacteriales","Planctomycetales","Obscuribacterales","Chloroplast(class)","Bdellovibrionales","Flavobacteriales","Pasteurellales","Enterobacteriales","Acidobacteriales","Xanthomonadales","Cytophagales","Thermoplasmatales","Verrucomicrobiales","Methanobacteriales","Cellvibrionales"
"X206657",0.00868075830121842,0.4017672933940597,0.41013663435711784,0.0,0.0,0.0,0.0003503445054303398,0.0,0.0,0.001751722527151699,0.0034645178870333607,0.0049826774105648335,0.0008953248472108685,7.785433454007552e-05,0.0,7.785433454007552e-05,0.0003503445054303398,0.0,0.0,0.00015570866908015105,3.892716727003776e-05,0.0,0.01163922301374129,0.003970571061543852,0.0,0.0,0.0,0.0,0.0,0.0,0.00011678150181011328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002724901708902643,0.00023356300362022657,0.0,0.0,0.0,0.0,0.1509206275059364,0.0,0.00011678150181011328
"X206658",0.008080313418217433,0.5227105778648384,0.2808521057786484,0.0010406464250734574,0.0009182174338883448,0.0,0.04884916748285994,0.00018364348677766894,0.0003672869735553379,0.0014691478942213516,0.0004285014691478942,0.00581537708129285,0.0008570029382957884,0.0014079333986287952,0.0,0.0,0.00018364348677766894,6.121449559255632e-05,0.0,0.0,0.0,0.004285014691478942,0.0012242899118511264,0.003672869735553379,0.0,0.0,0.00012242899118511264,0.0,0.0,0.0,6.121449559255632e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00012242899118511264,0.0,0.0,0.0004285014691478942,0.0009794319294809011,0.0004285014691478942,0.0,0.0,0.0,0.11545053868756121,0.0,0.0
"X215004",0.003968253968253968,0.31547619047619047,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.04563492063492063,0.0,0.031746031746031744,0.003968253968253968,0.001984126984126984,0.03373015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.03968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215003",0.02138239681750373,0.4400795624067628,0.28319244157135753,0.0,0.0,0.0,0.0002486325211337643,0.0,0.0,0.02536051715564396,0.0,0.07856787667826952,0.006215813028344107,0.007458975634012929,0.001989060169070114,0.0,0.00174042764793635,0.0,0.0007458975634012929,0.0,0.0007458975634012929,0.0,0.0002486325211337643,0.023868722028841372,0.0,0.0,0.0007458975634012929,0.0,0.000994530084535057,0.0,0.0,0.0,0.0,0.012928891098955743,0.0,0.0,0.0,0.0,0.0,0.0,0.08254599701640974,0.01093983092988563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215008",0.02982130424692504,0.2401949408215363,0.6797400789046183,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.0011603620329542817,0.0,0.006962172197725691,0.0015084706428405662,0.0,0.00023207240659085636,0.0,0.0009282896263634254,0.0,0.0003481086098862845,0.0,0.00011603620329542818,0.001392434439545138,0.0,0.0,0.0,0.0,0.0003481086098862845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023207240659085636,0.0,0.004177303318635414,0.024019494082153633,0.0,0.0,0.0,0.0,0.0016245068461359943,0.0,0.0
"X215007",0.02546916890080429,0.327660566499592,0.595232544585616,0.0,5.828185103158876e-05,0.0,0.0,0.0,0.0,0.0019815829350740177,0.0,0.01322998018417065,0.0018650192330108403,0.0003496911061895326,0.0015736099778528966,0.0,0.0006993822123790652,0.0,0.0001748455530947663,0.0,0.00011656370206317752,0.0,0.0,5.828185103158876e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004662548082527101,0.0,0.0,0.0,0.0,0.0,0.0,0.0068189765706958855,0.01742627345844504,0.0,0.0,0.0,0.0,0.0068189765706958855,0.0,0.0
"X215010",0.011534480209000837,0.5399516932025435,0.3688569034356977,0.0,0.0,0.0,0.0035490708335387195,0.0,0.0,0.001084438310247942,0.0,0.010499334549218711,0.004682801794252477,0.00019717060186326217,0.0,0.0,0.00024646325232907776,0.0,0.00019717060186326217,0.0,0.0,0.0,0.013259722975304382,0.008872677083846798,0.000985853009316311,0.0,0.0,0.009168432986641691,0.0,0.0,0.0,0.0007393897569872332,0.00019717060186326217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004929265046581555,0.0012816089121112043,0.0,0.0,0.0,0.0,0.024202691378715432,0.0,0.0
"X215009",0.01649555393272907,0.4251471283130719,0.43940890931741056,0.0,0.0,0.0,0.0036943167661841144,0.0,0.0,0.03453756604665149,0.00025774303019889173,0.013144894540143478,0.005713303836075433,0.0038661454529833757,0.00017182868679926113,0.0,0.001073929292495382,0.0,0.00034365737359852227,0.0,0.003436573735985223,0.00017182868679926113,0.013402637570342369,0.009235791915460286,0.0023626444434898405,0.0,0.0,0.007302719188968599,0.0,0.0,4.2957171699815284e-05,0.00017182868679926113,0.00047252888869796813,0.0,0.0,0.0,0.0,4.2957171699815284e-05,0.0,0.0,0.007775248077666566,0.0011598436358950127,0.0,4.2957171699815284e-05,0.0,0.0,0.010524507066454745,0.0,0.0
"X215049",0.0034965034965034965,0.10139860139860139,0.26223776223776224,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0944055944055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055944055944055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05944055944055944,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215048",0.043151969981238276,0.4626246667324973,0.37217339784733877,0.0,0.0,0.0004937296336526119,0.0,0.0,0.0,0.010072084526513281,0.031401204700306114,0.005134788189987163,0.0069122148711365655,0.00543102597017873,0.009775846746321714,0.0,0.0008887133405747013,0.0,0.0007899674138441789,0.0,0.0,0.0,0.0,0.004246074849412462,0.0013824429742273132,0.0,0.0,0.005727263750370297,0.0,0.0,0.0,0.0,0.0,0.012738224548237385,0.0007899674138441789,0.0002962377801915671,0.0,0.0,0.0,0.0,0.02330403870840328,0.002172410388071492,0.0,0.00039498370692208945,0.0,0.0,9.874592673052236e-05,0.0,0.0
