"","x"
"1","uncultured"
"2","Oscillibacter"
"3","Clostridiales_vadinBB60_group(family)"
"4","Streptococcus"
"5","Alistipes"
"6","Ruminococcaceae_UCG_011"
"7","Candidatus_Soleaferrea"
"8","_Eubacterium_xylanophilum_group"
"9","Rothia"
"10","Arcobacter"
"11","Coprobacter"
"12","Enhydrobacter"
"13","Erysipelatoclostridium"
"14","Alloprevotella"
"15","Selenomonas"
"16","Haemophilus"
"17","Catenibacterium"
"18","Holdemanella"
