Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.831688140727893,0.184126806613251,-0.0734637482743192,0.08677461206924328
2,0.814637366863778,0.165855911668056,-0.034269673074412095,0.12496915538755102
3,0.513868764667006,0.249297525885586,-0.03104458347233634,0.1300196707387186
4,0.76370116849691,0.173901096340396,-0.028530421375876552,0.12507074132097176
5,0.633061417205263,0.193461516777754,-0.01766229252017557,0.14785063145012659
6,0.997137376866129,0.002479104355393,-0.04830586610945567,0.06055504179315349
7,0.795726231943831,0.124420725614193,-0.046892558690492726,0.10607879078178654
8,0.841312289852988,0.13857663840773,-0.06353992743511999,0.0870200645956982
9,0.921878276476089,0.0807367622955876,-0.02533993921389746,0.10567787446726147
10,0.810219027273057,0.116297952318588,-0.0037822023794606436,0.13511540633906616
11,0.877245099429029,0.0562951882717979,-0.06492963096949138,0.09977519739854053
12,0.711320030022143,0.208420626042613,-0.03999690813520162,0.12090490061807362
13,0.641824129452731,0.140767841477738,-0.010916364897218766,0.1468894468285043
14,0.743804222408713,0.167024617933698,-0.04319203475746223,0.10895388195035643
15,0.800102563902925,0.162767406653853,-0.03018459308723507,0.13548326865761395
16,0.810532901158041,0.121944273704318,-0.04194619541753366,0.11818423895579398
17,0.908132109254779,0.0846039928864362,-0.016344622944624514,0.11416995835134915
18,0.822853611151843,0.178512818502257,-0.046775872680150654,0.11585231875876388
Averages,0.7910580403973971,0.1416383780971803,-0.03706207974635911,0.1149636222479207
