"","Acetobacteraceae","Comamonadaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","Moraxellaceae","Pseudomonadaceae","Flavobacteriaceae","Sphingobacteriaceae","Sphingomonadaceae","Christensenellaceae","Lactobacillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Burkholderiaceae","Family_XI","Thermaceae","Coriobacteriaceae","Bacteroidaceae","Clostridiales_vadinBB60_group","Streptococcaceae","Peptostreptococcaceae","Bifidobacteriaceae","Aerococcaceae","Actinomycetaceae","Oxalobacteraceae","Cellulomonadaceae","Eubacteriaceae","Porphyromonadaceae","Pseudonocardiaceae","Peptococcaceae","Micrococcaceae","Rikenellaceae","Neisseriaceae","Blastocatellaceae_Subgroup_4_","Spirochaetaceae","0319_6A21","Acidaminococcaceae","Mycobacteriaceae","Alicyclobacillaceae","Bacteroidales_S24_7_group","Desulfurellaceae","WCHA1_57(class)","Fusobacteriaceae","Nocardioidaceae","Bacteriovoracaceae","Planococcaceae","Chitinophagaceae","Rhizobiaceae","Cryomorphaceae","Intrasporangiaceae","Unknown_Family","Lentimicrobiaceae","Xanthomonadales_Incertae_Sedis","Geodermatophilaceae","Synergistaceae","Chthoniobacteraceae","Family_X","Staphylococcaceae","Desulfovibrionaceae","Campylobacteraceae","Rhodospirillaceae","Acidimicrobiaceae","Pasteurellaceae","X35(order)","Haliangiaceae","Leptotrichiaceae","mle1_27","PHOS_HE51","Xanthomonadaceae","Methylophilaceae","Methylobacteriaceae","Enterobacteriaceae","Methanobacteriaceae","Bacillaceae","Chloroplast(class)","Leuconostocaceae","Microbacteriaceae","Verrucomicrobiaceae","Carnobacteriaceae","Cytophagaceae","Clostridiaceae_1","Aeromonadaceae","Mollicutes_RF9(order)","Paenibacillaceae","Propionibacteriaceae","Erythrobacteraceae","NS9_marine_group","Iamiaceae","env_OPS_17","Defluviitaleaceae","Lineage_IIb(order)","Polyangiaceae","Oligoflexaceae","Dermabacteraceae","Family_III"
"X206720",0.0,0.0,0.000109613065877,3.65376886258e-05,0.0,0.163615769666,0.0,0.0,3.65376886258e-05,0.0,0.0,0.0,0.000328839197632,0.0,0.156783221893,0.0393145529614,0.0346377288173,0.00237494976068,0.0,0.000365376886258,0.0,0.000292301509007,0.462165223428,0.0,0.000949979904271,7.30753772516e-05,0.000694216083891,0.0,3.65376886258e-05,0.0,0.0,0.0,0.0132997186598,0.0,0.0,0.000109613065877,0.103145894991,0.0,0.0,0.0,0.0,3.65376886258e-05,0.0,0.0,0.0,0.0,0.0,0.00189995980854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.30753772516e-05,0.00847674376119,0.0,0.0,0.0,0.000657678395265,0.0,0.0,0.0,0.0,0.0,3.65376886258e-05,0.0,0.0,0.00895173371333,0.0,0.0,0.0,0.0,0.0,0.0,7.30753772516e-05,0.0,0.00138843216778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65376886258e-05,0.0,0.0,0.0,0.0,0.0
"X206721",0.0,0.0,0.000129612027996,0.000172816037328,0.0,0.134191652985,0.000259224055992,0.0,0.0,4.32040093321e-05,0.0,0.000129612027996,0.00021602004666,0.0,0.150911604597,0.0505054869092,0.0395748725482,0.00168495636395,0.0,0.000259224055992,0.0,0.000172816037328,0.462110083816,0.0,0.000388836083989,4.32040093321e-05,0.000129612027996,0.0,8.64080186641e-05,0.0,0.0,0.0,0.0167199516115,0.0,0.0,0.0,0.130130476108,4.32040093321e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00233301650393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000129612027996,0.0079495377171,0.0,0.0,0.0,8.64080186641e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00142573230796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.64080186641e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.64080186641e-05,0.0,0.0,0.0,0.0,0.0
"X206723",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0864197530864,0.0,0.0,0.0,0.0,0.0,0.037037037037,0.0,0.0,0.0123456790123,0.0,0.0,0.0,0.0,0.037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728395061728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0987654320988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206724",0.0,0.0,0.00064940025976,0.00015280006112,0.0,0.0316678126671,0.0,0.0003820001528,0.0001910000764,3.820001528e-05,0.0,0.0,0.0,0.0,0.119642447857,0.0080220032088,0.00103140041256,0.00049660019864,7.640003056e-05,0.00049660019864,0.0,0.0001910000764,0.164107265643,0.0,0.00389640155856,0.00015280006112,0.0,0.0,0.00026740010696,0.0,0.0,0.0,0.00011460004584,0.0,0.0,0.0,7.640003056e-05,0.0003820001528,0.0,0.0001910000764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00538620215448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015280006112,0.00026740010696,0.0001910000764,0.0,0.0,0.00240660096264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529337611735,0.0,0.0,0.0,0.0,0.0,0.0,0.00064940025976,0.0,0.129383451753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206728",0.0,0.000110015035388,0.000183358392314,0.000476731820015,0.0,0.462833253878,0.0,7.33433569254e-05,0.000843448604643,3.66716784627e-05,0.0,0.0,0.0015768821739,0.000183358392314,0.180608016429,0.032967838938,0.00575745351865,0.00656423044483,0.0,3.66716784627e-05,3.66716784627e-05,0.000476731820015,0.242949869816,0.0,0.00102680699696,0.00282371924163,0.000220030070776,0.0,0.0,0.0,0.0,0.0,0.00326377938318,0.0,0.0,0.000220030070776,0.00348380945396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028530565844,0.0,0.0,0.0,3.66716784627e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66716784627e-05,0.00825112765411,0.000110015035388,0.000183358392314,0.0,0.00209028567238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138985661374,0.0,0.0,0.0,0.0,0.0,0.0,7.33433569254e-05,0.0,0.0,3.66716784627e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206727",0.0,3.80995923344e-05,7.61991846687e-05,0.00060959347735,0.0,0.401074408504,0.0,0.0,3.80995923344e-05,0.0,0.0,0.0,0.00186688002438,0.000152398369337,0.145083247609,0.0668266849545,0.0035432620871,0.00670552825085,0.0,3.80995923344e-05,0.0,0.000266697146341,0.28170838572,0.0,0.000419095515678,0.00179068083972,0.000114298777003,0.0,3.80995923344e-05,3.80995923344e-05,0.0,0.0,0.00335276412542,0.0,0.0,0.000647693069684,0.00514344496514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024040842763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.61991846687e-05,0.00906770297558,0.0,3.80995923344e-05,0.0,0.0012191869547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0459862079476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206734",0.0,0.0,0.0,0.000125861363708,0.0,0.097794279601,0.0,0.0,3.1465340927e-05,0.0,0.0,0.0,0.0,0.0,0.106226990969,0.0237563323999,0.00264308863787,0.000629306818539,0.0,6.29306818539e-05,0.0,0.000849564205028,0.680091878796,0.0,9.43960227809e-05,0.0,3.1465340927e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000912494886882,0.00154180170542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00843271136843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1465340927e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07671250118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1465340927e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206733",0.0,0.0,0.0,6.66266906523e-05,0.0,0.115597308282,0.0,0.0,3.33133453261e-05,0.0,0.0,0.0,0.0,0.0,0.109367712706,0.0105603304684,0.00256512759011,0.000499700179892,0.0,0.0,0.0,0.000899460323806,0.711339862749,0.0,0.000233193417283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66266906523e-05,0.0,0.0,3.33133453261e-05,0.00103271370511,0.00186554733826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00489706176294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66266906523e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0407755346792,0.0,0.0,0.0,0.0,0.0,3.33133453261e-05,6.66266906523e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206750",7.16383695107e-05,0.0,0.243140626119,0.00107457554266,0.000107457554266,0.182677842252,0.000358191847554,0.000143276739021,0.000143276739021,0.0,3.58191847554e-05,0.0,0.00118203309693,0.000394011032309,0.210688444731,0.000143276739021,0.0178737731929,0.00333118418225,0.0,0.000501468586575,0.0,0.000358191847554,0.227344365642,0.00046564940182,0.003367003367,3.58191847554e-05,3.58191847554e-05,0.000107457554266,0.000394011032309,0.000214915108532,0.0,0.0,0.0454187262698,3.58191847554e-05,3.58191847554e-05,0.000429830217064,0.0112114048284,0.0,0.0,0.0,0.0,0.0104233827638,0.0,0.0,0.0,0.0,0.0,3.58191847554e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000107457554266,3.58191847554e-05,7.16383695107e-05,0.0,0.000179095923777,0.0162260906942,0.0,0.0,0.0,0.00419084461638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014936600043,0.0,0.0,0.0,0.0,0.0,0.000107457554266,0.0023282470091,0.0,0.0,0.0,3.58191847554e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206751",0.0,0.0,0.206891126495,0.00173064820642,0.0,0.179318753933,0.0,3.93329137823e-05,0.000117998741347,0.0,0.0,0.0,0.00157331655129,0.0,0.28150566394,3.93329137823e-05,0.0106985525488,0.00652926368785,0.0,3.93329137823e-05,0.0,0.000157331655129,0.210942416614,0.000550660792952,0.000314663310258,0.0,0.0,0.0,3.93329137823e-05,0.0,0.0,0.0,0.0427548772813,0.0,0.0,0.0,0.0152611705475,0.0,0.0,0.0,0.0,0.0110918816866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86658275645e-05,0.0169918187539,3.93329137823e-05,3.93329137823e-05,0.0,0.00228130899937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010659219635,0.000157331655129,0.0,0.0,0.0,0.0,0.000117998741347,0.0,0.0,0.0,0.0,3.93329137823e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
