Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.939706504269444,0.106347730251856,0.00246497328747757,0.09504364853804463
2,0.613208036796299,0.249017181729191,0.005116741043687508,0.13383730677997582
3,0.641497211618263,0.180830987827734,0.00017375037243053462,0.14721435936453878
4,0.633937889831264,0.175405285560793,-0.051880851007331134,0.12636632602677764
5,0.549608510694506,0.14177057980823,0.030797364369402332,0.15551686072147747
6,0.782664729640997,0.139875338179894,-0.05090111133021317,0.11736721306979493
7,0.894953470262615,0.113026712701849,-0.05237845226035787,0.11154435672573737
8,0.449962477374036,0.193302471850702,-0.027185111671179225,0.1382137140948738
9,0.934871200111774,0.106303970003722,-0.0703156983796623,0.09054811040583961
10,0.752906568803896,0.135576452784187,-0.02908332182493498,0.1019287716067644
11,0.704358785130384,0.162213889098576,-0.0013512647207413106,0.12426089344401076
12,0.792163871395682,0.141308841404209,-0.016181852023777487,0.0888937957230055
13,0.738086867758894,0.177254760532082,-0.03431717130761384,0.11133770272658304
14,0.771203013315938,0.132806386394822,-0.012015851249168081,0.13512646264788308
15,0.768851733827864,0.185595955958264,-0.002234636845506986,0.1403033932979829
16,0.58425246862592,0.237485942176599,-0.024941078505957632,0.1413732070354219
17,0.606052308294128,0.169143943001679,0.0054204442543407646,0.14309411177980583
18,0.502003335213437,0.502885513303466,-0.06109774007649548,0.14083062598314536
19,0.870215017452119,0.15530127625725,-0.009536637428817248,0.1002830409479211
20,0.5869642823432,0,-0.017832884650464554,0.11847198414502996
21,0.664273181245738,0.207969740098173,-0.01544512041352461,0.10494353111489864
22,0.68043411755402,0.223249968956611,-0.023336676870238823,0.12740916362870824
23,0.649199735343853,0.141223841009882,0.011365513292072476,0.14656214218985378
24,0.596629905227515,0.196220719012554,0.009209043609735942,0.1338725927100962
25,0.816911449599177,0.115949941234497,-0.05771203772131772,0.11215644375693616
Averages,0.7009966668692386,0.17160269716547286,-0.01972798672232622,0.12345999033860432
