"","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","Moraxellaceae","Peptococcaceae","JG30_KF_CM66(class)","Solibacteraceae_Subgroup_3_","uncultured","Pseudomonadaceae","Sphingomonadaceae","Intrasporangiaceae","Lactobacillaceae","Rhodospirillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Flavobacteriaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","Burkholderiaceae","Family_XI","Leptotrichiaceae","Thermaceae","Sphingobacteriaceae","Coriobacteriaceae","Fibrobacteraceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Leuconostocaceae","Rikenellaceae","Opitutaceae","Fusobacteriaceae","Bifidobacteriaceae","Aerococcaceae","Oscillochloridaceae","Actinomycetaceae","Caulobacteraceae","Defluviitaleaceae","Hyphomicrobiaceae","Spirochaetaceae","Iamiaceae","Oxalobacteraceae","Cellulomonadaceae","Eubacteriaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Subgroup_6(class)","Synergistaceae","Methylobacteriaceae","0319_6A21","Caldilineaceae","Erythrobacteraceae","Acidaminococcaceae","Bacteroidales_S24_7_group","Planctomycetaceae","Chthoniobacterales_Incertae_Sedis","Thermoanaerobacteraceae","OPB35_soil_group(class)","Chitinophagaceae","Tectomicrobia(phylum)","Acetobacteraceae","vadinBE97","Paenibacillaceae","Rhizobiales_Incertae_Sedis","Nocardioidaceae","Chloroflexaceae","Streptosporangiales_Incertae_Sedis","Microbacteriaceae","Neisseriaceae","Rhizobiaceae","Victivallaceae","Xanthomonadaceae","Geobacteraceae","env_OPS_17","Candidatus_Falkowbacteria(class)","Xanthobacteraceae","Nocardiaceae","Chloroplast(class)","Cytophagaceae","Geodermatophilaceae","Gitt_GS_136(class)","Staphylococcaceae","Campylobacteraceae","Rhodospirillales_Incertae_Sedis","Bacteriovoracaceae","Pasteurellaceae","Cyanobacteria(phylum)","NB1_j(order)","Enterobacteriaceae","ABS_19","Brevibacteriaceae","Heliobacteriaceae","Oligosphaeraceae","Solirubrobacteraceae","KD4_96(class)","Verrucomicrobiaceae","Carnobacteriaceae","Clostridiaceae_1","FamilyII","Propionibacteriaceae","Phyllobacteriaceae","Bradyrhizobiaceae","Cellvibrionaceae","UA11(class)","Lineage_IIc(order)"
"X206655",0.00042735042735042735,0.02735042735042735,0.0008547008547008547,0.010683760683760684,0.0,0.34444444444444444,0.0,0.0,0.013675213675213675,0.0,0.0,0.0,0.006837606837606838,0.0,0.0,0.0,0.014102564102564103,0.3162393162393162,0.011111111111111112,0.005982905982905983,0.0,0.019658119658119658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13675213675213677,0.026495726495726495,0.0,0.0,0.0,0.04188034188034188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.002136752136752137,0.0,0.0,0.0,0.0,0.0,0.0,0.002136752136752137,0.0017094017094017094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.00042735042735042735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206659",0.0,0.0,0.050964946829460414,0.00023631350925561244,0.0,0.04056715242221347,0.0014966522252855454,0.0,0.0,0.0,0.0,0.0,0.00015754233950374162,0.0,0.0,0.0,0.0014966522252855454,0.29838519102008665,0.028830248129184718,0.09665222528554548,0.0,0.007483261126427727,0.0,0.0,7.877116975187081e-05,0.0,0.0,0.0,0.0005513981882630957,0.0,0.1676250492319811,0.018826309570697124,0.008428515163450178,7.877116975187081e-05,0.0,0.032926348956282,0.0,0.008349743993698306,0.0007089405277668373,0.0,0.0,0.0005513981882630957,0.00031508467900748325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004017329657345412,0.028200078771169753,0.0,0.009452540370224497,0.0,0.0,0.0,0.0,0.1781803859787318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014021268215833006,0.0,0.0,0.0,0.0,0.0,0.0,0.0009452540370224497,0.0004726270185112249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206660",0.0,0.0,0.15090078787574648,0.0,0.0,0.014904401063883174,5.018316856526321e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014051287198273699,0.1403623224770412,0.03588096552416319,0.14056305515130224,0.0,0.0005018316856526321,0.0,0.0,0.0005018316856526321,0.0,0.0,0.0,0.0,0.0,0.21638982285341496,0.03231796055602951,0.00015054950569578964,0.0,0.0,0.028253123902243188,0.0,0.019671802077583178,0.0004516485170873689,0.0,0.0,0.0,0.0,5.018316856526321e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011542128770010538,0.01565714859236212,0.0,0.0023084257540021075,0.0,0.0,0.0,0.0,0.17810006523811914,0.0,0.0,0.0,0.0,0.0,5.018316856526321e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020073267426105285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010036633713052642,0.0,0.0,0.0,0.0,0.0,0.0,0.011592311938575801,0.0,0.0,0.0,0.0,0.0,0.0,0.008480955487529482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206667",0.0005714829983807982,0.0,9.524716639679969e-05,0.0,0.0,0.04629012286884465,0.0,0.0,0.0,0.0,0.0,0.0,0.003428897990284789,0.0,0.0,0.007334031812553577,0.0,0.35441470616249166,0.015144299457091151,0.01247737879798076,0.0,0.003428897990284789,0.0,0.0,0.0013334603295551957,0.0,0.0,0.0,0.0,0.0,0.5151919230402896,0.0,0.007619773311743976,0.00933422230688637,0.0,0.0005714829983807982,0.0,0.0036193923230783886,0.0,0.0,0.0,0.0,0.0008572244975711972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005714829983807982,0.0,0.007810267644537575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.524716639679969e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011429659967615963,0.0,0.0,0.0,0.002476426326316792,0.0,0.0,0.005333841318220783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.524716639679969e-05,0.0,0.0002857414991903991,0.0,0.0,0.0,0.0,0.0004762358319839985
"X206671",0.0,0.0,0.00012641425952847481,0.0,0.0,0.002907527969154921,0.0,0.0,0.0,0.0,0.0,0.0,0.0013273497250489855,0.0,0.0,0.00018962138929271222,0.0,0.17881297010302763,0.0,0.04184311990392516,0.0,0.0,0.0,0.00012641425952847481,0.00025282851905694963,0.0,0.0,0.0,0.0,0.0,0.5998988685923772,0.0,0.00657354149548069,0.00853296251817205,0.0,0.0,0.0,0.01902534605903546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031603564882118704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006763162884773403,0.0,0.0,0.12059920359016497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005056570381138993,0.011882940395676632,0.0,0.0,0.0,0.0,0.00031603564882118704,0.0,0.0
"X206672",0.0,0.0,8.811349017534584e-05,0.0,0.0,0.0006167944312274209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003524539607013834,0.0002643404705260375,0.0,0.0002643404705260375,0.16794431227420917,0.0,0.025200458190148912,0.0,8.811349017534584e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4931712045114107,0.0,0.0042294475284166,0.00784210062560578,0.0,0.0,0.0,0.014714952859282756,0.0002643404705260375,0.0,0.0,0.0,0.0,0.0,0.0007930214115781126,0.0,0.0,0.0002643404705260375,0.0,0.0,0.000528680941052075,0.0,0.0,0.0,0.0,0.0006167944312274209,0.0,0.0,0.000528680941052075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008811349017534585,0.0,0.0,0.0,0.0,0.0,0.0006167944312274209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001762269803506917,0.0,0.00105736188210415,0.0,8.811349017534584e-05,0.0,0.0,0.0,0.008106441096131818,0.0,0.0,0.25517666754780155,0.0,0.0,0.0,0.0,0.0008811349017534585,0.0,0.0,0.0013217023526301878,0.013657590977178606,0.0,0.0,0.0002643404705260375,0.0,0.0,0.0,0.0
"X206673",0.0,0.0005584252408208851,0.0,0.001326259946949602,0.0,0.16159430406254363,0.00020940946530783192,6.980315510261064e-05,0.0008376378612313277,0.0,0.0,0.0,6.980315510261064e-05,0.0,0.0,0.0,0.0,0.20319698450369958,0.026455395783889432,0.0016054725673600447,0.0,0.006631299734748011,0.0,0.0,0.0,0.0,0.0,0.0,0.0009074410163339383,0.0,0.39389920424403185,0.08020382521289962,0.008166969147005444,0.006980315510261063,0.0,0.0,0.0,0.0,0.0003490157755130532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005584252408208851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026106380008376378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.980315510261064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041881893061566385,0.0,0.0,0.0,0.0,0.0,0.0,0.0005584252408208851,0.0,0.0,0.0,0.0,0.0,0.0,0.07720228954348736,0.0014658662571548234,0.0005584252408208851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206681",0.0,0.0,0.0,0.0,0.0,0.3047735618115055,0.0,0.0006119951040391676,0.0,0.0,0.0,0.0,0.028151774785801713,0.0,0.0,0.0,0.0,0.3445532435740514,0.0,0.10832313341493269,0.0,0.019583843329253364,0.0,0.0,0.0,0.0,0.0,0.0,0.014075887392900856,0.0,0.14687882496940025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006731946144430845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004283965728274173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018359853121175031,0.0,0.0,0.020195838433292534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206682",0.007334963325183374,0.0,0.004889975550122249,0.0,0.0,0.33496332518337407,0.009779951100244499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2982885085574572,0.0,0.14180929095354522,0.0,0.009779951100244499,0.0,0.0,0.0,0.0,0.0,0.0,0.014669926650366748,0.0,0.05134474327628362,0.009779951100244499,0.04156479217603912,0.0,0.0,0.007334963325183374,0.02444987775061125,0.0,0.004889975550122249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014669926650366748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022004889975550123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206536",0.0,0.0,0.00120598166907863,0.0012662807525325615,0.0,0.06608779546550893,0.0,6.02990834539315e-05,0.0,0.0,0.0,0.0,0.000241196333815726,0.0003014954172696575,0.0,0.0,0.000120598166907863,0.08966473709599614,0.133803666184274,0.013084901109503135,0.0,0.005065123010130246,0.0,0.0,0.000602990834539315,0.0003014954172696575,0.0,0.0,0.001326579835986493,0.0,0.44006271104679207,0.03491316931982634,0.0028340569223347803,0.020682585624698505,0.0,0.0074167872648335745,0.0,0.04202846116739026,0.004220935841775205,0.0,0.0,0.000361794500723589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001808972503617945,0.0,0.0,0.003376748673420164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027134587554269174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001808972503617945,0.0,0.0,0.01917510853835022,0.0,0.0,0.10769416304872166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010250844187168354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
