"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Gammaproteobacteria","Actinobacteria","Bacilli","Negativicutes","Erysipelotrichia","Spartobacteria","Coriobacteriia","Opitutae","Fusobacteriia","Deinococci","Melainabacteria","Deltaproteobacteria","Mollicutes","Verrucomicrobia_Incertae_Sedis","OPB35_soil_group","Synergistia","Sphingobacteriia","Chloroplast","Epsilonproteobacteria","Acidimicrobiia","Flavobacteriia","Acidobacteria","Cytophagia","Cyanobacteria","Verrucomicrobiae","Candidatus_Nomurabacteria","Methanobacteria","Subgroup_2"
"X206621",0.0,0.0,0.14705882352941177,0.6764705882352942,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206624",0.09078212290502793,0.0,0.10893854748603352,0.0935754189944134,0.30027932960893855,0.25977653631284914,0.0,0.0,0.030726256983240222,0.0,0.0,0.0,0.0,0.0,0.0,0.027932960893854747,0.0,0.0,0.0,0.0,0.0,0.04748603351955307,0.0,0.01675977653631285,0.0,0.008379888268156424,0.0,0.015363128491620111,0.0,0.0,0.0,0.0
"X206628",0.0,0.0,0.21103896103896103,0.07142857142857142,0.4090909090909091,0.006493506493506494,0.05844155844155844,0.016233766233766232,0.21428571428571427,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003246753246753247,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206630",0.0008663008951775916,0.01891423621137742,0.5846087207623448,0.2822697083453653,0.015882183078255847,0.014149581287900665,0.0040427375108287615,0.012994513427663876,0.05111175281547791,0.0,0.005919722783713543,0.0,0.004764654923476754,0.0010106843777071904,0.0010106843777071904,0.0,0.0008663008951775916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015882183078255846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206636",0.0,0.07116788321167883,0.6697080291970803,0.1259124087591241,0.005474452554744526,0.03467153284671533,0.04744525547445255,0.02737226277372263,0.010948905109489052,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206644",0.0,0.0,0.45637013097465556,0.4922605885354652,0.03197822758972614,0.0,0.0018710665079095085,0.0023813573737030106,0.014118047286953563,0.0,0.00017009695526450075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003401939105290015,0.0,0.0,0.0,0.0,0.0,0.0005102908657935023,0.0,0.0,0.0
"X206670",0.0,0.030364372469635626,0.4791572949467686,0.36343529764582394,0.0004873294346978557,0.0005623031938821412,0.0012370670265407107,0.0390238416554206,0.014507422402159244,0.0,0.00011246063877642825,0.0,0.00041235567551357026,0.0,0.0014619883040935672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06923826660668767,0.0,0.0,0.0
"X206676",0.0,0.024019353723863834,0.7064109210298946,0.19042681873163989,0.02436495593571799,0.0038016243303957147,0.004665629860031105,0.024537757041645066,0.00017280110592707794,0.0,0.0,0.0,0.007257646448937273,0.0,0.0,0.013824088474166234,0.0003456022118541559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017280110592707794,0.0,0.0,0.0
"X206678",0.0018881283927307056,0.0018881283927307056,0.5522775548737314,0.31991975454330895,0.07552513570922822,0.0016521123436393675,0.01687514751003068,0.0029502006136417278,0.017583195657304696,0.0,0.00660844937455747,0.0,0.0,0.0,0.0,0.0002360160490913382,0.0,0.0005900401227283455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016521123436393675,0.0,0.00035402407363700734,0.0,0.0,0.0
"X206684",8.80785660809442e-05,0.04875148632580262,0.5063196371163078,0.42119170299907516,0.002113885585942661,0.0015854141894569957,0.0031267890958735192,0.014797199101598626,0.0017175320385784119,0.0,0.0003082749812833047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206572",0.00021156558533145275,7.052186177715091e-05,0.198589562764457,0.3254583921015515,0.45839210155148097,0.0014809590973201693,0.0028913963328631876,0.003455571227080395,0.004724964739069111,0.0,0.00014104372355430183,0.0,0.004301833568406206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028208744710860365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
