"","Tepidimonas","Christensenellaceae_R_7_group","Prevotella","Family_XIII_AD3011_group","Ruminiclostridium","Frederiksenia","Corynebacterium","uncultured","Pseudomonas","Sphingomonas","Lactobacillus","Oscillibacter","Faecalibacterium","Hungatella","Sutterella","Veillonella","_Ruminococcus_gauvreauii_group","Ruminococcaceae_UCG_010","Faecalitalea","Clostridiales_vadinBB60_group(family)","Lactonifactor","Lachnospiraceae_UCG_001","Ruminococcaceae_UCG_003","Blautia","DA101_soil_group(family)","Gemella","Senegalimassilia","Collinsella","Bacteroides","Porphyromonas","Butyricicoccus","Streptococcus","Intestinibacter","Paraprevotella","_Eubacterium_hallii_group","Ruminococcaceae_NK4A214_group","Leuconostoc","Alistipes","Opitutus","Howardella","Fusobacterium","Bifidobacterium","Subdoligranulum","Coprococcus","Odoribacter","Abiotrophia","Actinomyces","Ruminococcaceae_UCG_011","Acinetobacter","Anaerococcus","Ruminococcaceae_UCG_014","Roseburia","Candidatus_Soleaferrea","Ruminococcus","_Clostridium_innocuum_group","Massilia","Meiothermus","Anaerotruncus","_Eubacterium_brachy_group","Romboutsia","Anaerofustis","_Eubacterium_xylanophilum_group","Cellulosilyticum","Lachnospiraceae_NK4A136_group","Peptococcus","Butyricimonas","Rothia","Gastranaerophilales(order)","Ruminococcaceae_UCG_013","Oscillospira","Mollicutes_RF9(order)","Phascolarctobacterium","Bacteroidales_S24_7_group(family)","Family_XIII_UCG_001","Tyzzerella","_Eubacterium_nodatum_group","Candidatus_Methylacidiphilum","Erysipelatoclostridium","Parasutterella","OPB35_soil_group(class)","Cloacibacillus","Alloprevotella","Roseomonas","Megasphaera","Dorea","NS11_12_marine_group(family)","_Eubacterium_coprostanoligenes_group","Dysgonomonas","Eikenella","Lachnospiraceae_NC2004_group","Mitsuokella","Hydrotalea","Rhizobium","Ruminococcaceae_UCG_002","Barnesiella","Parvimonas","Lactococcus","Oribacterium","Peptostreptococcus","Lachnospiraceae_UCG_008","Chloroplast(class)","Dialister","Anaerofilum","Lachnospiraceae_UCG_006","Gallibacterium","Staphylococcus","Anaerostipes","Campylobacter","Allobaculum","Rickettsiella","Lachnospira","Lachnoclostridium","Sellimonas","Cloacibacterium","Haemophilus","Aggregatibacter","Oceanivirga","Brevibacterium","Eubacterium","Methylophilus","Enterorhabdus","Cytophaga","Ruminococcaceae_UCG_004","Proteus","Citrobacter","Parabacteroides","Allisonella","Turicibacter","Finegoldia","Fusicatenibacter","Mogibacterium","Dielma","Catenibacterium","Anaeroplasma","Pseudoclavibacter","Akkermansia","Flavonifractor","Eggerthella","Granulicatella","Candidatus_Stoquefichus","Helicobacter","Lachnospiraceae_ND3007_group","Bilophila","Ruminococcaceae_UCG_005","Candidatus_Nomurabacteria(class)","Methanobrevibacter","Clostridium_sensu_stricto","Christensenella","Peptoniphilus","_Eubacterium_rectale_group","Slackia","Lachnospiraceae_UCG_010","Hafnia_Obesumbacterium","_Eubacterium_ventriosum_group","Holdemania","Sarcina","Holdemanella","Escherichia_Shigella","_Ruminococcus_gnavus_group","Subgroup_2(class)","Prevotellaceae_Ga6A1_group","Epulopiscium","Murdochiella","Micrococcus","Uliginosibacterium","_Eubacterium_eligens_group","Brachybacterium","Lawsonella","Erysipelotrichaceae_UCG_003"
"X206628",0.0,0.07467532467532467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.016233766233766232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04220779220779221,0.0,0.0,0.0,0.0,0.016233766233766232,0.0,0.0,0.05844155844155844,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.006493506493506494,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01948051948051948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37012987012987014,0.06493506493506493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456
"X206630",0.0,0.0010106843777071904,0.0,0.00014438348252959862,0.0,0.0,0.0028876696505919725,0.004909038406006353,0.00014438348252959862,0.0,0.0,0.0,0.0932717297141207,0.0,0.01891423621137742,0.0031764366156511693,0.0,0.0,0.0014438348252959862,0.0,0.0,0.0,0.0,0.021513138896910193,0.0,0.0,0.0,0.005630955818654346,0.2777938203869477,0.0,0.00014438348252959862,0.00014438348252959862,0.0,0.0,0.00837424198671672,0.0,0.0,0.0008663008951775916,0.0,0.01674848397343344,0.004764654923476754,0.006064106266243142,0.0027432861680623736,0.010106843777071902,0.0,0.0,0.0,0.0,0.0,0.0027432861680623736,0.0,0.045047646549234766,0.0,0.0,0.0004331504475887958,0.0,0.0010106843777071904,0.0,0.0,0.0,0.0,0.0,0.0,0.006352873231302339,0.0,0.0004331504475887958,0.0007219174126479931,0.0010106843777071904,0.0,0.0,0.0,0.009818076812012706,0.0014438348252959862,0.0,0.0,0.0,0.0,0.015304649148137454,0.0,0.0,0.0,0.0,0.0008663008951775916,0.0,0.022523823274617383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019347386658966213,0.0,0.0,0.0,0.0,0.0,0.0014438348252959862,0.12185965925498123,0.0,0.0,0.0,0.009096159399364713,0.0,0.0,0.0015882183078255846,0.00822985850418712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012994513427663876,0.0,0.0,0.0008663008951775916,0.0,0.0,0.0,0.0,0.0008663008951775916,0.0020213687554143807,0.0,0.0,0.0,0.0024545192030031764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001876985272884782,0.16806237366445279,0.00028876696505919725,0.0,0.0,0.0,0.0,0.0,0.0,0.007507941091539128,0.019347386658966213,0.0,0.0,0.0,0.0008663008951775916,0.0,0.0,0.008085475021657523,0.0,0.0024545192030031764,0.03393011839445567
"X206644",0.0,0.0005102908657935023,0.0,0.0010205817315870045,0.006293587344786528,0.0,0.0,0.04320462663718319,0.0,0.0,0.0,0.0,0.000680387821058003,0.0,0.0,0.0023813573737030106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00884504167375404,0.0,0.0,0.0,0.0,0.49141010375914274,0.0,0.0005102908657935023,0.0008504847763225039,0.0,0.0,0.0,0.0,0.0,0.0003401939105290015,0.0,0.0,0.0,0.0,0.016669501615921074,0.005783296478993026,0.0,0.0,0.0,0.0,0.00017009695526450075,0.0,0.0,0.0,0.00017009695526450075,0.0,0.0034019391052900155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005102908657935023,0.0,0.09185235584283041,0.0,0.0,0.009015138629018541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003401939105290015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005102908657935023,0.0008504847763225039,0.0,0.0,0.0,0.0,0.0,0.0010205817315870045,0.014288144242218064,0.0003401939105290015,0.0,0.0,0.0,0.05732267392413676,0.0,0.0,0.014628338152747066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034019391052900155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005102908657935023,0.014798435108011567,0.00017009695526450075,0.0,0.0,0.0,0.0,0.0,0.00017009695526450075,0.0,0.0,0.0,0.0,0.0,0.18795713556727334,0.0,0.0,0.0,0.0,0.0017009695526450078,0.0,0.0,0.017179792481714577,0.0011906786868515053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206670",0.0003748687959214275,0.0018743439796071375,3.748687959214275e-05,0.000449842555105713,0.011208576998050682,0.0,0.0,0.015594541910331383,0.00011246063877642825,0.0,0.0,0.000149947518368571,0.09319238266606687,0.0,0.0,0.000749737591842855,0.00018743439796071375,0.0,0.00775978407557355,0.000149947518368571,0.0,0.0,0.002099265257159994,0.010983655720497826,0.0,0.0,0.0,0.0,0.3013195381616434,0.0,0.002249212775528565,0.0012370670265407107,0.00026240815714499927,0.0,0.0002249212775528565,0.0,0.0,0.0620782726045884,0.0,0.0,0.00041235567551357026,0.0005248163142899985,0.08202129254760834,0.028827410406357775,0.0,0.0,0.0,0.0,3.748687959214275e-05,0.0,0.00626030889188784,0.000149947518368571,3.748687959214275e-05,0.011133603238866396,0.000149947518368571,0.0,0.0,0.0016119358224621382,0.000449842555105713,0.0,0.00033738191632928474,0.008209626630679262,0.0,0.02099265257159994,0.0,0.0,3.748687959214275e-05,0.0014619883040935672,0.000299895036737142,0.0007122507122507123,0.0,0.0,0.0,0.00011246063877642825,0.008284600389863547,0.0002249212775528565,0.0,0.0004873294346978557,0.0299895036737142,0.0,0.0,0.0,0.0,0.0,0.0014619883040935672,0.0,0.0036737142000299893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.748687959214275e-05,0.0,0.0,0.0,0.011396011396011397,0.0,0.03763682711051132,7.49737591842855e-05,0.0,0.0,0.0,0.00149947518368571,0.0,0.0,0.0,3.748687959214275e-05,0.002661568451042135,3.748687959214275e-05,0.0,0.0002249212775528565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050344879292247714,0.0,0.0,0.0,0.0,0.0,0.06923826660668767,0.011021142600089968,0.00011246063877642825,0.0,0.00033738191632928474,0.0,0.0,0.0,0.006935072724546409,0.0,0.0,0.0,0.0,0.0,0.04584645374119058,0.0,0.0,0.0,0.0002249212775528565,0.0009746588693957114,0.0,0.0,0.00011246063877642825,0.035912430649272756,0.0,0.0,0.0,0.0,0.0,0.0,0.00033738191632928474,0.0,0.0,0.004798320587794272
"X206678",0.0008260561718196837,0.0,0.0002360160490913382,0.003422232711824404,0.013570922822751947,0.0,0.0,0.001062072220911022,0.00129808827000236,0.0018881283927307056,0.0,0.0,0.17819211706396035,0.0,0.0001180080245456691,0.0029502006136417278,0.0,0.0,0.004484304932735426,0.0,0.0,0.0,0.0,0.024191645031862167,0.0,0.0001180080245456691,0.0,0.0,0.3029265990087326,0.0,0.0004720320981826764,0.013688930847297616,0.001180080245456691,0.0,0.0028321925890960587,0.0,0.0,0.0001180080245456691,0.0,0.0,0.0,0.0,0.016757139485485014,0.010030682086381875,0.0,0.0,0.0005900401227283455,0.0,0.001180080245456691,0.0001180080245456691,0.0,0.0014160962945480293,0.0,0.0,0.0004720320981826764,0.00035402407363700734,0.0,0.0,0.0,0.0017701203681850365,0.0,0.0,0.0,0.0005900401227283455,0.0,0.0,0.001062072220911022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008260561718196837,0.0,0.0005900401227283455,0.010856738258201559,0.0001180080245456691,0.0,0.0,0.0,0.0,0.0,0.02112343639367477,0.0,0.0005900401227283455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005782393202737786,0.0,0.0,0.0,0.0,0.0,0.0002360160490913382,0.004248288883644088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032216190700967665,0.0,0.0,0.0,0.0,0.0,0.0,0.0016521123436393675,0.0,0.0,0.0001180080245456691,0.016639131460939344,0.0,0.0,0.0001180080245456691,0.002478168515459051,0.0,0.0017701203681850365,0.0,0.0,0.0,0.00035402407363700734,0.0004720320981826764,0.00660844937455747,0.0028321925890960587,0.0,0.0,0.0008260561718196837,0.0002360160490913382,0.0,0.0,0.0,0.0,0.0,0.0,0.24156242624498467,0.0,0.0,0.00035402407363700734,0.0,0.0,0.0,0.0,0.04035874439461883,0.017701203681850367,0.0,0.0,0.0,0.0,0.0,0.0004720320981826764,0.0009440641963653528,0.0,0.0,0.0
"X206572",7.052186177715091e-05,0.0,0.0,0.0,0.0006346967559943583,0.0,0.0004231311706629055,0.0004231311706629055,0.0,0.0,0.0,0.0,0.047461212976022564,0.0,0.0,0.0019040902679830747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035966149506346965,0.0,0.0003526093088857546,0.0,0.0,0.32447108603667135,0.0009873060648801129,0.0006346967559943583,0.002256699576868829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004301833568406206,0.0,0.0004936530324400564,0.0,0.0,0.0,0.0006346967559943583,0.0,7.052186177715091e-05,0.0,0.00021156558533145275,0.0003526093088857546,0.0,0.0,0.00014104372355430183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006276445698166431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004090267983074753,0.0,0.0,0.004231311706629055,0.0,0.0,0.0,0.0,0.0,0.00028208744710860365,0.0,0.00028208744710860365,0.0,0.0,0.0,0.0,0.0,0.0,0.00021156558533145275,0.0,0.0,0.0,0.0,0.0005641748942172073,0.0,0.0037376586741889985,0.0,0.0010578279266572638,0.0,0.0,0.0,0.00028208744710860365,0.004090267983074753,0.0,0.0,0.0,0.0,0.009026798307475317,0.0,0.0,0.03596614950634697,0.0,0.0,0.0004231311706629055,0.0,0.0,0.0,0.0,0.0,0.0,0.41932299012693935,0.0,0.0,0.0,7.052186177715091e-05,0.001763046544428773,0.0,0.0,0.0,0.0,0.0,0.0,0.00021156558533145275,0.00014104372355430183,0.0,0.0003526093088857546,0.0,0.0,0.0,0.0,0.0,0.0,0.0007052186177715092,0.0,0.0,0.025669957686882933,0.0,0.0,7.052186177715091e-05,0.0,0.0,0.0,0.0,0.0029619181946403386,0.088787023977433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215062",0.0,0.0196078431372549,0.10068892421833599,0.00432785726903374,0.01589825119236884,0.0,0.0,0.016781487369722663,0.01086380498145204,0.0,0.0,0.0,0.12859918742271684,0.0,0.0,0.0023847376788553257,0.0,0.0005299417064122947,0.0003532944709415298,0.0001766472354707649,0.0,0.0,0.0028263557675322383,0.015103338632750398,0.0,0.0,0.0001766472354707649,0.0009715597950892068,0.04760642995937114,0.0,0.0013248542660307366,0.0011482070305599717,0.0006182653241476771,0.0005299417064122947,0.0392156862745098,0.004681151739975269,0.0,0.0069775658010952125,0.0,0.0,0.0,0.0,0.01775304716481187,0.007154213036565978,0.0013248542660307366,0.0,0.0,0.00026497085320614734,0.0,0.0,0.0,0.01704645822292881,0.0,0.00397456279809221,0.0014131778837661192,0.0,0.0,0.0011482070305599717,0.0003532944709415298,0.0003532944709415298,0.0,0.003179650238473768,0.0,0.01192368839427663,0.002208090443384561,8.832361773538245e-05,8.832361773538245e-05,0.0005299417064122947,0.002649708532061473,0.0,0.0022964140611199434,0.04592828122239887,0.0,0.0,0.0,0.0,0.0,0.0,0.005122769828652182,0.0,0.0012365306482953543,0.0,0.0,0.0,0.0009715597950892068,0.0,0.013601837131248896,0.0,0.0,0.0005299417064122947,0.04160042395336513,0.0,0.0,0.0397456279809221,0.000794912559618442,0.0,0.0,0.0,0.0,0.020491079314608727,0.0,0.0,0.0,0.0,0.0,8.832361773538245e-05,0.0075075075075075074,0.0,0.0,0.0,0.013955131602190425,0.00688924218335983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001766472354707649,0.0,0.0,0.0,0.0023847376788553257,0.008390743684861332,0.0004416180886769122,0.0004416180886769122,0.0,0.003003003003003003,0.0009715597950892068,0.0,0.0,0.0,0.0,0.00759583112524289,0.0007065889418830596,0.0,0.0,0.0,0.0,0.0009715597950892068,0.011305423070128953,0.02287581699346405,0.0003532944709415298,0.006270976859212153,0.0016781487369722664,0.0,0.0,0.051845963610669496,0.0,0.0028263557675322383,0.0,8.832361773538245e-05,0.0,0.0,0.0,0.17717717717717718,0.005299417064122946,0.0,0.0,0.0,0.0,0.0001766472354707649,0.0,0.000794912559618442,0.0,0.0,0.0006182653241476771
"X215080",9.699791454483729e-05,9.699791454483729e-05,0.00392841553906591,0.0,0.011348756001745963,9.699791454483729e-05,0.0,0.00213395411998642,0.0030554343081623746,0.0,0.0085843154372181,0.0,0.060817692419612976,0.0003394927009069305,0.00043649061545176777,0.014452689267180756,0.0009214801881759542,0.00019399582908967457,0.0009699791454483729,9.699791454483729e-05,9.699791454483729e-05,0.00038799165817934915,0.00038799165817934915,0.013143217420825453,0.00014549687181725592,0.0,4.8498957272418644e-05,0.00029099374363451185,0.23793588437848587,0.00014549687181725592,0.0008729812309035355,0.012706726805373684,0.010524273728114845,0.0009699791454483729,0.00465589989815219,0.0,4.8498957272418644e-05,0.028323391047092486,0.00029099374363451185,0.0,0.0014549687181725592,0.03394927009069305,0.021242543285319365,0.0011154760172656288,9.699791454483729e-05,4.8498957272418644e-05,0.00048498957272418645,0.0,9.699791454483729e-05,0.0,0.0011154760172656288,0.0114457539162908,0.00014549687181725592,0.0143071923953635,0.002667442649983025,0.0,0.0,0.00029099374363451185,0.0,0.006450361317231679,0.0,0.00043649061545176777,9.699791454483729e-05,0.0008729812309035355,0.00029099374363451185,0.00029099374363451185,0.0028129395218002813,0.0,0.00392841553906591,0.0,0.0003394927009069305,0.001648964547262234,0.0018429603763519084,0.0,0.005819874872690237,0.0,0.0,0.003006935350889956,0.004364906154517678,0.00024249478636209323,0.0,4.8498957272418644e-05,0.0,0.000824482273631117,0.0008729812309035355,0.0,0.008293321693583587,0.00038799165817934915,9.699791454483729e-05,0.0,0.0,4.8498957272418644e-05,0.0,0.002182453077258839,0.0005819874872690237,0.0,0.00014549687181725592,0.0,0.0,0.0580047528978127,0.0009214801881759542,0.007711334206314565,0.0,0.00014549687181725592,0.0007274843590862796,0.002182453077258839,0.024103981764392067,0.000533488529996605,9.699791454483729e-05,9.699791454483729e-05,0.0017944614190794899,0.0063048644454144235,0.0,0.0,0.005189388428148795,4.8498957272418644e-05,0.00043649061545176777,0.0,0.00048498957272418645,9.699791454483729e-05,0.0,4.8498957272418644e-05,9.699791454483729e-05,0.00048498957272418645,0.1074251903584073,0.008147824821766332,0.0,0.0016974635045346525,0.0,0.00892380813812503,0.0,0.0,4.8498957272418644e-05,0.0,0.0,0.02405548280711965,0.0028614384790727,0.00024249478636209323,0.0143071923953635,0.0,0.0003394927009069305,4.8498957272418644e-05,0.00014549687181725592,9.699791454483729e-05,0.0,0.0,0.01969057665260197,0.00014549687181725592,0.0,0.03884766477520733,4.8498957272418644e-05,0.00024249478636209323,4.8498957272418644e-05,0.0009699791454483729,0.00038799165817934915,0.00048498957272418645,0.00038799165817934915,0.08458218148309811,0.01818710897715699,9.699791454483729e-05,0.00043649061545176777,0.00029099374363451185,0.0,0.0,0.0,0.0018429603763519084,4.8498957272418644e-05,0.0,0.002473446820893351
