Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.234048463339918,0.302326981445273,0.007971266115621411,0.12662723740965007
2,0.661597366733785,0.278428555736208,-0.05524523532153886,0.08881185658609776
3,0.122388410759954,0.305386986985031,-0.006100019831932494,0.11876663417776472
4,0.496394953293695,0.0982200931072689,0.02641477912970411,0.15754023076017037
5,0.721279003565717,0.164062151942518,-0.012333493216347401,0.12465089339861986
6,0.327820192424359,0.438903113784304,0.011567987573985465,0.10925488771154597
7,0.507014964726392,0,-0.0243847958818536,0.07878847325773179
Averages,0.43864905069197435,0.22676112614294325,-0.0074442159189087665,0.11492003047165436
