"","Betaproteobacteria","Bacteroidia","Clostridia","Alphaproteobacteria","Gammaproteobacteria","Actinobacteria","Solibacteres","Negativicutes","Erysipelotrichia","Bacilli","Sphingobacteriia","Coriobacteriia","Deinococci","Mollicutes","Flavobacteriia","Melainabacteria","Epsilonproteobacteria","Synergistia","MB_A2_108","Fusobacteriia","Subgroup_6","Lentisphaeria","Planctomycetacia","Thermomicrobia","Deltaproteobacteria","Chloroplast","Thermoplasmata","Methanobacteria","Thermoleophilia","Blastocatellia","Verrucomicrobiae","Cytophagia","Latescibacteria(phylum)","Acidobacteria","Verrucomicrobia_Incertae_Sedis"
"X224324",0.0697744490358,0.621986914601,0.230501033058,4.3044077135e-05,0.0603908402204,0.00094696969697,0.0,0.00649965564738,0.00150654269972,0.00589703856749,0.0,0.000129132231405,0.0,0.0,0.0,0.0,0.000301308539945,0.0,0.0,0.000215220385675,0.0,0.0,0.0,0.0,0.00180785123967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224323",0.0455051066842,0.4899383153,0.378450803924,0.0,0.0548083729396,0.00101122459298,0.0,0.018151481444,0.00197188795632,0.00753362321772,0.000101122459298,0.000252806148246,0.0,0.0,5.05612296491e-05,0.0,5.05612296491e-05,0.0,0.0,0.000404489837193,0.0,0.0,0.0,0.0,0.00171908180807,0.0,0.0,0.0,0.0,0.0,5.05612296491e-05,0.0,0.0,0.0,0.0
"X215004",0.00793650793651,0.388888888889,0.315476190476,0.0,0.134920634921,0.0119047619048,0.0,0.031746031746,0.00396825396825,0.047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337301587302,0.0,0.0,0.0,0.0,0.0238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215003",0.0343112879165,0.283192441571,0.440079562407,0.00174042764794,0.0937344604674,0.0014917951268,0.0,0.0785678766783,0.00621581302834,0.0328194927897,0.0,0.00174042764794,0.0,0.0,0.0,0.000248632521134,0.0,0.0,0.0,0.00198906016907,0.0,0.0,0.0,0.0,0.0238687220288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215008",0.0298213042469,0.679740078905,0.240194940822,0.000348108609886,0.0353910420051,0.00185657925273,0.0,0.00696217219773,0.00150847064284,0.00116036203295,0.0,0.000928289626363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232072406591,0.0,0.0,0.0,0.0,0.000232072406591,0.0,0.0,0.0,0.0,0.0,0.00162450684614,0.0,0.0,0.0,0.0
"X215007",0.0259354237091,0.595232544586,0.3276605665,0.0,0.0242452500291,0.00034969110619,0.0,0.0132299801842,0.00186501923301,0.00233127404126,0.0,0.000699382212379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00157360997785,0.0,0.0,0.0,0.0,5.82818510316e-05,0.0,0.0,0.0,0.0,0.0,0.0068189765707,0.0,0.0,0.0,0.0
"X215010",0.011534480209,0.368856903436,0.539951693203,0.0,0.00532360625031,0.000197170601863,0.0,0.0104993345492,0.00468280179425,0.00128160891211,0.0,0.000246463252329,0.0,0.00916843298664,0.0,0.0132597229753,0.000985853009316,0.000739389756987,0.0,0.0,0.0,0.000197170601863,0.0,0.0,0.00887267708385,0.0,0.0,0.0,0.0,0.0,0.0242026913787,0.0,0.0,0.0,0.0
"X215009",0.0164955539327,0.439408909317,0.425190085485,0.000257743030199,0.0126723656514,0.00395205979638,0.0,0.0131448945401,0.00571330383608,0.0384037114996,0.0,0.0010739292925,0.0,0.00730271918897,0.0,0.0134026375703,0.00236264444349,0.000171828686799,0.0,0.000171828686799,0.0,0.000472528888698,0.0,0.0,0.00923579191546,4.29571716998e-05,0.0,0.0,0.0,0.0,0.0105245070665,0.0,0.0,0.0,0.0
"X215049",0.0034965034965,0.262237762238,0.101398601399,0.0,0.115384615385,0.363636363636,0.0,0.0944055944056,0.0,0.0,0.0,0.0,0.0,0.0,0.0594405594406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215048",0.0558901945295,0.372173397847,0.462624666732,0.0314012047003,0.0258714328034,0.000789967413844,0.000493729633653,0.00513478818999,0.00691221487114,0.0155031104967,0.000789967413844,0.000888713340575,0.0,0.00572726375037,0.0,0.0,0.00138244297423,0.0,0.0,0.00977584674632,0.0,0.0,0.000296237780192,0.0,0.00424607484941,0.0,0.0,0.0,0.0,0.0,9.87459267305e-05,0.0,0.0,0.0,0.0
