OTU,LDA_score,CLass
Lactonifactor,5.081310956916193,CD
Ruminococcaceae_NK4A214_group,6.203460605927403,CD
ML635J_21__class__,3.8129628875219,UC
Finegoldia,3.9689113358524137,UC
Prevotellaceae_NK3B31_group,3.991575146769039,UC
Lachnospiraceae_UCG_001,5.724887591054987,UC
Lachnospiraceae_ND3007_group,6.145413352981119,UC
Lachnospira,6.510895179213397,UC
Corynebacterium,6.680510783340542,UC
f__Eubacterium_coprostanoligenes_group,7.008662821791914,UC
Christensenellaceae_R_7_group,7.18853957582383,UC
Stomatobaculum,4.956580442298325,nonIBD
Bilophila,6.637183039042075,nonIBD
