"","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Pseudomonadales","JG30_KF_CM66(class)","Solibacterales","Gaiellales","Sphingomonadales","Micrococcales","Lactobacillales","Rhodospirillales","Selenomonadales","Flavobacteriales","Erysipelotrichales","Bacillales","Fusobacteriales","Thermales","Sphingobacteriales","Coriobacteriales","Fibrobacterales","Opitutales","Bifidobacteriales","Chloroflexales","Actinomycetales","Caulobacterales","Rhizobiales","Spirochaetales","Acidimicrobiales","Gastranaerophilales","Desulfovibrionales","Subgroup_6(class)","Synergistales","Nitrospirales","Caldilineales","Planctomycetales","Chthoniobacterales","Thermoanaerobacterales","OPB35_soil_group(class)","Tectomicrobia(phylum)","Victivallales","Propionibacteriales","Streptosporangiales","Neisseriales","Xanthomonadales","Desulfuromonadales","Alteromonadales","Candidatus_Falkowbacteria(class)","Chloroplast(class)","Cytophagales","Frankiales","Gitt_GS_136(class)","Campylobacterales","Bdellovibrionales","Pasteurellales","Cyanobacteria(phylum)","NB1_j","Enterobacteriales","Subgroup_10","Oligosphaerales","Solirubrobacterales","KD4_96(class)","Verrucomicrobiales","SubsectionII","Cellvibrionales","UA11(class)","Lineage_IIc"
"X206667",0.01571578245547195,0.4114677588341747,0.5158586532050672,0.0,0.0,0.003428897990284789,0.0,0.0,0.0,0.0,0.0005714829983807982,0.014953805124297552,0.0,0.01247737879798076,0.0,0.003428897990284789,0.0011429659967615963,0.0036193923230783886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008572244975711972,9.524716639679969e-05,0.0,0.0,0.0,0.007810267644537575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002857414991903991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002476426326316792,0.0,0.0,0.005333841318220783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004762358319839985
"X206668",0.029556650246305417,0.3645320197044335,0.39080459770114945,0.014778325123152709,0.042692939244663386,0.026272577996715927,0.0,0.0,0.0,0.0016420361247947454,0.054187192118226604,0.0,0.0,0.0,0.0,0.0,0.024630541871921183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04433497536945813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206671",0.00012641425952847481,0.20213640098603122,0.6000252828519057,0.0,0.0,0.0013273497250489855,0.0,0.0,0.0,0.0,0.0,0.0072688199228873015,0.0,0.04184311990392516,0.0,0.0,0.00025282851905694963,0.01902534605903546,0.0,0.00031603564882118704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006763162884773403,0.0,0.0,0.12059920359016497,0.0,0.0,0.0,0.0,0.0,0.0,0.00031603564882118704,0.0,0.0
"X206672",0.0002643404705260375,0.19006079830822098,0.49325931800158607,0.0,0.0,0.0,0.0,0.0,0.0,0.0008811349017534585,0.0007930214115781126,0.0055511498810467885,0.001145475372279496,0.025200458190148912,0.0,8.811349017534584e-05,8.811349017534584e-05,0.014714952859282756,0.0,0.0,0.0,0.0,0.0,0.0002643404705260375,0.0,0.0,0.0,0.001674156313331571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006167944312274209,0.0,0.0,0.0,0.0,0.0,0.0001762269803506917,0.0,0.00105736188210415,0.0,0.0,0.0,0.008106441096131818,0.0,0.0,0.25517666754780155,0.0,0.0,0.0008811349017534585,0.0,0.0,0.0,0.0,0.0,0.0
"X206673",0.026455395783889432,0.37561077760714784,0.47410302945693145,0.0,0.00020940946530783192,0.00013960631020522128,0.0,0.0,0.0,0.0,0.0,0.009632835404160269,0.0,0.027711852575736422,0.0,0.006631299734748011,0.00041881893061566385,0.0,0.0,0.0,0.0009074410163339383,0.0,0.0,0.0003490157755130532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.980315510261064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005584252408208851,0.0,0.0,0.0,0.0,0.07720228954348736,0.0,0.0,0.0,0.0
"X206681",0.0,0.6493268053855569,0.14687882496940025,0.0,0.0,0.02876376988984088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11260709914320685,0.0,0.019583843329253364,0.0,0.0,0.0,0.0,0.014075887392900856,0.0,0.0,0.006731946144430845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018359853121175031,0.0,0.0,0.020195838433292534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206682",0.007334963325183374,0.6332518337408313,0.07334963325183375,0.0,0.009779951100244499,0.0,0.0,0.0,0.0,0.0,0.0,0.04156479217603912,0.0,0.14180929095354522,0.0,0.009779951100244499,0.0,0.0,0.0,0.0,0.014669926650366748,0.0,0.02444987775061125,0.004889975550122249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014669926650366748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022004889975550123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206536",0.133803666184274,0.17788229618909793,0.48359864930053065,0.0,0.0,0.0003014954172696575,0.0,0.0,0.0,0.0003014954172696575,0.0,0.003859141341051616,0.000120598166907863,0.013084901109503135,0.0,0.005065123010130246,0.000602990834539315,0.04232995658465991,0.0,0.0,0.001326579835986493,0.0,0.0,0.004220935841775205,0.0,0.000361794500723589,0.0,0.0,0.0,0.0,0.0,0.003376748673420164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027134587554269174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001808972503617945,0.0,0.01917510853835022,0.0,0.0,0.10769416304872166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206538",0.1288016341352701,0.18043576940535633,0.4417839310031775,0.0,0.0,0.00011348161597821153,0.0,0.0,0.0,0.0,0.0,0.010213345438039038,0.0,0.028597367226509306,0.0,0.006014525646845211,0.0037448933272809805,0.04005901044030867,0.0,0.0,0.0013617793917385383,0.0,0.0,0.001702224239673173,0.0,0.0011348161597821154,0.0,0.0,0.0,0.0,0.0,0.007943713118474808,0.0,0.0,0.00022696323195642307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014752610077167498,0.0,0.0,0.0,0.0,0.0,0.025192918747162958,0.0,0.0,0.12119836586472992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206534",0.13203541655879458,0.18593693367162015,0.4743437063118107,0.0,0.0007249003262051468,0.00041422875783151243,0.0,0.0,0.0,0.0,0.0015015792471392325,0.011028840677264019,0.0,0.01315176306115052,0.0002588929736446953,0.007249003262051468,0.0007249003262051468,0.024284160927872417,0.0,0.0,0.00274426552063377,0.0,0.0,0.006627660125304199,0.0,0.00020711437891575622,0.0,0.0,0.0005695645420183296,0.0,0.0,0.004815409309791332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002951379899549526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020711437891575622,0.0,0.02578574017501165,0.0,0.0,0.10428208978408327,0.0,0.0,0.0,0.0,0.00015533578418681717,0.0,0.0,0.0,0.0
