"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Actinobacteria","Gammaproteobacteria","JG30_KF_CM66","Solibacteres","Thermoleophilia","Flavobacteriia","Sphingobacteriia","Bacilli","Negativicutes","Erysipelotrichia","Fusobacteriia","Deinococci","Coriobacteriia","Fibrobacteria","Opitutae","Chloroflexia","Spirochaetes","Acidimicrobiia","Melainabacteria","Deltaproteobacteria","Blastocatellia","Subgroup_6","Synergistia","Nitrospira","Mollicutes","Caldilineae","Planctomycetacia","WCHA1_57","Spartobacteria","OPB35_soil_group","Tectomicrobia(phylum)","Lentisphaeria","Methanobacteria","Proteobacteria_Incertae_Sedis","Candidatus_Falkowbacteria","Chloroplast","Cytophagia","Gitt_GS_136","Epsilonproteobacteria","Cyanobacteria(phylum)","Holophagae","Oligosphaeria","KD4_96","Verrucomicrobiae","Cyanobacteria","UA11","Elusimicrobia"
"X206656",0.0,0.001152073732718894,0.5241935483870968,0.27419354838709675,0.0017281105990783411,0.025921658986175114,0.0,0.0,0.0,0.0,0.0,0.0,0.02534562211981567,0.07142857142857142,0.0293778801843318,0.0034562211981566822,0.0017281105990783411,0.0,0.0,0.0,0.0,0.0,0.0,0.02304147465437788,0.0,0.0,0.0,0.010944700460829493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034562211981566822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.0,0.0
"X206655",0.014102564102564103,0.011538461538461539,0.7123931623931624,0.2076923076923077,0.0,0.018376068376068377,0.0,0.0,0.0,0.0,0.0,0.0,0.00811965811965812,0.019658119658119658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.002136752136752137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042735042735042735,0.0,0.0,0.0
"X206659",0.0018117369042930287,0.028830248129184718,0.33934619929105947,0.27034265458842066,0.0027569909413154787,0.014178810555336747,0.0,0.0,0.0,0.0,0.0,0.008901142181961402,0.27483261126427727,0.007483261126427727,0.008349743993698306,0.0,0.0005513981882630957,0.0,0.0,0.0,0.0,0.0,0.004017329657345412,0.028200078771169753,0.0,0.0,0.009452540370224497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009452540370224497,0.0,0.0,0.0
"X206660",0.0014051287198273699,0.03588096552416319,0.15581873839514226,0.4278616951874341,0.0005018316856526321,0.011592311938575801,0.0,0.0,0.0,0.0,5.018316856526321e-05,0.00025091584282631606,0.3186631203894214,0.0005018316856526321,0.019671802077583178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011542128770010538,0.01565714859236212,0.0,0.0,0.0023084257540021075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020073267426105285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008480955487529482,0.0,0.0,0.0
"X206667",0.000952471663967997,0.01571578245547195,0.4114677588341747,0.5158586532050672,0.0008572244975711972,0.011239165634822364,0.0,0.0,0.0,0.0,0.0,0.016096771121059148,0.01247737879798076,0.003428897990284789,0.0036193923230783886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007810267644537575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004762358319839985
"X206668",0.016420361247947456,0.029556650246305417,0.3645320197044335,0.39080459770114945,0.10180623973727422,0.07060755336617405,0.0,0.0,0.0,0.0,0.0,0.024630541871921183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206671",0.0,0.00012641425952847481,0.20213640098603122,0.6000252828519057,0.0,0.12900575184880855,0.0,0.0,0.0,0.0,0.00031603564882118704,0.007521648441944252,0.04184311990392516,0.0,0.01902534605903546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206672",0.0037007665873645254,0.0002643404705260375,0.19006079830822098,0.49325931800158607,0.002731518195435721,0.2632831086439334,0.0,0.0,0.0008811349017534585,0.0,0.0,0.005639263371222134,0.025200458190148912,8.811349017534584e-05,0.014714952859282756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001762269803506917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206673",0.0,0.026455395783889432,0.37561077760714784,0.47410302945693145,0.0005584252408208851,0.000767834706128717,0.0,0.0,0.0,0.0,0.0,0.010051654334775931,0.027711852575736422,0.006631299734748011,0.0,0.0,0.0009074410163339383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07720228954348736,0.0,0.0,0.0
"X206681",0.0,0.0,0.6493268053855569,0.14687882496940025,0.006731946144430845,0.05079559363525092,0.0,0.0,0.0,0.0,0.0,0.0,0.11260709914320685,0.019583843329253364,0.0,0.0,0.014075887392900856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
