"","x"
"1","Family_XIII"
"2","Rhodobacteraceae"
"3","Pseudomonadaceae"
"4","Sphingobacteriaceae"
"5","Leptotrichiaceae"
"6","Rikenellaceae"
"7","Eubacteriaceae"
"8","Micrococcaceae"
"9","Mollicutes_RF9(order)"
"10","Paenibacillaceae"
"11","Leuconostocaceae"
"12","Chitinophagaceae"
