"","x"
"1","Peptococcaceae"
"2","Alcaligenaceae"
"3","Erysipelotrichaceae"
"4","Burkholderiaceae"
"5","Clostridiales_vadinBB60_group"
"6","Porphyromonadaceae"
"7","NB1_n(order)"
"8","Defluviitaleaceae"
"9","Flavobacteriaceae"
"10","Alicyclobacillaceae"
"11","Micrococcaceae"
"12","SM2D12"
"13","vadinBE97"
"14","Planctomycetaceae"
"15","JG30_KF_CM45(order)"
"16","Family_X"
"17","Bacteriovoracaceae"
"18","Sphingomonadaceae"
"19","PHOS_HE51"
"20","Bdellovibrionaceae"
"21","Solirubrobacteraceae"
"22","Blastocatellaceae_Subgroup_4_"
