"","Comamonadaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Run_SP154(order)","Corynebacteriaceae","Peptococcaceae","Solibacteraceae_Subgroup_3_","Acetobacteraceae","Pseudomonadaceae","Kineosporiaceae","Intrasporangiaceae","Christensenellaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Burkholderiaceae","Family_XI","Bifidobacteriaceae","Sphingobacteriaceae","Coriobacteriaceae","Bacteroidaceae","Clostridiales_vadinBB60_group","Streptococcaceae","Peptostreptococcaceae","Thermaceae","Rikenellaceae","Caulobacteraceae","Porphyromonadaceae","Aerococcaceae","NB1_n(order)","Actinomycetaceae","Family_XII","Defluviitaleaceae","Moraxellaceae","Flavobacteriaceae","Rhodospirillaceae","Oxalobacteraceae","Eubacteriaceae","Alicyclobacillaceae","Brucellaceae","Micrococcaceae","Gastranaerophilales(order)","Campylobacteraceae","Synergistaceae","MB_A2_108(class)","Leptotrichiaceae","Methylobacteriaceae","Mollicutes_RF9(order)","Micromonosporaceae","Acidaminococcaceae","SM2D12","Subgroup_6(class)","Thermoanaerobacteraceae","Chitinophagaceae","vadinBE97","Carnobacteriaceae","Fusobacteriaceae","Microbacteriaceae","Neisseriaceae","Planctomycetaceae","JG30_KF_CM45(order)","Rhizobiaceae","Victivallaceae","Cardiobacteriaceae","env_OPS_17","Shewanellaceae","Obscuribacterales(order)","Lactobacillaceae","Bacteroidales_S24_7_group","Family_X","Staphylococcaceae","Desulfovibrionaceae","Chloroplast(class)","Deinococcaceae","Bacteriovoracaceae","Pasteurellaceae","Enterobacteriaceae","Sphingomonadaceae","Haliangiaceae","Clostridiaceae_1","PHOS_HE51","Xanthomonadaceae","Alteromonadaceae","Rhodospirillales_Incertae_Sedis","Thermoplasmatales_Incertae_Sedis","Methanobacteriaceae","Bdellovibrionaceae","Solirubrobacteraceae","Bacillaceae","Blastocatellaceae_Subgroup_4_","Leuconostocaceae","Verrucomicrobiaceae","Cytophagaceae","uncultured","Erythrobacteraceae","Hyphomicrobiaceae","Bradyrhizobiaceae","Cellvibrionaceae","Latescibacteria(phylum)","Acidobacteriaceae_Subgroup_1_","Unknown_Family","Family_III","Saprospiraceae"
"X206726",0.0,0.000418165091578,0.000459981600736,0.0,0.27954336372,0.0,0.0,0.000167266036631,0.0,0.0,0.0,0.0,0.0,0.0,0.255666136991,0.0,0.013255833403,0.00735970561178,0.0,0.000794513673998,0.000543614619052,0.0,0.000209082545789,0.418374174124,0.0,0.000209082545789,0.00137994480221,0.0,0.00531069666304,0.0,0.0,0.0,0.0,4.18165091578e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000585431128209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00899054946893,0.0,0.000125449527473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18165091578e-05,0.0,0.000167266036631,0.000669064146525,0.0,0.0,0.0,0.000209082545789,0.00497616458978,0.0,0.0,0.000501798109894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206725",0.0,0.000451229600662,0.000940061668045,0.0,0.36120929533,0.0,0.0,7.52049334436e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.287207640821,0.0,0.00729487854403,0.00345942693841,0.0,0.00323381213808,0.000188012333609,0.0,7.52049334436e-05,0.295893810634,0.0,0.000225614800331,0.00338422200496,0.0,0.0041362713394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000150409866887,0.0,0.0,0.0,0.0,0.000902459201324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76024667218e-05,0.0205685492968,0.0,0.000112807400165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76024667218e-05,0.000188012333609,0.0,0.0,0.0,0.000112807400165,0.00928780928029,0.0,0.0,0.00082725426788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206730",0.000134625740442,0.00309639203016,0.0,0.0,0.00282714054927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110527732903,0.0,0.000673128702208,0.0114431879375,0.0,0.0055196553581,0.00175013462574,0.0,0.000269251480883,0.262924071082,0.0,0.00121163166397,0.00807754442649,0.0,0.0,0.0,0.0,0.0,0.0,0.000134625740442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000942380183091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000942380183091,0.0,0.000403877221325,0.00188476036618,0.0,0.0,0.0,0.000538502961766,0.0,0.0,0.0,0.0,0.000134625740442,0.0,0.00350026925148,0.0,0.0,0.000538502961766,0.0,0.0,0.0,0.0,0.0,0.488556812062,0.0,0.0,0.0936995153473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000269251480883,0.0,0.0,0.0,0.0
"X206729",0.00019734245494,0.0267727930535,0.00276279436916,0.0,0.00374950664386,0.0,0.000657808183134,0.00322326009736,0.0,0.0,0.000460465728194,0.0,0.0,0.0,0.0852519405341,6.57808183134e-05,0.0551243257466,0.00309169846073,0.0,0.00986712274701,0.0,0.0,0.00473621891856,0.0372319431654,0.0,0.0852519405341,0.00881462965399,0.00039468490988,0.0,0.0,0.00184186291277,0.0,0.0,0.00414419155374,0.0,0.0,0.0,0.000986712274701,0.0,0.0,0.0,0.0,0.0,0.000263123273254,0.0,0.00059202736482,0.0,0.0,0.00256545191422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172345743981,0.00868306801737,0.0,0.00184186291277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57808183134e-05,0.0,0.0,0.0,0.0,0.00059202736482,0.30930140771,0.0,0.0,0.323904749375,0.0,0.0,0.0,0.0,0.0,0.0,0.00019734245494,0.0,0.000131561636627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206739",3.77700558997e-05,0.0,0.000415470614897,0.0,0.328750566551,0.0,0.0,0.0,0.0,0.0,0.000151080223599,0.0,0.0,0.000302160447197,0.336757818402,0.0136727602357,0.00558996827315,0.0185073273908,0.0,3.77700558997e-05,0.00449463665206,0.0,0.000566550838495,0.210832452032,0.000113310167699,0.000982021453392,0.00880042302463,0.0,0.00509895754646,0.0,0.0480812811603,3.77700558997e-05,0.0,0.000113310167699,0.0,0.0,3.77700558997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55401117994e-05,0.0,0.0,3.77700558997e-05,0.0,0.0,0.0,0.00830941229793,0.0,0.0,0.0,0.0,0.0,3.77700558997e-05,0.000264390391298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77700558997e-05,0.00321045475147,0.0,0.0,0.0,0.00105756156519,0.000755401117994,0.0,0.0,0.00264390391298,0.0,3.77700558997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55401117994e-05,3.77700558997e-05,0.0,3.77700558997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206738",0.0,0.00039603960396,0.001414427157,0.0,0.333748231966,0.0,0.0,0.0,0.0,0.0,0.00135785007072,0.0,0.0,0.00022630834512,0.286902404526,0.0205940594059,0.00927864214993,0.00571428571429,0.0,0.00209335219236,0.00277227722772,0.0,0.000961810466761,0.182687411598,0.0,0.00927864214993,0.0128429985856,0.00016973125884,0.00797736916549,5.65770862801e-05,0.0737765205092,0.00011315417256,0.0,0.0,0.0,0.0,0.0002828854314,0.00022630834512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000565770862801,0.0,0.0,0.0,0.0,0.0,0.0200282885431,0.0,0.0,0.0,0.0,0.0,0.00418670438472,0.00135785007072,0.0,0.0,0.0,0.0,0.0002828854314,0.0,0.0,0.0,0.0,0.0,0.0,5.65770862801e-05,0.0,0.00345120226308,0.00639321074965,0.000792079207921,0.0,0.0,0.00345120226308,0.00209335219236,0.0,0.0,0.00350777934936,0.0,0.00039603960396,0.0,0.0,0.0,0.0,0.0,0.00011315417256,0.0,0.0,0.0,0.00011315417256,0.0,0.0,0.0,0.00033946251768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206741",4.33877125998e-05,0.00355779243318,0.000173550850399,0.0,0.25117146824,0.0,0.0,0.0,0.0,0.0,0.000130163137799,0.0,0.0,0.00160534536619,0.27086948976,0.0171381464769,0.0111506421381,0.000737591114196,0.0,0.000130163137799,0.00134501909059,0.0,8.67754251996e-05,0.380900728914,8.67754251996e-05,0.000824366539396,0.00303713988199,8.67754251996e-05,0.0333651509892,0.0,0.0108469281499,0.0,0.0,0.0,0.0,0.000130163137799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000130163137799,0.0,0.0,0.0,0.0,4.33877125998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33877125998e-05,0.0108469281499,0.0,0.0,0.0,0.000433877125998,0.000347101700798,8.67754251996e-05,0.0,0.000650815688997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206740",0.000121936349226,0.00213388611145,0.000365809047677,0.0,0.260029264724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00225582246068,0.221070601146,0.0179246433362,0.0141446165102,0.00201194976222,0.0,0.000365809047677,0.00146323619071,0.0,0.000731618095354,0.419826850384,0.0,0.000792586269967,0.00042677722229,0.0,0.0276795512742,0.0,0.0159736617486,0.0,0.0,0.0,0.0,0.0,0.000914522619193,0.0,0.0,0.0,0.000609681746129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000365809047677,0.000548713571516,0.0,0.000121936349226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00737714912816,6.09681746129e-05,0.0,0.0,6.09681746129e-05,0.00243872698451,0.0,0.0,0.000182904523839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206742",0.0,0.0,0.000453066436015,0.0,0.212241031344,0.0,0.0,0.000205939289098,0.0,0.0,0.0,0.0,0.0,0.0012768235924,0.139709213724,0.0111207216113,0.0386753984925,0.00115326001895,0.0,8.2375715639e-05,0.00152395073932,0.0,0.000288315004737,0.451295358128,0.000205939289098,0.0170517731373,0.000741381440751,0.0,0.0517319494213,0.0,0.0276782404547,0.0,0.0,0.0,0.0,4.11878578195e-05,0.0,0.0,0.0,0.0,0.000370690720376,0.0,4.11878578195e-05,4.11878578195e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11878578195e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00185345360188,0.0,0.0,0.0,0.00107088430331,0.000741381440751,0.0,0.0,0.000453066436015,0.0,0.0,0.0,0.0,0.0,0.00185345360188,0.0,0.0,0.0,0.0,0.0,0.0380575806252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206743",0.000381081424398,0.00330270567811,0.000338739043909,0.0,0.11521361731,0.000127027141466,0.000169369521955,8.46847609773e-05,0.0,0.0,0.000211711902443,0.0,0.0,0.000804505229284,0.106152347885,0.00889189990261,0.0215946140492,0.000889189990261,0.0,0.00029639666342,0.000592793326841,0.000127027141466,0.00135495617564,0.552991489182,0.0,0.0128720836685,0.000719820468307,0.0,0.0496252699327,0.0,0.0672820425964,0.0,0.0,0.000381081424398,0.0,0.0,0.0,0.000338739043909,8.46847609773e-05,8.46847609773e-05,0.000846847609773,0.0,0.0,8.46847609773e-05,0.0,0.0,0.0,0.0,0.000973874751239,0.0,0.0,0.0,0.000127027141466,0.0,0.0,0.0,0.0,0.0,0.000846847609773,0.000889189990261,0.000508108565864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000211711902443,0.0,0.00326036329762,0.0,8.46847609773e-05,0.0,8.46847609773e-05,0.00143964093661,0.0,0.000127027141466,0.000381081424398,0.0,0.000127027141466,0.0,0.0,0.0,0.000973874751239,0.0,0.0,0.000127027141466,0.000381081424398,0.0,0.0432739128594,0.0,8.46847609773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000254054282932
