"",kingdom,phylum,class,order,family,genus
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Family_XIII; __uncultured,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,uncultured
Bacteria; __Chloroflexi; __Anaerolineae; __Anaerolineales; __Anaerolineaceae; __uncultured,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured
Archaea; __WSA2; __WCHA1_57; __o; __f; __g,Archaea,WSA2,WCHA1_57,WCHA1_57(class),WCHA1_57(class),WCHA1_57(class)
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pseudomonadales; __Moraxellaceae; __Enhydrobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Chromatiales; __Chromatiaceae; __Rheinheimera,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera
Bacteria; __Firmicutes; __Negativicutes; __Selenomonadales; __Veillonellaceae; __Anaeroglobus,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Anaeroglobus
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Family_XI; __Gallicola,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Gallicola
Bacteria; __Firmicutes; __Erysipelotrichia; __Erysipelotrichales; __Erysipelotrichaceae; __Erysipelatoclostridium,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium
Bacteria; __Planctomycetes; __Planctomycetacia; __Planctomycetales; __Planctomycetaceae; __Pir4_lineage,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pir4_lineage
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; ___Ruminococcus_torques_group,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,_Ruminococcus_torques_group
Bacteria; __Chlorobi; __Chlorobia; __Chlorobiales; __OPB56; __g,Bacteria,Chlorobi,Chlorobia,Chlorobiales,OPB56,OPB56(family)
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pseudomonadales; __Moraxellaceae; __Psychrobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
Bacteria; __Proteobacteria; __Betaproteobacteria; __Burkholderiales; __Alcaligenaceae; __Parasutterella,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Parasutterella
Bacteria; __Verrucomicrobia; __Spartobacteria; __Chthoniobacterales; __Chthoniobacterales_Incertae_Sedis; __Terrimicrobium,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacterales_Incertae_Sedis,Terrimicrobium
Bacteria; __Firmicutes; __Clostridia; __Thermoanaerobacterales; __Thermoanaerobacteraceae; __Gelria,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Gelria
Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Chitinophagaceae; __Cnuella,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Cnuella
Bacteria; __Verrucomicrobia; __OPB35_soil_group; __o; __f; __g,Bacteria,Verrucomicrobia,OPB35_soil_group,OPB35_soil_group(class),OPB35_soil_group(class),OPB35_soil_group(class)
Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Chitinophagaceae; __g,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae(family)
Bacteria; __Firmicutes; __Erysipelotrichia; __Erysipelotrichales; __Erysipelotrichaceae; __Faecalicoccus,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalicoccus
Bacteria; __Synergistetes; __Synergistia; __Synergistales; __Synergistaceae; __Cloacibacillus,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus
Bacteria; __Tectomicrobia; __c; __o; __f; __g,Bacteria,Tectomicrobia,Tectomicrobia(phylum),Tectomicrobia(phylum),Tectomicrobia(phylum),Tectomicrobia(phylum)
Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Prevotellaceae; __Alloprevotella,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella
Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodospirillales; __Acetobacteraceae; __Roseomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas
Bacteria; __Lentisphaerae; __Lentisphaeria; __Victivallales; __vadinBE97; __g,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,vadinBE97,vadinBE97(family)
Bacteria; __Firmicutes; __Negativicutes; __Selenomonadales; __Veillonellaceae; __Selenomonas,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas
Bacteria; __Firmicutes; __Negativicutes; __Selenomonadales; __Veillonellaceae; __Megasphaera,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Dorea,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Fastidiosipila,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila
Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __NS11_12_marine_group; __g,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11_12_marine_group,NS11_12_marine_group(family)
Bacteria; __Firmicutes; __Bacilli; __Bacillales; __Paenibacillaceae; __Paenibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
Bacteria; __Actinobacteria; __Actinobacteria; __Corynebacteriales; __Nocardiaceae; __Gordonia,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia
Bacteria; __Firmicutes; __Bacilli; __Lactobacillales; __Carnobacteriaceae; __Atopostipes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes
Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __Rhizobiales_Incertae_Sedis; __Nordella,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Nordella
Bacteria; __Firmicutes; __Erysipelotrichia; __Erysipelotrichales; __Erysipelotrichaceae; __uncultured,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,uncultured
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; ___Eubacterium_coprostanoligenes_group,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,_Eubacterium_coprostanoligenes_group
Bacteria; __Actinobacteria; __Actinobacteria; __Propionibacteriales; __Nocardioidaceae; __Nocardioides,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Family_XIII; __Family_XIII_UCG_002,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_UCG_002
Bacteria; __Chloroflexi; __Chloroflexia; __Chloroflexales; __Chloroflexaceae; __Chloronema,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloronema
Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Porphyromonadaceae; __Dysgonomonas,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas
Archaea; __Euryarchaeota; __Methanobacteria; __Methanobacteriales; __Methanobacteriaceae; __Methanobacterium,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium
Bacteria; __Proteobacteria; __Deltaproteobacteria; __Bdellovibrionales; __Bacteriovoracaceae; __Bacteriovorax,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Bacteriovorax
Bacteria; __Actinobacteria; __Actinobacteria; __Streptosporangiales; __Streptosporangiales_Incertae_Sedis; __Motilibacter,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiales_Incertae_Sedis,Motilibacter
Bacteria; __Nitrospirae; __Nitrospira; __Nitrospirales; __Nitrospiraceae; __Nitrospira,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
Bacteria; __Actinobacteria; __Actinobacteria; __Micrococcales; __Microbacteriaceae; __Zimmermannella,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Zimmermannella
Bacteria; __Proteobacteria; __Betaproteobacteria; __Neisseriales; __Neisseriaceae; __Eikenella,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Lachnospiraceae_NC2004_group,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_NC2004_group
Bacteria; __Firmicutes; __Bacilli; __Bacillales; __Planococcaceae; __Solibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus
Bacteria; __Firmicutes; __Negativicutes; __Selenomonadales; __Veillonellaceae; __uncultured,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,uncultured
Bacteria; __Firmicutes; __Negativicutes; __Selenomonadales; __Veillonellaceae; __Mitsuokella,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Mitsuokella
Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Chitinophagaceae; __Hydrotalea,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Hydrotalea
Bacteria; __Planctomycetes; __Planctomycetacia; __Planctomycetales; __Planctomycetaceae; __uncultured,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured
Bacteria; __Chloroflexi; __Thermomicrobia; __JG30_KF_CM45; __f; __g,Bacteria,Chloroflexi,Thermomicrobia,JG30_KF_CM45,JG30_KF_CM45(order),JG30_KF_CM45(order)
Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __Rhizobiaceae; __Rhizobium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Bacteria; __Lentisphaerae; __Lentisphaeria; __Victivallales; __Victivallaceae; __Victivallis,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallis
Bacteria; __Planctomycetes; __Planctomycetacia; __Planctomycetales; __Planctomycetaceae; __Isosphaera,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Isosphaera
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Cardiobacteriales; __Cardiobacteriaceae; __Cardiobacterium,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Xanthomonadales; __Xanthomonadaceae; __uncultured,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,uncultured
Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Porphyromonadaceae; __Paludibacter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter
Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Cryomorphaceae; __Fluviicola,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
Bacteria; __Proteobacteria; __Alphaproteobacteria; __Caulobacterales; __Caulobacteraceae; __Caulobacter,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Bacteria; __Proteobacteria; __Deltaproteobacteria; __Myxococcales; __uncultured; __g,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncultured,uncultured(family)
Bacteria; __Proteobacteria; __Deltaproteobacteria; __Desulfuromonadales; __Geobacteraceae; __Geobacter,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter
Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __env_OPS_17; __g,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env_OPS_17,env_OPS_17(family)
Bacteria; __Actinobacteria; __Actinobacteria; __Micrococcales; __Intrasporangiaceae; __Knoellia,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Knoellia
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Ruminococcaceae_UCG_002,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG_002
Bacteria; __Proteobacteria; __Proteobacteria_Incertae_Sedis; __Unknown_Order; __Unknown_Family; __Candidatus_Tenderia,Bacteria,Proteobacteria,Proteobacteria_Incertae_Sedis,Unknown_Order,Unknown_Family,Candidatus_Tenderia
Bacteria; __Proteobacteria; __Deltaproteobacteria; __Bdellovibrionales; __Bdellovibrionaceae; __OM27_clade,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Porphyromonadaceae; __Barnesiella,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Xanthomonadales; __Xanthomonadaceae; __Rhodanobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Rhodanobacter
Bacteria; __Proteobacteria; __Alphaproteobacteria; __Caulobacterales; __Caulobacteraceae; __Phenylobacterium,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Shewanellaceae; __Shewanella,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Bacteria; __Cyanobacteria; __Melainabacteria; __Obscuribacterales; __f; __g,Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,Obscuribacterales(order),Obscuribacterales(order)
Archaea; __Euryarchaeota; __Thermoplasmata; __Thermoplasmatales; __Thermoplasmatales_Incertae_Sedis; __Methanomassiliicoccus,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmatales_Incertae_Sedis,Methanomassiliicoccus
Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Lentimicrobiaceae; __g,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae(family)
Bacteria; __Actinobacteria; __Acidimicrobiia; __Acidimicrobiales; __uncultured; __g,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured(family)
Bacteria; __Proteobacteria; __Betaproteobacteria; __Neisseriales; __Neisseriaceae; __Neisseria,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __g,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae(family)
Bacteria; __Parcubacteria; __Candidatus_Falkowbacteria; __o; __f; __g,Bacteria,Parcubacteria,Candidatus_Falkowbacteria,Candidatus_Falkowbacteria(class),Candidatus_Falkowbacteria(class),Candidatus_Falkowbacteria(class)
Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __Xanthobacteraceae; __Variibacter,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Variibacter
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Family_XI; __Parvimonas,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Parvimonas
Bacteria; __Firmicutes; __Bacilli; __Lactobacillales; __Streptococcaceae; __Lactococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
Bacteria; __Actinobacteria; __Actinobacteria; __Streptomycetales; __Streptomycetaceae; __Streptomyces,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Oribacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium
Bacteria; __Actinobacteria; __Actinobacteria; __Corynebacteriales; __Nocardiaceae; __Rhodococcus,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Peptostreptococcaceae; __Peptostreptococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Lachnospiraceae_UCG_008,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG_008
Bacteria; __Cyanobacteria; __Chloroplast; __o; __f; __g,Bacteria,Cyanobacteria,Chloroplast,Chloroplast(class),Chloroplast(class),Chloroplast(class)
Bacteria; __Proteobacteria; __Betaproteobacteria; __Burkholderiales; __Comamonadaceae; __Acidovorax,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __Cytophagaceae; __Siphonobacter,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Siphonobacter
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Xanthomonadales; __Xanthomonadales_Incertae_Sedis; __Steroidobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales_Incertae_Sedis,Steroidobacter
Bacteria; __Actinobacteria; __Actinobacteria; __Frankiales; __Geodermatophilaceae; __Blastococcus,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus
Bacteria; __Chloroflexi; __Gitt_GS_136; __o; __f; __g,Bacteria,Chloroflexi,Gitt_GS_136,Gitt_GS_136(class),Gitt_GS_136(class),Gitt_GS_136(class)
Bacteria; __Firmicutes; __Negativicutes; __Selenomonadales; __Veillonellaceae; __Dialister,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Anaerofilum,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerofilum
Bacteria; __Synergistetes; __Synergistia; __Synergistales; __Synergistaceae; __Pyramidobacter,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Pyramidobacter
Bacteria; __Verrucomicrobia; __Spartobacteria; __Chthoniobacterales; __Chthoniobacteraceae; __Chthoniobacter,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
Bacteria; __Firmicutes; __Bacilli; __Bacillales; __Family_X; __Thermicanus,Bacteria,Firmicutes,Bacilli,Bacillales,Family_X,Thermicanus
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Lachnospiraceae_UCG_006,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG_006
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pasteurellales; __Pasteurellaceae; __Gallibacterium,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Gallibacterium
Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Rikenellaceae; __Rikenellaceae_RC9_gut_group,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group
Bacteria; __Planctomycetes; __Planctomycetacia; __Planctomycetales; __Planctomycetaceae; __Pirellula,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pirellula
Bacteria; __Firmicutes; __Bacilli; __Bacillales; __Staphylococcaceae; __Staphylococcus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes
Bacteria; __Firmicutes; __Negativicutes; __Selenomonadales; __Acidaminococcaceae; __Acidaminococcus,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus
Bacteria; __Proteobacteria; __Epsilonproteobacteria; __Campylobacterales; __Campylobacteraceae; __Campylobacter,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Bacteria; __Bacteroidetes; __Bacteroidetes_vadinHA17; __o; __f; __g,Bacteria,Bacteroidetes,Bacteroidetes_vadinHA17,Bacteroidetes_vadinHA17(class),Bacteroidetes_vadinHA17(class),Bacteroidetes_vadinHA17(class)
Bacteria; __Proteobacteria; __Alphaproteobacteria; __Sphingomonadales; __Sphingomonadaceae; __Zymomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Zymomonas
Bacteria; __Firmicutes; __Erysipelotrichia; __Erysipelotrichales; __Erysipelotrichaceae; __Allobaculum,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Allobaculum
Bacteria; __Deinococcus_Thermus; __Deinococci; __Deinococcales; __Deinococcaceae; __Deinococcus,Bacteria,Deinococcus_Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus
Bacteria; __Actinobacteria; __Acidimicrobiia; __Acidimicrobiales; __Acidimicrobiaceae; __uncultured,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,uncultured
Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodospirillales; __Rhodospirillales_Incertae_Sedis; __Reyranella,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_Incertae_Sedis,Reyranella
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Legionellales; __Coxiellaceae; __Rickettsiella,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Rickettsiella
Bacteria; __Proteobacteria; __Deltaproteobacteria; __Bdellovibrionales; __Bacteriovoracaceae; __Peredibacter,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Lachnospira,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Lachnoclostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium
Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Sphingobacteriaceae; __Arcticibacter,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter
Bacteria; __Proteobacteria; __Betaproteobacteria; __Neisseriales; __Neisseriaceae; __Kingella,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Sellimonas,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Sellimonas
Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Cloacibacterium,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cloacibacterium
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pasteurellales; __Pasteurellaceae; __Haemophilus,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Lachnospiraceae_UCG_004,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG_004
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Peptostreptococcaceae; ___Eubacterium_yurii_group,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,_Eubacterium_yurii_group
Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Porphyromonadaceae; __Petrimonas,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Petrimonas
Bacteria; __Cyanobacteria; __c; __o; __f; __g,Bacteria,Cyanobacteria,Cyanobacteria(phylum),Cyanobacteria(phylum),Cyanobacteria(phylum),Cyanobacteria(phylum)
Bacteria; __Proteobacteria; __Deltaproteobacteria; __NB1_j; __f; __g,Bacteria,Proteobacteria,Deltaproteobacteria,NB1_j,NB1_j(order),NB1_j(order)
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Ruminococcaceae_UCG_008,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG_008
Bacteria; __Firmicutes; __Bacilli; __Lactobacillales; __Aerococcaceae; __Aerococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus
Bacteria; __Proteobacteria; __Gammaproteobacteria; __X35; __f; __g,Bacteria,Proteobacteria,Gammaproteobacteria,X35,X35(order),X35(order)
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Xanthomonadales; __Xanthomonadaceae; __Vulcaniibacterium,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Vulcaniibacterium
Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodospirillales; __Rhodospirillaceae; __Magnetospirillum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Enterobacteriales; __Enterobacteriaceae; __Morganella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Morganella
Bacteria; __Proteobacteria; __Deltaproteobacteria; __Myxococcales; __Haliangiaceae; __Haliangium,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
Bacteria; __Acidobacteria; __Holophagae; __Subgroup_10; __ABS_19; __g,Bacteria,Acidobacteria,Holophagae,Subgroup_10,ABS_19,ABS_19(family)
Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pasteurellales; __Pasteurellaceae; __Aggregatibacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter
Bacteria; __Lentisphaerae; __Lentisphaeria; __Victivallales; __Victivallaceae; __g,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallaceae(family)
Bacteria; __Cyanobacteria; __ML635J_21; __o; __f; __g,Bacteria,Cyanobacteria,ML635J_21,ML635J_21(class),ML635J_21(class),ML635J_21(class)
Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Eisenbergiella,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella
