"","Bacteria","Archaea"
"X206695",0.9999999999999989,0.0
"X206700",1.0000000000000002,0.0
"X206757",1.0000000000000009,0.0
"X206758",0.9999999999999998,0.0
"X206702",0.9999999999999999,0.0
"X206701",0.9999999999999997,0.0
"X206708",0.9999999999999999,0.0
"X206709",0.9999999999999994,0.0
"X206746",1.000000000000001,0.0
"X206747",1.0000000000000004,0.0
"X206704",0.999999999999999,0.0
"X206703",0.9999999999999998,0.0
"X206753",0.9999999999999999,0.0
"X206752",0.9999999999999989,0.0
"X206711",0.9999999999999996,0.0
"X206710",1.000000000000001,0.0
"X206713",0.9999999999999997,0.0
"X206712",1.0000000000000002,0.0
"X206719",1.0000000000000007,0.0
"X206718",1.000000000000001,0.0
"X206720",1.0,0.0
"X206721",0.9999999999999998,0.0
"X206723",0.9999999999999999,0.0
"X206724",1.0000000000000004,0.0
"X206726",0.9999999999999998,0.0
"X206725",1.0000000000000009,0.0
"X206728",1.0000000000000002,0.0
"X206727",1.0000000000000004,0.0
"X206730",1.0,0.0
"X206729",1.0000000000000002,0.0
"X206732",0.9999143578983432,8.56421016571747e-05
"X206731",0.9998784834737527,0.00012151652624757
"X206754",0.9996691245982218,0.000330875401777274
"X206734",1.0000000000000007,0.0
"X206733",1.0000000000000002,0.0
"X206739",0.9999999999999998,0.0
"X206738",1.0000000000000009,0.0
"X206741",1.0000000000000007,0.0
"X206740",1.0000000000000007,0.0
"X206742",0.9981465463981216,0.00185345360187817
"X206743",0.9990261252487608,0.0009738747512385151
"X206750",1.0000000000000013,0.0
"X206751",0.9998426683448715,0.000157331655129012
"X206756",0.9999999999999999,0.0
"X206755",0.9999999999999998,0.0
"X206762",1.0000000000000002,0.0
"X206761",0.999999999999999,0.0
"X206767",0.9999999999999996,0.0
"X206766",0.9999999999999993,0.0
"X206769",0.9999999999999998,0.0
"X206768",0.9937416182387123,0.00625838176128743
"X206770",1.0000000000000002,0.0
"X224330",1.0000000000000004,0.0
"X224327",1.0000000000000004,0.0
"X224328",1.0000000000000002,0.0
"X224325",0.9999999999999993,0.0
"X224326",1.0000000000000002,0.0
"X224324",0.9999999999999992,0.0
"X224323",0.9999999999999997,0.0
"X219633",1.0,0.0
"X219634",0.9999999999999987,0.0
"X219637",0.9999999999999999,0.0
"X219638",1.0000000000000004,0.0
"X219643",0.9999999999999996,0.0
"X219644",1.0,0.0
"X219646",0.9999999999999996,0.0
"X219645",1.0000000000000002,0.0
"X219652",0.999999999999999,0.0
"X219651",0.9999999999999991,0.0
"X219659",0.9942279942279943,0.00577200577200577
"X219653",0.9909937888198748,0.00900621118012422
"X219654",0.986694209854791,0.0133057901452093
"X219693",1.0000000000000004,0.0
"X219656",1.0000000000000004,0.0
"X219655",0.9999999999999991,0.0
"X219657",1.0,0.0
"X219658",0.9999999999999999,0.0
"X219668",1.0,0.0
"X219670",1.0000000000000002,0.0
"X219669",1.0000000000000007,0.0
"X219675",0.9999999999999996,0.0
"X219676",1.0000000000000002,0.0
"X219691",1.0000000000000002,0.0
"X219692",1.0000000000000007,0.0
