Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.347373402914766,0.340432851098773,-0.019613630212821444,0.05628091638726299
2,1.0,0,-0.01087134562303061,0.029895366114025754
3,0.2582234311192,0.54311173017258,0.012851677010090498,0.12366308333940941
4,0.186303872964213,0.413050265035706,-0.005019507420043601,0.12336159420229979
Averages,0.44797517674954473,0.3241487115767647,-0.005663201561451289,0.0833002400107495
