"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Pseudomonadales","Flavobacteriales","Sphingobacteriales","Sphingomonadales","Lactobacillales","Selenomonadales","Erysipelotrichales","Bacillales","Fusobacteriales","Thermales","Coriobacteriales","Bifidobacteriales","Actinomycetales","Spirochaetales","Acidimicrobiales","Micrococcales","Pseudonocardiales","Desulfovibrionales","Neisseriales","Blastocatellales","Rhizobiales","Nitrospirales","Mollicutes_RF9","Desulfurellales","WCHA1_57(class)","Propionibacteriales","Methanobacteriales","Bdellovibrionales","Unknown_Order","Chloroplast(class)","Xanthomonadales","Frankiales","Synergistales","Chthoniobacterales","Campylobacterales","Pasteurellales","X35","Myxococcales","Methylophilales","Cytophagales","Enterobacteriales","Verrucomicrobiales","Aeromonadales","Lineage_IIb","Oligoflexales","Thermoanaerobacterales"
"X206695",0.018633540372670808,0.006211180124223602,0.2639751552795031,0.13871635610766045,0.0,0.004140786749482402,0.018633540372670808,0.0,0.0,0.0,0.028985507246376812,0.019668737060041408,0.0,0.0010351966873706005,0.009316770186335404,0.0010351966873706005,0.004140786749482402,0.008281573498964804,0.0,0.0,0.0,0.009316770186335404,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051759834368530024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40062111801242234,0.0010351966873706005,0.0,0.0,0.0,0.0
"X206700",0.0,6.633279161553514e-05,0.19996020032503067,0.20277934396869093,0.0,0.0,9.949918742330271e-05,0.0,0.0,0.0,0.002918642831083546,0.07429272660939935,0.020165168651122684,0.00043116314550097843,0.19200026533116646,0.0,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027528108520447083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002852310039468011,0.054923551457663096,0.0,0.0,0.0,0.0,0.2466916520181752,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.0,0.28617060485687373,0.496171014374053,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0100331708915189,0.1450509848888161,0.020926327859453704,0.00016380687169826775,4.095171792456694e-05,0.0,8.190343584913388e-05,0.019861583193414963,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.021335845038699373,0.0,0.0,0.0,0.0,0.0
"X206758",0.0,0.0,0.3386491221797118,0.4380519898451747,0.0,0.0,0.0002145385633067544,0.0,0.0,0.0,0.013051095934494225,0.1571494976221976,0.015267994421997354,0.0016805520792362427,0.0002502949905245468,0.0,0.0005005899810490936,0.013337147352236565,0.0002502949905245468,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,3.57564272177924e-05,0.00017878213608896198,0.0,0.0,0.0,0.0,0.02131083062180427,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.0005357908272610373,0.0013394770681525933,0.0030004286326618087,0.0,0.0,0.0004286326618088298,0.0009644234890698671,0.0,0.0,0.0003750535790827261,0.0,0.0003214744963566224,0.000589369909987141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009108444063437634,0.9914809258465495,0.0,0.0,0.0,0.0,0.0
"X206701",0.0,0.0016907270126154247,0.004812069189751593,0.004421901417609572,0.0,0.0011705033164260631,0.010534529847834569,0.0013005592404734035,0.0,0.0,0.0,0.001040447392378723,0.0,0.004161789569514892,0.005072181037846274,0.0005202236961893615,0.0,0.00013005592404734037,0.0,0.0,0.0,0.0005202236961893615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013005592404734037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9644947327350761,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.0036028617015801123,0.623552421637758,0.32734572031499304,0.0,0.00030881671727829536,5.146945287971589e-05,0.0,0.0002573472643985794,0.0,0.0026764115497452264,0.005249884193731021,0.02954346595295692,0.0005146945287971588,0.0011323279633537494,0.0,0.0005146945287971588,5.146945287971589e-05,0.0006691028874363066,0.0,0.0,0.0,0.0,0.001904369756549488,0.00030881671727829536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013382057748726132,0.0,0.0,0.0,0.0,0.0009779196047146018,0.0,0.0,0.0,0.0,0.0
"X206709",0.0,0.02065341558144848,0.396435915010281,0.5467671921407357,0.0,0.0,4.569339730408956e-05,0.0,0.0,0.0,0.0008224811514736121,0.009367146447338359,0.006351382225268449,0.00013708019191226866,0.0005026273703449851,0.0,0.000731094356865433,9.138679460817912e-05,9.138679460817912e-05,0.0,0.0,0.0,0.0,0.014119259766963673,0.00013708019191226866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017820424948594928,0.0,0.0,0.0,0.0,0.001964816084075851,0.0,0.0,0.0,0.0,0.0
"X206746",0.0,8.203445447087777e-05,0.5054552912223134,0.4126743232157506,0.0,0.0,4.1017227235438884e-05,0.0,0.0,4.1017227235438884e-05,0.0064807219031993435,0.014602132895816243,0.013412633305988516,0.0009433962264150943,0.001435602953240361,0.0,0.0002871205906480722,0.0005742411812961444,0.00012305168170631667,0.0,0.0,0.00012305168170631667,0.0,0.007916324856439705,0.0004922067268252667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.0,0.00012305168170631667,0.031214109926168992,0.0,0.0,0.0,0.0,0.0037735849056603774,0.00016406890894175554,0.0,0.0,0.0,0.0
"X206747",0.0,5.255136896316149e-05,0.49529665247779703,0.4507330915970361,0.0,0.0,5.255136896316149e-05,0.0,0.0,0.0,0.0026275684481580747,0.008355667665142678,0.007146986178989963,0.00047296232066845344,0.001996952020600137,0.0,0.00021020547585264595,0.0006831677965210993,5.255136896316149e-05,0.0,0.0,0.00010510273792632298,0.0,0.00530768826527931,0.00036785958274213043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010510273792632298,0.024488937936833256,0.0,0.0,0.0,0.0,0.001944400651636975,0.0,0.0,0.0,0.0,0.0
"X206720",0.0,0.039314552961379666,0.32248163981146555,0.5787204501443238,0.0,0.0,3.653768862581753e-05,0.0,0.0,0.0,0.0010230552815228909,0.03467426650590084,0.0023749497606781393,0.00021922613175490518,0.0018999598085425117,0.0,0.0002923015090065402,0.0006942160838905331,3.653768862581753e-05,0.0,0.0,0.00010961306587745259,0.0,0.008476743761189667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.653768862581753e-05,0.0,0.0,0.0,0.0,0.0006576783952647156,0.0,0.0,0.0,0.0,0.008951733713325295,0.0,0.0,0.0,0.0,0.0
"X206721",0.0,0.050505486909185174,0.28596733776894495,0.6090901235634667,0.0,0.0002592240559923961,0.0,4.320400933206602e-05,0.0,0.00012961202799619806,0.0003888360839885941,0.03957487254817247,0.0016849563639505746,0.00012961202799619806,0.0023330165039315647,0.0,0.00017281603732826408,0.00012961202799619806,8.640801866413204e-05,0.0,0.0,0.0,0.0,0.007949537717100146,4.320400933206602e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.640801866413204e-05,0.0,0.0,0.0,0.0,0.0014257323079581786,0.0,0.0,0.0,0.0,0.0
"X206723",0.0,0.0,0.13580246913580246,0.037037037037037035,0.0,0.0,0.08641975308641975,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7283950617283951,0.0,0.0,0.0,0.0,0.0
"X206724",0.0,0.008098403239361295,0.28107571243028495,0.1649476659790664,0.0,0.0,0.0005730002292000917,3.8200015280006115e-05,0.0,0.0,0.0045458018183207275,0.001031400412560165,0.0004966001986400795,0.0005730002292000917,0.005386202154480862,0.0,0.00019100007640003057,0.0,0.00026740010696004276,0.00019100007640003057,0.0,0.0,0.0,0.00026740010696004276,0.00038200015280006114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019100007640003057,0.002406600962640385,0.0,0.0,0.0,0.0,0.5293376117350447,0.0,0.0,0.0,0.0,0.0
