"","Burkholderiales","Bacteroidales","Clostridiales","Run_SP154","Corynebacteriales","Rhodospirillales","Pseudomonadales","Micrococcales","Selenomonadales","Erysipelotrichales","Bacillales","Bifidobacteriales","Sphingobacteriales","Coriobacteriales","Lactobacillales","Thermales","Actinomycetales","Flavobacteriales","Rhizobiales","Synergistales","Micromonosporales","Subgroup_6(class)","Fusobacteriales","Neisseriales","JG30_KF_CM45","Cardiobacteriales","Caulobacterales","Alteromonadales","Desulfovibrionales","Campylobacterales","Chloroplast(class)","Deinococcales","Pasteurellales","Gastranaerophilales","Enterobacteriales","Rhodobacterales","Myxococcales","Sphingomonadales","Xanthomonadales","Methanobacteriales","Bdellovibrionales","Solirubrobacterales","Blastocatellales","Mollicutes_RF9","Verrucomicrobiales","Cytophagales","Latescibacteria(phylum)","Thermoanaerobacterales"
"X206730",0.000134625740442,0.266020463113,0.220516962843,0.0,0.0,0.0,0.0,0.0,0.000673128702208,0.0114431879375,0.000673128702208,0.00175013462574,0.000942380183091,0.000269251480883,0.00511577813678,0.0,0.000134625740442,0.0,0.0,0.0,0.0,0.0,0.00188476036618,0.0,0.000538502961766,0.0,0.0,0.000134625740442,0.0,0.000942380183091,0.0,0.0,0.0,0.0,0.488556812062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000269251480883,0.0
"X206729",0.000263123273254,0.0658465991317,0.429219839495,0.0,0.000657808183134,0.0,0.000460465728194,0.000263123273254,0.0551243257466,0.00309169846073,0.00855150638074,0.0,0.0,0.00473621891856,0.102486514932,0.00039468490988,0.00414419155374,0.000986712274701,0.0,0.0,0.0,0.0,0.0112485199316,0.00184186291277,0.0,0.0,0.0,0.0,0.0,0.00059202736482,0.0,0.0,0.00059202736482,0.0,0.30930140771,0.0,0.0,0.0,0.0,0.0,0.00019734245494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206739",0.0137105302916,0.264012690739,0.677821423176,0.0,0.0,0.0,0.000188850279498,0.0,0.0138993805711,0.0185073273908,3.77700558997e-05,0.00449463665206,0.0,0.000566550838495,0.00105756156519,0.0,0.000113310167699,0.0,0.0,0.0,0.0,0.0,0.000302160447197,0.0,0.0,0.0,0.0,0.0,0.00321045475147,7.55401117994e-05,0.0,0.0,0.00105756156519,0.0,0.000755401117994,0.0,0.0,3.77700558997e-05,3.77700558997e-05,0.0,0.0,0.0,0.0,0.0,7.55401117994e-05,3.77700558997e-05,0.0,0.0
"X206738",0.0205940594059,0.264893917963,0.638642149929,0.0,0.0,0.0,0.00164073550212,0.0,0.0293069306931,0.00571428571429,0.00554455445545,0.00277227722772,0.0,0.000961810466761,0.0135785007072,0.00016973125884,0.0,0.00022630834512,0.000622347949081,0.000565770862801,0.0,0.0,0.00135785007072,0.0,0.0,0.0,5.65770862801e-05,0.0,0.00639321074965,0.0,0.000792079207921,0.0,0.00345120226308,0.0,0.00209335219236,0.0,0.0,0.0,0.00039603960396,0.0,0.0,0.00011315417256,0.0,0.0,0.00011315417256,0.0,0.0,0.0
"X206741",0.0171815341895,0.428670600486,0.527768136064,0.0,0.0,0.0,0.000130163137799,0.0,0.0111506421381,0.000737591114196,0.000130163137799,0.00134501909059,0.0,8.67754251996e-05,0.000824366539396,8.67754251996e-05,0.0,0.0,4.33877125998e-05,0.0,0.0,0.0,0.000130163137799,0.0,0.0,0.0,0.0,0.0,0.0108469281499,0.0,0.0,0.0,0.000433877125998,0.0,0.000347101700798,0.0,0.0,8.67754251996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206740",0.0180465796854,0.465613949518,0.484940860871,0.0,0.0,0.0,0.000914522619193,0.0,0.0141446165102,0.00201194976222,0.000365809047677,0.00146323619071,0.0,0.000731618095354,0.00115839531764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000548713571516,0.000121936349226,0.0,0.0,0.0,0.0,0.00737714912816,0.0,6.09681746129e-05,0.0,6.09681746129e-05,0.0,0.00243872698451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206742",0.0111207216113,0.530705548004,0.355698340129,0.0,0.0,0.0,0.0,4.11878578195e-05,0.0386753984925,0.00115326001895,8.2375715639e-05,0.00152395073932,0.0,0.000288315004737,0.0170929609951,0.0,0.0,0.0,4.11878578195e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00185345360188,0.0,0.0,0.0,0.00107088430331,0.0,0.000741381440751,0.0,0.0,0.0,0.0,0.00185345360188,0.0,0.0,0.0,0.0,0.0380575806252,0.0,0.0,0.0
"X206743",0.00935766608799,0.673201507389,0.224541643731,0.000127027141466,0.000169369521955,8.46847609773e-05,0.000211711902443,0.000592793326841,0.0217216411907,0.000889189990261,0.000635135707329,0.000592793326841,0.000381081424398,0.00135495617564,0.0137189312783,0.0,0.000381081424398,0.000338739043909,0.0,0.0,0.0,0.0,0.0018630647415,0.0,0.0,0.0,0.0,0.0,0.00326036329762,0.0,0.0,8.46847609773e-05,8.46847609773e-05,0.0,0.00143964093661,0.0,0.000127027141466,0.0,0.000211711902443,0.000973874751239,0.0,0.0,0.000381081424398,0.0,0.0432739128594,0.0,0.0,0.0
"X224324",0.0697314049587,0.621986914601,0.230501033058,0.0,8.608815427e-05,0.0,0.00025826446281,0.0,0.00649965564738,0.00150654269972,8.608815427e-05,0.00068870523416,0.0,0.000129132231405,0.00581095041322,0.0,0.00017217630854,0.0,4.3044077135e-05,0.0,0.0,0.0,0.000215220385675,4.3044077135e-05,0.0,0.0,0.0,0.000129132231405,0.00180785123967,0.000301308539945,0.0,0.0,0.00043044077135,0.0,0.0595730027548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224323",0.0455051066842,0.4899383153,0.378450803924,0.0,0.0,0.0,5.05612296491e-05,5.05612296491e-05,0.018151481444,0.00197188795632,0.000252806148246,0.000758418444737,0.000101122459298,0.000252806148246,0.00728081706947,0.0,0.000151683688947,5.05612296491e-05,0.0,0.0,5.05612296491e-05,0.0,0.000404489837193,0.0,0.0,0.0,0.0,0.0,0.00171908180807,5.05612296491e-05,0.0,0.0,0.000657295985438,0.0,0.0541005157245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05612296491e-05,0.0,0.0,0.0
"X219652",0.00941555273685,0.20514196507,0.652941750415,0.0,0.000146355742024,0.0,0.00039028197873,0.0,0.0470777636843,0.00204898038833,0.000146355742024,0.0642989559957,0.0,0.000536637720753,0.000975704946824,0.0,0.0,0.0,0.0,0.0,0.0,0.000146355742024,4.87852473412e-05,0.0,0.0,0.0,0.0,0.0,0.00439067226071,0.0,4.87852473412e-05,0.0,9.75704946824e-05,0.0106351839204,0.000146355742024,0.0,0.0,0.0,4.87852473412e-05,0.0,0.0,0.0,0.0,0.0,0.00131720167821,0.0,0.0,0.0
"X219651",0.00566859850247,0.227040060916,0.682727695757,0.0,0.000253817843394,0.0,0.000169211895596,0.0,0.0324040780067,0.00393417657261,0.000211514869495,0.0269892973476,0.0,0.000296120817293,0.00211514869495,0.0,8.46059477981e-05,0.000296120817293,0.0,0.0,0.0,0.0,4.23029738991e-05,0.0,0.0,0.0,0.0,0.0,0.00579550742417,0.0,0.0,0.0,8.46059477981e-05,0.0111679851094,0.000296120817293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000423029738991,0.0,0.0,0.0
"X219656",0.0274629913221,0.300561510975,0.638591117917,0.0,0.000102092904543,0.000204185809086,0.000102092904543,0.0,0.00428790199081,0.00775906074528,0.000102092904543,0.00193976518632,0.0,0.000204185809086,0.0,0.0,0.0,0.0,0.000306278713629,0.0,0.0,0.0,0.00102092904543,0.0,0.0,0.0,0.0,0.0,0.00245022970904,0.0,0.0,0.0,0.00929045431343,0.0,0.0014293006636,0.0,0.0,0.00122511485452,0.0,0.0,0.0,0.0,0.0,0.0,0.00296069423175,0.0,0.0,0.0
"X219655",0.0161391640493,0.136796327615,0.824402029476,0.0,0.0,0.0,4.8320850447e-05,4.8320850447e-05,0.00231940082145,0.0124184585649,0.000144962551341,0.000531529354917,0.0,9.66417008939e-05,0.000966417008939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00115970041073,0.0,0.0,0.0,4.8320850447e-05,0.0,0.000773133607151,0.0,0.0,0.0,0.00270596762503,0.0,0.000144962551341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00125634211162,0.0,0.0,0.0
"X219657",0.0,0.016999055608,0.689572801511,0.0,0.0,0.0,0.000222209877229,0.0,0.0344980834398,0.142103216488,0.000111104938615,0.000888839508916,0.0,0.0,0.000833287039609,0.0,0.000166657407922,0.0,5.55524693073e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00933281484362,0.0,0.104660852175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000555524693073
"X219658",0.0,0.0,0.521264994547,0.0,0.0,0.0,0.0152671755725,0.0,0.0599781897492,0.0883315158124,0.0,0.0109051254089,0.0,0.0,0.0218102508179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28026172301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00218102508179,0.0,0.0,0.0
