Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.997408815583641,0.00419819857604381,-0.04392599513005328,0.0491213634675712
2,0.782526029906446,0.357671914497154,0.012344908649293418,0.12289192621535357
3,0.832565427798233,0,-0.04390740197709302,0.08013196895942924
4,0.170498015519839,0.506195680862333,-0.005771097277838513,0.11986977532167006
5,0.894989022975663,0.0909421737793002,-0.04774553599638481,0.07545769916827784
6,0.913841508006723,0.088637175096446,-0.022795531926339326,0.0798419972726813
7,0.795152761200804,0.138831296379057,-0.049055178060348266,0.08133296587236753
8,0.842857630161528,0.131386526447801,-0.013002128824757804,0.11242550812525424
9,0.798266038473049,0.232354896808958,-0.03319275948380495,0.07006502377126839
10,0.642054908188963,0.192367954727606,-0.017255076676558182,0.11736851859625927
11,0.84134661670199,0.357165569436307,-0.051020617388840506,0.05652847294854551
12,0.8543064056828,0.0687537520511643,-0.024759052856565482,0.1016964166800373
13,0.712668664563446,0.241575008771329,-0.017430212088870963,0.0957371868624636
14,0.90834597482593,0.0966329356375433,-0.04530837072400755,0.0641630646837033
15,0.778649632891895,0.165210237759109,-0.0005226514550992256,0.12031083395830085
Averages,0.7843651634987302,0.1781282213886768,-0.02688978008115123,0.0897961814602122
