"","x"
"1","WCHB1_32(class)"
"2","DA101_soil_group"
"3","Rikenellaceae"
"4","Oxalobacteraceae"
"5","Thermaceae"
"6","Subgroup_6(class)"
"7","Mollicutes_RF9(order)"
"8","Thermoanaerobacteraceae"
"9","vadinBE97"
"10","NS11_12_marine_group"
"11","Nocardioidaceae"
"12","Chitinophagaceae"
"13","Staphylococcaceae"
"14","Bacteroidetes_vadinHA17(class)"
"15","Rhodocyclaceae"
