Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,1.0,0.0,-0.011234738261809731,0.10096218472728258
2,0.630531209251752,0.159530655593923,-0.018787096257468185,0.11294167346909159
3,0.667667855246456,0.193302525130219,0.005408802890715081,0.13268956010985242
4,0.8008565609341,0.175409234281593,-0.0725849761854996,0.0915157840879822
5,0.951613327491061,0,-0.05230060481463561,0.0630322634586287
6,0.748147742254645,0,-0.02332094961082878,0.13073909915148987
7,0.833062694736797,0.159805945041237,-0.038080088322660376,0.11763713387341923
8,0.687497603676227,0,-0.0626623691695866,0.08883438045381384
9,0.864226439231296,0.0995493548815159,-0.0402584414298227,0.08971299759910413
10,0.887942409631593,0.102092489307088,-0.037848835060134464,0.0910223113499867
11,0.818077788129488,0.0914822405579518,-0.04340643828077728,0.09782975326852829
12,0.764170179613741,0.24854527056716,-0.05878620406034519,0.08832881746366594
13,0.831930890866909,0.0944144473535031,-0.05169300622911618,0.09519760955377429
14,0.760094266157895,0.163557509861694,-0.022681543065048042,0.11211626086361773
15,0.837683188138411,0.249085135781068,-0.048268928019876985,0.10281555599716194
Averages,0.805566810357358,0.11578498722379685,-0.03843369439179298,0.10102502569515998
