"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Acidobacteria","Fusobacteria","Deinococcus_Thermus","Tenericutes","Cyanobacteria","Synergistetes","Verrucomicrobia","Lentisphaerae","Euryarchaeota","Planctomycetes"
"X206657",0.017089026431546576,0.4095916540153373,0.41013663435711784,0.0003892716727003776,0.0,0.0,7.785433454007552e-05,0.00015570866908015105,0.01163922301374129,0.0,0.1509206275059364,0.0,0.0,0.0
"X206703",0.05930061710255657,0.39476932118718777,0.5416985013223626,0.001116661769027329,0.0,0.000999118424919189,0.0,0.0,0.0,0.0,0.002115780193946518,0.0,0.0,0.0
"X206752",0.014745786918023421,0.4705798343330477,0.4647957726363896,0.001570979720079977,0.0,0.00021422450728363326,0.0,0.001178234790059983,0.0,0.0,0.04691516709511568,0.0,0.0,0.0
"X206710",0.008620283574355833,0.5941871967591502,0.38640538885486836,0.010268971689669792,0.0,0.0005181591219558152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.007183552142680208,0.4732474609858806,0.519011642308645,0.0004954173891503591,0.0,0.0,0.0,0.0,0.0,0.0,6.192717364379489e-05,0.0,0.0,0.0
"X206725",0.01060389561555238,0.6680830262465218,0.30048131157403923,0.00026321726705271864,0.0,0.020568549296833872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206729",0.3132482568083147,0.5984738850151295,0.0668333114063939,0.009801341928693592,0.0,0.01124851993158795,0.0003946849098802789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206738",0.035247524752475244,0.6927864214992928,0.26512022630834514,0.0038472418670438473,0.0,0.0013578500707213579,0.00016973125884016973,0.0,0.0007920792079207921,0.0005657708628005657,0.00011315417256011315,0.0,0.0,0.0
"X206740",0.028959882941104742,0.5026216315083526,0.46561394951835144,0.0021948542860626753,0.0,0.0005487135715156688,0.0,0.0,6.0968174612852094e-05,0.0,0.0,0.0,0.0,0.0
"X206743",0.014904517931998137,0.2615065418977855,0.6739213278570522,0.0030909937756700683,0.0003810814243976796,0.0018630647414997672,8.468476097726214e-05,0.0,0.0,0.0,0.04327391285938095,0.0,0.0009738747512385147,0.0
"X224323",0.10208312266154312,0.4061077965416119,0.4900899989887754,0.0012640307412276266,0.0,0.0004044898371928405,0.0,0.0,0.0,0.0,5.056122964910506e-05,0.0,0.0,0.0
"X215003",0.15365489806066635,0.5576827449030333,0.28319244157135753,0.0032322227747389356,0.0,0.001989060169070114,0.0,0.0,0.0002486325211337643,0.0,0.0,0.0,0.0,0.0
"X215007",0.050238955589229514,0.3450868399580371,0.595232544585616,0.0010490733185685977,0.0,0.0015736099778528966,0.0,0.0,0.0,0.0,0.0068189765706958855,0.0,0.0,0.0
"X215009",0.0410240989733236,0.48245199536062544,0.43940890931741056,0.005025989088878388,0.0,0.00017182868679926113,0.0,0.007302719188968599,0.013445594742042185,0.00017182868679926113,0.010524507066454745,0.00047252888869796813,0.0,0.0
"X215048",0.11879134985681841,0.49017478029031303,0.37296336526118296,0.0016786807544188801,0.0004937296336526119,0.009775846746321714,0.0,0.005727263750370297,0.0,0.0,9.874592673052236e-05,0.0,0.0,0.0002962377801915671
"X215055",0.08361224001912503,0.536815682524504,0.34048529763327756,0.005498446091322017,0.0,0.010399234998804685,0.0,0.0,0.0016734401147501792,0.0,0.020678938560841503,0.0004781257470714798,0.00035859431030360985,0.0
"X215057",0.0969244754185289,0.503257328990228,0.3849708355427619,0.0007575183698204682,0.0,7.575183698204681e-05,0.0,0.0032194530717369898,0.0,7.575183698204681e-05,0.00988561472615711,0.0003408832664192107,0.0004923869403833043,0.0
"X215077",0.03071140447378071,0.5675192519251925,0.37962962962962965,0.004308764209754309,0.0,0.00041254125412541255,0.0,0.0016043270993766044,0.0001375137513751375,0.0,0.015676567656765675,0.0,0.0,0.0
"X222171",0.05283559450577231,0.27664953231650796,0.668071121597708,0.001853880508974467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005898710710373304,0.0,0.0
"X224845",0.040776336661379115,0.6871325930764206,0.26943174395819725,0.0013996454231594662,0.0,0.0012596808808435197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219652",0.014489218460337594,0.7031905551761147,0.2051419650697629,0.06498194945848375,0.00014635574202361205,4.878524734120402e-05,0.0,0.0,0.01068396916772368,0.0,0.0013172016782125086,0.0,0.0,0.0
"X219655",0.01985986953370379,0.8402512684223242,0.13679632761536603,0.0006764919062575501,0.0,0.0011597004107272288,0.0,0.0,0.0,0.0,0.0012563421116211645,0.0,0.0,0.0
"X219657",0.11427142936503527,0.867674018110105,0.016999055608021778,0.0010554969168379534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
