"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Pseudomonadales","JG30_KF_CM66(class)","Gaiellales","Flavobacteriales","Sphingobacteriales","Sphingomonadales","Micrococcales","Lactobacillales","Selenomonadales","Erysipelotrichales","Bacillales","Fusobacteriales","Thermales","Coriobacteriales","Fibrobacterales","Bifidobacteriales","Chloroflexales","Actinomycetales","Rhizobiales","Spirochaetales","Acidimicrobiales","Pseudonocardiales","Gastranaerophilales","Desulfovibrionales","Neisseriales","Blastocatellales","Synergistales","Nitrospirales","Caldilineales","Planctomycetales","Desulfurellales","WCHA1_57(class)","Chthoniobacterales","Thermoanaerobacterales","OPB35_soil_group(class)","Tectomicrobia(phylum)","Victivallales","Propionibacteriales","Bdellovibrionales","Streptosporangiales","Xanthomonadales","Caulobacterales","Subgroup_6(class)","Desulfuromonadales","Unknown_Order","Alteromonadales","Candidatus_Falkowbacteria(class)","Cytophagales","Frankiales","Gitt_GS_136(class)","Campylobacterales","Pasteurellales","Cyanobacteria(phylum)","NB1_j","X35","Enterobacteriales","Myxococcales","Subgroup_10","Opitutales","Methylophilales","Oligosphaerales","Methanobacteriales","Chloroplast(class)","Solibacterales","KD4_96(class)","Verrucomicrobiales","SubsectionII","Solirubrobacterales","Aeromonadales","Mollicutes_RF9","Cellvibrionales","UA11(class)","Lineage_IIb","Oligoflexales","Lineage_IIc"
"X206681",0.0,0.0,0.649326805386,0.146878824969,0.0,0.0,0.0287637698898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112607099143,0.0195838433293,0.0,0.0,0.0,0.0140758873929,0.0,0.00673194614443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00183598531212,0.0,0.0,0.0,0.0201958384333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206682",0.0,0.00733496332518,0.633251833741,0.0733496332518,0.0,0.00977995110024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041564792176,0.141809290954,0.00977995110024,0.0,0.0,0.0,0.0146699266504,0.0,0.00488997555012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00244498777506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146699266504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0220048899756,0.0,0.0,0.0244498777506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206695",0.0186335403727,0.00621118012422,0.26397515528,0.138716356108,0.0,0.00414078674948,0.0186335403727,0.0,0.0,0.0,0.0,0.0,0.00931677018634,0.0289855072464,0.01966873706,0.0,0.00103519668737,0.00931677018634,0.00103519668737,0.00414078674948,0.0,0.00828157349896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144927536232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400621118012,0.0,0.0,0.0,0.0,0.0,0.0,0.0517598343685,0.0,0.0,0.00103519668737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.0,6.63327916155e-05,0.199960200325,0.202779343969,0.0,0.0,9.94991874233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00291864283108,0.0742927266094,0.0201651686511,0.000431163145501,0.192000265331,0.0,6.63327916155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275281085204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00285231003947,0.0549235514577,0.0,0.0,0.0,0.246691652018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.0,0.286170604857,0.496171014374,0.0,0.0,4.09517179246e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0100331708915,0.145050984889,0.0209263278595,0.000163806871698,4.09517179246e-05,0.0,8.19034358491e-05,0.0,0.0198615831934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179246e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179246e-05,4.09517179246e-05,0.0,0.0,0.0,0.0213358450387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206758",0.0,0.0,0.33864912218,0.438051989845,0.0,0.0,0.000214538563307,0.0,0.0,0.0,0.0,0.0,3.57564272178e-05,0.0130510959345,0.157149497622,0.015267994422,0.00168055207924,0.000250294990525,0.0,0.000500589981049,0.0,0.0133371473522,0.0,0.000250294990525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272178e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272178e-05,0.000178782136089,0.0,0.0,0.0,0.0213108306218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.000535790827261,0.00133947706815,0.00300042863266,0.0,0.0,0.000428632661809,0.0,0.0,0.00096442348907,0.0,0.0,0.0,0.000375053579083,0.0,0.000321474496357,0.000589369909987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35790827261e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000910844406344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991480925847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.0,0.00169072701262,0.00481206918975,0.00442190141761,0.0,0.00117050331643,0.0105345298478,0.0,0.0,0.00130055924047,0.0,0.0,0.000520223696189,0.0,0.00104044739238,0.0,0.00416178956951,0.00507218103785,0.000520223696189,0.0,0.0,0.000130055924047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000130055924047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.964494732735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.00360286170158,0.623552421638,0.327345720315,0.0,0.000308816717278,5.14694528797e-05,0.0,0.0,0.0,0.000257347264399,0.0,0.0,0.00267641154975,0.00524988419373,0.029543465953,0.000514694528797,0.00113232796335,0.0,0.000514694528797,0.0,5.14694528797e-05,0.0,0.000669102887436,0.0,0.0,0.0,0.0,0.0,0.00190436975655,0.000308816717278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00133820577487,0.0,0.0,0.0,0.000977919604715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.0,0.0206534155814,0.39643591501,0.546767192141,0.0,0.0,4.56933973041e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000822481151474,0.00936714644734,0.00635138222527,0.000137080191912,0.000502627370345,0.0,0.000731094356865,0.0,9.13867946082e-05,0.0,9.13867946082e-05,0.0,0.0,0.0,0.0,0.0,0.014119259767,0.000137080191912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00178204249486,0.0,0.0,0.0,0.00196481608408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.0,8.20344544709e-05,0.505455291222,0.412674323216,0.0,0.0,4.10172272354e-05,0.0,0.0,0.0,0.0,4.10172272354e-05,0.000123051681706,0.0064807219032,0.0146021328958,0.013412633306,0.000943396226415,0.00143560295324,0.0,0.000287120590648,0.0,0.000574241181296,0.0,0.000123051681706,0.0,0.0,0.0,0.0,0.0,0.00791632485644,0.000492206726825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10172272354e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000123051681706,0.0312141099262,0.0,0.0,0.0,0.00377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000164068908942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.0,5.25513689632e-05,0.495296652478,0.450733091597,0.0,0.0,5.25513689632e-05,0.0,0.0,0.0,0.0,0.0,0.000105102737926,0.00262756844816,0.00835566766514,0.00714698617899,0.000472962320668,0.0019969520206,0.0,0.000210205475853,0.0,0.000683167796521,0.0,5.25513689632e-05,0.0,0.0,0.0,0.0,0.0,0.00530768826528,0.000367859582742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000105102737926,0.0244889379368,0.0,0.0,0.0,0.00194440065164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206720",0.0,0.0393145529614,0.322481639811,0.578720450144,0.0,0.0,3.65376886258e-05,0.0,0.0,0.0,0.0,0.0,0.000109613065877,0.00102305528152,0.0346742665059,0.00237494976068,0.000219226131755,0.00189995980854,0.0,0.000292301509007,0.0,0.000694216083891,0.0,3.65376886258e-05,0.0,0.0,0.0,0.0,0.0,0.00847674376119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65376886258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000657678395265,0.0,0.0,0.0,0.00895173371333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
