"","Betaproteobacteria","Clostridia","Bacteroidia","Alphaproteobacteria","Actinobacteria","Gammaproteobacteria","JG30_KF_CM66","Thermoleophilia","Bacilli","Negativicutes","Flavobacteriia","Erysipelotrichia","Fusobacteriia","Coriobacteriia","Fibrobacteria","Deinococci","Chloroflexia","Spirochaetes","Acidimicrobiia","Melainabacteria","Deltaproteobacteria","Synergistia","Caldilineae","Planctomycetacia","Spartobacteria","OPB35_soil_group","Sphingobacteriia","Tectomicrobia(phylum)","Lentisphaeria","Subgroup_6","Nitrospira","Candidatus_Falkowbacteria","Cytophagia","Gitt_GS_136","Epsilonproteobacteria","Cyanobacteria(phylum)","Holophagae","Opitutae","Oligosphaeria","Chloroplast","Solibacteres","KD4_96","Verrucomicrobiae","Cyanobacteria","UA11","Elusimicrobia"
"X206659",0.0288302481292,0.339346199291,0.270342654588,0.00181173690429,0.00275699094132,0.0141788105553,0.0,0.0,0.00890114218196,0.274832611264,0.0,0.00748326112643,0.0083497439937,0.000551398188263,0.0,0.0,0.0,0.0,0.0,0.00401732965735,0.0282000787712,0.00945254037022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000945254037022,0.0,0.0,0.0
"X206660",0.0358809655242,0.155818738395,0.427861695187,0.00140512871983,0.000501831685653,0.0115923119386,0.0,0.0,0.000250915842826,0.318663120389,0.0,0.000501831685653,0.0196718020776,0.0,0.0,0.0,0.0,0.0,0.0,0.001154212877,0.0156571485924,0.002308425754,0.0,0.0,0.0,0.0,5.01831685653e-05,0.0,0.000200732674261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00848095548753,0.0,0.0,0.0
"X206667",0.0157157824555,0.411467758834,0.515858653205,0.000952471663968,0.000857224497571,0.0112391656348,0.0,0.0,0.0160967711211,0.012477378798,0.0,0.00342889799028,0.00361939232308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781026764454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000476235831984
"X206668",0.0295566502463,0.364532019704,0.390804597701,0.0164203612479,0.101806239737,0.0706075533662,0.0,0.0,0.0246305418719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00164203612479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206671",0.000126414259528,0.202136400986,0.600025282852,0.0,0.0,0.129005751849,0.0,0.0,0.00752164844194,0.0418431199039,0.0,0.0,0.019025346059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000316035648821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206672",0.000264340470526,0.190060798308,0.493259318002,0.00370076658736,0.00273151819544,0.263283108644,0.0,0.000881134901753,0.00563926337122,0.0252004581901,0.0,8.81134901753e-05,0.0147149528593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000176226980351,0.0,0.0,0.0,0.0,0.0,0.0
"X206673",0.0264553957839,0.375610777607,0.474103029457,0.0,0.000558425240821,0.000767834706129,0.0,0.0,0.0100516543348,0.0277118525757,0.0,0.00663129973475,0.0,0.000907441016334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0772022895435,0.0,0.0,0.0
"X206681",0.0,0.649326805386,0.146878824969,0.0,0.00673194614443,0.0507955936353,0.0,0.0,0.0,0.112607099143,0.0,0.0195838433293,0.0,0.0140758873929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206682",0.00733496332518,0.633251833741,0.0733496332518,0.0,0.0146699266504,0.0220048899756,0.0,0.0,0.041564792176,0.141809290954,0.0,0.00977995110024,0.0,0.0146699266504,0.0,0.0,0.0,0.0,0.0,0.0,0.0171149144254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244498777506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206536",0.13651712494,0.177882296189,0.483598649301,0.000422093584178,0.0045827303425,0.127170767004,0.0,0.0,0.00446213217559,0.0130849011095,0.0,0.00506512301013,0.0423299565847,0.00132657983599,0.0,0.0,0.0,0.0,0.0,0.0,0.00337674867342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000180897250362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
