"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Gammaproteobacteria","Actinobacteria","Thermoleophilia","Bacilli","Blastocatellia","Negativicutes","Erysipelotrichia","WCHB1_32","Spartobacteria","Sphingobacteriia","Coriobacteriia","Flavobacteriia","Opitutae","Fusobacteriia","Deinococci","Cytophagia","Melainabacteria","Deltaproteobacteria","Subgroup_6","Mollicutes","Verrucomicrobia_Incertae_Sedis","Anaerolineae","OPB35_soil_group","Synergistia","Lentisphaeria","Thermomicrobia","Chloroplast","Epsilonproteobacteria","Bacteroidetes_vadinHA17","Acidimicrobiia","Acidobacteria","Cyanobacteria","Verrucomicrobiae","uncultured","Candidatus_Nomurabacteria","Methanobacteria","Gemmatimonadetes","Subgroup_2"
"X206754",0.002883342786916241,0.021601436944602006,0.4795802609188883,0.363112119493288,0.03048780487804878,0.013754963131026659,0.00014180374361883155,0.004017772735866894,0.00018907165815844205,0.009169975420684439,0.03393836263944035,0.0,0.0,0.0,0.00557761391567404,0.0,4.726791453961051e-05,0.026611835885800718,0.0,0.00018907165815844205,0.0,0.007515598411798071,0.0003781433163168841,0.0,0.0,0.0,0.0,0.0,0.0,0.00018907165815844205,4.726791453961051e-05,0.0,0.0,0.0,0.0,0.0,0.00023633957269805257,0.0,0.0,0.00033087540177727357,0.0,0.0
"X206762",0.0,0.0023946360153256703,0.4634219348659004,0.35614224137931033,0.12314415708812261,0.0061661877394636015,0.0,0.0020354406130268198,0.0,0.02490421455938697,0.01532567049808429,0.0,0.0,5.986590038314176e-05,0.0028735632183908046,0.0028735632183908046,0.0,0.0006585249042145594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206770",0.0011521179768808325,0.017589001113714045,0.5358116671147125,0.40493106494104997,0.006221437075156496,0.0033411421329544145,0.0,0.001267329774568916,3.840393256269442e-05,0.012097238757248743,0.008717692691731633,7.680786512538885e-05,0.0,0.0001920196628134721,0.000998502246630055,0.0001536157302507777,0.0,7.680786512538885e-05,0.0,0.0004224432581896386,0.0,0.006912707861284995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224330",0.0,0.05561932089909134,0.3924438067910091,0.49971305595408894,0.0028694404591104736,0.008464849354375897,0.0,0.002965088474414156,0.0,0.023194643711142993,0.005691056910569106,0.0,0.0,0.0,0.0024868483978957435,0.004973696795791487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014347202295552367,0.0,0.0,0.0,0.0,0.0,0.0,0.0005738880918220947,0.0,0.0,0.0,0.0001912960306073649,0.00028694404591104734,0.0,0.0,0.0003825920612147298,0.0
"X224326",0.0,0.03147813274395553,0.3590851249079097,0.48449534525483895,0.049996651262474046,6.697475051905432e-05,0.0,0.0006027727546714888,0.0,0.022771415176478467,0.002545040519724064,0.0,0.0,0.0,0.0003348737525952716,0.0,0.0,0.00043533587837385306,0.0,0.0,0.0,0.048154845623200056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.348737525952716e-05,0.0,0.0,0.0,0.0,0.0
"X206572",0.00021156558533145275,7.052186177715091e-05,0.198589562764457,0.3254583921015515,0.45839210155148097,0.0014809590973201693,0.0,0.0028913963328631876,0.0,0.003455571227080395,0.004724964739069111,0.0,0.0,0.00028208744710860365,0.00014104372355430183,0.0,0.0,0.004301833568406206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215062",0.0,0.005122769828652182,0.5124536301006889,0.1664016958134605,0.19042571983748455,0.00026497085320614734,0.0,0.0012365306482953543,0.0,0.09035506094329623,0.0028263557675322383,0.0,0.0,0.0,0.0013248542660307366,0.0,0.0,0.0,0.0,0.0,0.0005299417064122947,0.011305423070128953,0.0,0.0022964140611199434,0.0,0.0,0.0,0.0012365306482953543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00759583112524289,0.0,0.0003532944709415298,0.006270976859212153,0.0,0.0
"X215080",0.0,0.0050923905136039576,0.36844657839856443,0.28313691255638,0.2018526601678064,0.03729569814248994,0.0,0.038023182501576214,0.0,0.02463747029438867,0.011736747659925311,0.0,0.00014549687181725592,4.8498957272418644e-05,0.000678985401813861,0.0,0.00029099374363451185,0.001891459333624327,0.0,4.8498957272418644e-05,0.0,0.00014549687181725592,0.0,0.0003394927009069305,0.0,0.0,0.00024249478636209323,0.0,0.0,0.0,0.0009214801881759542,0.0008729812309035355,0.0,0.0,0.0,0.0,0.02405548280711965,0.0,0.0,0.0,0.0,9.699791454483729e-05
"X219643",0.001218995124019504,0.0044519821920712315,0.6924422302310791,0.22318210727157092,0.000900996396014416,0.01478694085223659,0.00021199915200339198,0.0052999788000848,0.0,0.03354886580453678,0.0049819800720797116,0.0,0.0,0.0,0.000582997668009328,0.00015899936400254398,0.0,0.000370998516005936,0.0,0.0,0.013355946576213695,0.0038159847360610556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000688997244011024,0.0,0.0,0.0,0.0,0.0
"X219646",0.0,0.015608002648630753,0.6631982216336376,0.31201816203944566,0.00037837582178498795,0.004635103816866102,0.0,0.00047296977723123494,0.0,0.00033107884406186446,0.003168897507449274,0.0,0.0,0.0,0.00014189093316937048,0.0,0.0,4.7296977723123494e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219669",0.0025456973541440613,0.0005842584091478173,0.8334028879058509,0.08876554544695768,0.0006259911526583757,0.0017527752274434521,0.0,0.004298472581587514,0.0,0.05550454886904265,0.001836240714464569,0.0,0.0,4.1732743510558384e-05,0.0006677238961689341,0.0,0.0,0.0,0.0,0.0,0.0003338619480844671,0.009640263750938986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
