Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.474029210377063,0.475745076454127,-0.007019803229199481,0.11589617761304793
2,0.497419087135848,0,-0.07376245597546181,0.10162811737844946
3,0.351189366942222,0.342062043555441,-0.03101268355862805,0.08342114037264765
4,0.904680347615425,0.104417447569166,-0.04204676217077518,0.04335248918554475
5,0.775421021354261,0.194491100663173,-0.0322485196586929,0.03536012364765068
6,0.885209610395729,0,-0.02925157517989196,0.053951308795044284
7,0.599072099589826,0.25367569455238,0.025567502049126736,0.09743543979939927
Averages,0.6410029633443391,0.19577019468489815,-0.027110613960503238,0.07586354239882628
