Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.5714341198357,0,-0.06251375387573156,0.06460371124125369
2,0.318922670724888,0.302212734609935,-0.023757724377287848,0.09328957216600783
3,0.497471784578075,0,-0.09562559896878153,0.10415877944019077
4,0.488429432045933,0.361251525614651,-0.04822799749112595,0.09387637954380984
5,0.741604841514395,0.151014309681844,-0.018196331478013708,0.08860740191587844
6,0.700406506852336,0.256608797756885,-0.03355431731078041,0.07975731760376929
7,0.891332081491196,0.134275767382639,-0.0011536426810463778,0.07740908719250487
8,0.831565766015695,0.184510458818614,-0.037278328677833934,0.0407117740117794
9,0.626552931184342,0.232218599872528,-0.0025620327580414565,0.0964424844559833
10,0.924654350821,0.0926756922124578,-0.04273168077803159,0.06530372626010106
Averages,0.659237448506356,0.17147678859495535,-0.03656014083966743,0.08041602338312785
