"","x"
"1","Christensenellaceae_R_7_group"
"2","Empedobacter"
"3","Sphingomonas"
"4","Oscillibacter"
"5","Sutterella"
"6","Subdoligranulum"
"7","Actinomyces"
"8","Defluviitaleaceae_UCG_011"
"9","_Clostridium_innocuum_group"
"10","Cellulomonas"
"11","Turicella"
"12","_Eubacterium_xylanophilum_group"
"13","Peptococcus"
"14","Solobacterium"
"15","Mollicutes_RF9(order)"
"16","Tumebacillus"
"17","Selenomonas"
"18","Paenibacillus"
"19","Eikenella"
"20","Solibacillus"
"21","Lentimicrobiaceae(family)"
"22","Chloroplast(class)"
"23","Anaerostipes"
"24","Cytophaga"
"25","Allisonella"
"26","Ruminococcaceae_UCG_005"
"27","Facklamia"
"28","Clostridium_sensu_stricto"
"29","Varibaculum"
"30","Lawsonella"
