"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Acidobacteria","Verrucomicrobia","Fusobacteria","Deinococcus_Thermus","Fibrobacteres","Tenericutes","Spirochaetae","Cyanobacteria","Synergistetes","Nitrospirae","Planctomycetes","WSA2","Chlorobi","Tectomicrobia","Lentisphaerae","Euryarchaeota","Parcubacteria","Armatimonadetes","Gemmatimonadetes","Latescibacteria","Elusimicrobia"
"X206563",0.20145488677695644,0.5483984512495602,0.2244514842191718,0.011615628299894399,0.0028159098908834934,0.0022879267863428372,0.0029332394696703038,0.000469318315147248,0.0,0.0,0.0,0.0,0.000586647893934061,0.0,0.0,0.004575853572685674,0.0,0.0,0.000410653525753843,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206569",0.21180124223602526,0.29457556935817786,0.31308488612836405,0.000662525879917184,0.0,0.0,0.15768115942029,0.0,0.0,0.0,0.0,0.0,0.022111801242236,0.0,0.0,0.0,0.0,0.0,0.0,8.2815734989648e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X206571",0.28372697393564206,0.21692272414583808,0.49124818466712517,0.0003057402736375452,0.0,0.0,0.0,0.00756707177252924,0.0,0.0,0.0,0.0,0.000229305205228159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206604",0.27532520741575345,0.44474034620505987,0.2636484687083886,0.010652463382157121,0.0,0.0,0.0036873911707467,0.0,0.0,0.0,0.0,0.0,0.0012291303902489,0.0,0.0,0.0,0.0,0.0,0.0,0.000716992727645191,0.0,0.0,0.0,0.0,0.0,0.0
"X206608",0.06695357697192042,0.4038380132637223,0.5256808240440239,0.0005644137152532802,0.0,0.0,0.0029631720050797214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215084",0.09796913078797724,0.35467099918765216,0.5285134037367992,0.000487408610885459,0.0,0.0,0.0,0.0183590576766856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X214994",0.03765690376569035,0.43283582089552225,0.5228876537813023,0.002935115218884651,0.0,0.0,6.24492599762693e-05,0.003247361518766,0.0,0.0,0.0,0.0,0.000374695559857616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215003",0.15365489806066623,0.5576827449030337,0.28319244157135737,0.003232222774738936,0.0,0.0,0.0,0.00198906016907011,0.0,0.0,0.0,0.0,0.000248632521133764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215007",0.050238955589229486,0.34508683995803696,0.5952325445856161,0.0010490733185685977,0.0,0.0,0.00681897657069589,0.001573609977852897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215009",0.04102409897332356,0.4824519953606252,0.43940890931741,0.005025989088878385,0.0,0.0,0.0105245070664547,0.000171828686799261,0.0,0.0,0.0073027191889686,0.0,0.013445594742042216,0.000171828686799261,0.0,0.0,0.0,0.0,0.0,0.000472528888697968,0.0,0.0,0.0,0.0,0.0,0.0
"X215048",0.1187913498568184,0.49017478029031314,0.3729633652611831,0.00167868075441888,0.0,0.000493729633652612,9.87459267305224e-05,0.009775846746321721,0.0,0.0,0.0057272637503703,0.0,0.0,0.0,0.0,0.000296237780191567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215055",0.08361224001912503,0.5368156825245042,0.3404852976332777,0.005498446091322019,0.0,0.0,0.020678938560841516,0.0103992349988047,0.0,0.0,0.0,0.0,0.00167344011475018,0.0,0.0,0.0,0.0,0.0,0.0,0.00047812574707148,0.00035859431030361,0.0,0.0,0.0,0.0,0.0
"X215057",0.09692447541852897,0.503257328990228,0.38497083554276196,0.000757518369820467,0.0,0.0,0.00988561472615711,7.57518369820468e-05,0.0,0.0,0.00321945307173699,0.0,0.0,7.57518369820468e-05,0.0,0.0,0.0,0.0,0.0,0.00034088326641921096,0.0004923869403833038,0.0,0.0,0.0,0.0,0.0
"X215076",0.05994865857955407,0.5113504806966322,0.42542910353853075,0.0026677404741531218,0.0,0.0,0.0,0.000604016711129008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215077",0.030711404473780735,0.5675192519251929,0.3796296296296291,0.0043087642097543065,0.0,0.0,0.0156765676567657,0.000412541254125413,0.0,0.0,0.0016043270993766,0.0,0.000137513751375138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X222171",0.05283559450577228,0.27664953231650785,0.6680711215977078,0.0018538805089744676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00058987107103733,0.0,0.0,0.0,0.0,0.0,0.0
"X224845",0.04077633666137914,0.6871325930764207,0.2694317439581972,0.0013996454231594649,0.0,0.0,0.0,0.00125968088084352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
