"","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","Moraxellaceae","Peptococcaceae","JG30_KF_CM66(class)","uncultured","Pseudomonadaceae","Intrasporangiaceae","Lactobacillaceae","Rhodospirillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Flavobacteriaceae","Erysipelotrichaceae","Burkholderiaceae","Family_XI","Leptotrichiaceae","Coriobacteriaceae","Fibrobacteraceae","Bacteroidaceae","Clostridiales_vadinBB60_group","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Thermaceae","Leuconostocaceae","Fusobacteriaceae","Bifidobacteriaceae","Aerococcaceae","Oscillochloridaceae","Actinomycetaceae","Hyphomicrobiaceae","Spirochaetaceae","Iamiaceae","Oxalobacteraceae","Cellulomonadaceae","Eubacteriaceae","Micrococcaceae","Gastranaerophilales(order)","Rikenellaceae","Desulfovibrionaceae","Listeriaceae","Synergistaceae","Methylobacteriaceae","Caldilineaceae","Acidaminococcaceae","Bacteroidales_S24_7_group","Planctomycetaceae","Chthoniobacterales_Incertae_Sedis","Thermoanaerobacteraceae","OPB35_soil_group(class)","Chitinophagaceae","Tectomicrobia(phylum)","Acetobacteraceae","vadinBE97","Paenibacillaceae","Rhizobiales_Incertae_Sedis","Nocardioidaceae","Chloroflexaceae","Streptosporangiales_Incertae_Sedis","Microbacteriaceae","Neisseriaceae","Rhizobiaceae","Victivallaceae","Xanthomonadaceae","Caulobacteraceae","Subgroup_6(class)","Geobacteraceae","env_OPS_17","0319_6A21","Defluviitaleaceae","Shewanellaceae","Candidatus_Falkowbacteria(class)","Xanthobacteraceae","Cytophagaceae","Gitt_GS_136(class)","Staphylococcaceae","Erythrobacteraceae","Campylobacteraceae","Rhodospirillales_Incertae_Sedis","Bacteriovoracaceae","Pasteurellaceae","Cyanobacteria(phylum)","NB1_j(order)","Enterobacteriaceae","ABS_19","Opitutaceae","Geodermatophilaceae","Brevibacteriaceae","Sphingomonadaceae","Heliobacteriaceae","Oligosphaeraceae","Chloroplast(class)","Solibacteraceae_Subgroup_3_","Nocardiaceae","KD4_96(class)","Verrucomicrobiaceae","Carnobacteriaceae","Clostridiaceae_1","FamilyII","Solirubrobacteraceae","Propionibacteriaceae","Phyllobacteriaceae","Bradyrhizobiaceae","Sphingobacteriaceae","Cellvibrionaceae","UA11(class)","Dermabacteraceae","Lineage_IIc(order)"
"X206656",0.000576036866359,0.0,0.0028801843318,0.0270737327189,0.0,0.304147465438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188940092166,0.000576036866359,0.0184331797235,0.0,0.0714285714286,0.0,0.0,0.0,0.00172811059908,0.0,0.180299539171,0.0,0.0241935483871,0.0,0.0,0.00345622119816,0.0,0.0293778801843,0.0,0.0,0.0,0.00172811059908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0650921658986,0.0230414746544,0.0,0.0,0.0,0.0,0.00691244239631,0.00172811059908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109447004608,0.0,0.0,0.00345622119816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00864055299539,0.0,0.0,0.0172811059908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00403225806452,0.0,0.00403225806452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206655",0.00042735042735,0.0273504273504,0.000854700854701,0.0106837606838,0.0,0.344444444444,0.0,0.0,0.0136752136752,0.0,0.0,0.00683760683761,0.0,0.0,0.0141025641026,0.316239316239,0.0111111111111,0.00598290598291,0.0,0.0196581196581,0.0,0.0,0.0,0.0,0.0,0.136752136752,0.0,0.0264957264957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00555555555556,0.0418803418803,0.00213675213675,0.0,0.0,0.0,0.0,0.00213675213675,0.0017094017094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042735042735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206659",0.0,0.0,0.0509649468295,0.000236313509256,0.0,0.0405671524222,0.00149665222529,0.0,0.0,0.0,0.0,0.000157542339504,0.0,0.0,0.00149665222529,0.29838519102,0.0288302481292,0.0966522252855,0.0,0.00748326112643,0.0,7.87711697519e-05,0.0,0.000551398188263,0.0,0.167625049232,0.0,0.0188263095707,0.00842851516345,7.87711697519e-05,0.0,0.0,0.0083497439937,0.000708940527767,0.0,0.0,0.000551398188263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00401732965735,0.0329263489563,0.0282000787712,0.0,0.00945254037022,0.0,0.0,0.178180385979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000315084679007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0140212682158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000945254037022,0.000472627018511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206660",0.0,0.0,0.150900787876,0.0,0.0,0.0149044010639,5.01831685653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00140512871983,0.140362322477,0.0358809655242,0.140563055151,0.0,0.000501831685653,0.0,0.000501831685653,0.0,0.0,0.0,0.216389822853,0.0,0.032317960556,0.000150549505696,0.0,0.0,0.0,0.0196718020776,0.000451648517087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001154212877,0.0282531239022,0.0156571485924,0.0,0.002308425754,0.0,0.0,0.178100065238,0.0,0.0,0.0,0.0,0.0,5.01831685653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000200732674261,0.0,0.0,0.0,0.0,0.0,0.0,5.01831685653e-05,0.0,0.0,0.0,0.0,0.0,0.000100366337131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115923119386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00848095548753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206667",0.000571482998381,0.0,9.52471663968e-05,0.0,0.0,0.0462901228688,0.0,0.0,0.0,0.0,0.0,0.00342889799028,0.0,0.00733403181255,0.0,0.354414706162,0.0151442994571,0.012477378798,0.0,0.00342889799028,0.0,0.00133346032956,0.0,0.0,0.0,0.51519192304,0.0,0.0,0.00761977331174,0.00933422230689,0.0,0.0,0.00361939232308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000571482998381,0.0,0.000571482998381,0.00781026764454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52471663968e-05,0.0,0.0,0.000857224497571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00114296599676,0.0,0.0,0.0,0.0,0.00247642632632,0.0,0.0,0.00533384131822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52471663968e-05,0.0,0.0,0.00028574149919,0.0,0.0,0.0,0.0,0.0,0.0,0.000476235831984
"X206668",0.0,0.0,0.0,0.0,0.0147783251232,0.0410509031199,0.0426929392447,0.0,0.0,0.0,0.0,0.0262725779967,0.0,0.0,0.0,0.32183908046,0.0295566502463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384236453202,0.0,0.00164203612479,0.0,0.00164203612479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0541871921182,0.0,0.00492610837438,0.00164203612479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0246305418719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0443349753695,0.0,0.0,0.0,0.0,0.00164203612479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00492610837438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206671",0.0,0.0,0.000126414259528,0.0,0.0,0.00290752796915,0.0,0.0,0.0,0.0,0.0,0.00132734972505,0.0,0.000189621389293,0.0,0.178812970103,0.0,0.0418431199039,0.0,0.0,0.000126414259528,0.000252828519057,0.0,0.0,0.0,0.599898868592,0.0,0.0,0.00657354149548,0.00853296251817,0.0,0.0,0.019025346059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000316035648821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00676316288477,0.0,0.0,0.12059920359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000505657038114,0.0118829403957,0.0,0.0,0.0,0.0,0.0,0.0,0.000316035648821,0.0,0.0,0.0
"X206672",0.0,0.0,8.81134901753e-05,0.0,0.0,0.000616794431227,0.0,0.0,0.0,0.0,0.0,0.0,0.000264340470526,0.0,0.000264340470526,0.167944312274,0.0,0.0252004581901,0.0,8.81134901753e-05,0.0,0.0,0.0,0.0,0.0,0.493171204511,0.0,0.0,0.00422944752842,0.00784210062561,0.0,0.0,0.0147149528593,0.000264340470526,0.0,0.0,0.0,0.000793021411578,0.0,0.0,0.000264340470526,0.0,0.0,0.000528680941052,0.0,0.0,0.0,0.0,0.0,0.000616794431227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000881134901753,0.0,0.0,0.0,0.0,0.0,0.000616794431227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.81134901753e-05,0.000528680941052,0.0,0.0,0.0,0.00810644109613,0.0,0.0,0.255176667548,0.0,0.0,0.0010573618821,0.0,0.000352453960701,0.0,0.0,0.000176226980351,0.0,0.0,0.0,0.0,0.00132170235263,0.0136575909772,0.0,0.000881134901753,0.0,0.000264340470526,0.0,0.0,0.0,0.0,0.0,0.0
"X206673",0.0,0.000558425240821,0.0,0.00132625994695,0.0,0.161594304063,0.000209409465308,6.98031551026e-05,0.000837637861231,0.0,0.0,6.98031551026e-05,0.0,0.0,0.0,0.203196984504,0.0264553957839,0.00160547256736,0.0,0.00663129973475,0.0,0.0,0.0,0.000907441016334,0.0,0.393899204244,0.0,0.0802038252129,0.00816696914701,0.00698031551026,0.0,0.0,0.0,0.000349015775513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000558425240821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0261063800084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98031551026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000418818930616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000558425240821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0772022895435,0.00146586625715,0.000558425240821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206681",0.0,0.0,0.0,0.0,0.0,0.304773561812,0.0,0.000611995104039,0.0,0.0,0.0,0.0281517747858,0.0,0.0,0.0,0.344553243574,0.0,0.108323133415,0.0,0.0195838433293,0.0,0.0,0.0,0.0140758873929,0.0,0.146878824969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00673194614443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00428396572827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00183598531212,0.0,0.0,0.0201958384333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206682",0.00733496332518,0.0,0.00488997555012,0.0,0.0,0.334963325183,0.00977995110024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298288508557,0.0,0.141809290954,0.0,0.00977995110024,0.0,0.0,0.0,0.0146699266504,0.0,0.0513447432763,0.0,0.00977995110024,0.041564792176,0.0,0.0,0.0,0.0,0.00488997555012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00733496332518,0.00244498777506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146699266504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0220048899756,0.0,0.0244498777506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
